feature,model,jaccard
Access to movies,openai,1.0
Access to podcasts,openai,0.8814814814814814
Broadcast messages to multiple contacts,openai,0.8222222222222219
Build photo collage,openai,0.9333333333333331
Collaborate with others,openai,0.7714285714285712
Go Live,openai,0.7851851851851851
Keeping up with friends,openai,0.7555555555555555
List items for sale,openai,0.7074074074074075
Photo effects,openai,0.8317460317460317
Play games,openai,0.13447971781305118
Play playlist on shuffle mode,openai,1.0
Rate movies,openai,0.6277777777777778
Search for offer on item,openai,0.5305996472663138
Send files,openai,0.85
Watch streams,openai,0.5623456790123457
Write notes,openai,0.9333333333333333
Access to movies,mistral,1.0
Access to podcasts,mistral,0.7365079365079364
Broadcast messages to multiple contacts,mistral,0.6148148148148147
Build photo collage,mistral,0.6423280423280421
Collaborate with others,mistral,0.8444444444444443
Go Live,mistral,0.7968253968253969
Keeping up with friends,mistral,0.7333333333333333
List items for sale,mistral,0.7851851851851849
Photo effects,mistral,1.0
Play games,mistral,0.7798941798941799
Play playlist on shuffle mode,mistral,1.0
Rate movies,mistral,0.7037037037037037
Search for offer on item,mistral,0.7851851851851849
Send files,mistral,0.6132275132275132
Watch streams,mistral,0.8148148148148147
Write notes,mistral,1.0
Access to movies,gemini,0.7798941798941799
Access to podcasts,gemini,0.7923280423280423
Broadcast messages to multiple contacts,gemini,0.22380952380952382
Build photo collage,gemini,0.2671075837742505
Collaborate with others,gemini,0.5730158730158729
Go Live,gemini,0.9166666666666666
Keeping up with friends,gemini,0.5410934744268078
List items for sale,gemini,0.6362433862433862
Photo effects,gemini,0.5146384479717812
Play games,gemini,0.1540564373897707
Play playlist on shuffle mode,gemini,0.2551807760141093
Rate movies,gemini,0.5693121693121692
Search for offer on item,gemini,0.4807760141093474
Send files,gemini,0.6507936507936508
Watch streams,gemini,0.2903880070546737
Write notes,gemini,0.6476190476190475
