model1,model2,rbo_mean,rbo_std,n_features
anthropic,mistral,0.5842121783281533,0.18311364134331215,16
deepseekr1_8b,anthropic,0.5326776620377497,0.1871566685656571,16
deepseekr1_8b,gemini,0.3539269739382895,0.20380214434667643,16
deepseekr1_8b,mistral,0.5331965277150967,0.21418576380220325,16
deepseekr1_8b,openai,0.38610687443141983,0.24677076757704713,16
gemini,anthropic,0.43074118173900533,0.20069911424132733,16
gemini,mistral,0.4154606997911715,0.2037799932053265,16
gemma3_4b,anthropic,0.4503611208922233,0.23338628087489066,16
gemma3_4b,deepseekr1_8b,0.4183098570468754,0.22581585430751,16
gemma3_4b,gemini,0.3973757752942354,0.19807378925065292,16
gemma3_4b,gptoss20b,0.4538335309504544,0.24107888616942774,16
gemma3_4b,mistral,0.4817261750345463,0.2739814899207435,16
gemma3_4b,mistral_open,0.382734093366384,0.22845652053760337,13
gemma3_4b,openai,0.4567581416919636,0.23986802257058004,16
gemma3_4b,qwen3_8b,0.46928863543934335,0.18922715702979556,16
gptoss20b,anthropic,0.5277361612873979,0.19084305279245317,16
gptoss20b,deepseekr1_8b,0.5054993925340937,0.2148482250190208,16
gptoss20b,gemini,0.3943517433931949,0.20727604100684835,16
gptoss20b,mistral,0.556761415947303,0.23379916502673084,16
gptoss20b,mistral_open,0.4932744812551304,0.22745604831035685,13
gptoss20b,openai,0.4641933093552848,0.24537449125180433,16
llama31_8b,anthropic,0.4044364040145068,0.18956728129591366,16
llama31_8b,deepseekr1_8b,0.3655270053875886,0.19750056025523918,16
llama31_8b,gemini,0.34989418215611373,0.16306165903651842,16
llama31_8b,gemma3_4b,0.35899018615641354,0.20050549208592547,16
llama31_8b,gptoss20b,0.37201332692572664,0.2267664597967806,16
llama31_8b,mistral,0.40131151542380994,0.20185373577113444,16
llama31_8b,mistral_open,0.37617890703041607,0.24823337615954688,13
llama31_8b,openai,0.3553047876988994,0.23343097709373697,16
llama31_8b,qwen3_8b,0.39390099972724546,0.18712593090903637,16
mistral_open,anthropic,0.42571736431078866,0.2036024324386787,13
mistral_open,deepseekr1_8b,0.5043465465159778,0.1948134852678885,13
mistral_open,gemini,0.30586726405761033,0.18340048414072563,13
mistral_open,mistral,0.5079789883306475,0.2411030864621027,13
mistral_open,openai,0.3184429347523994,0.2529664407249914,13
openai,anthropic,0.4621359226354477,0.25149748236581354,16
openai,gemini,0.43191893765006906,0.22465074140794214,16
openai,mistral,0.45528101475274635,0.27356406633186187,16
qwen3_8b,anthropic,0.48552275620138724,0.16166717280244572,16
qwen3_8b,deepseekr1_8b,0.5220652711736973,0.15126654868792896,16
qwen3_8b,gemini,0.3993270985957474,0.1789022231142046,16
qwen3_8b,gptoss20b,0.5035580087800775,0.19028123780420592,16
qwen3_8b,mistral,0.5194249255116447,0.21771953826316062,16
qwen3_8b,mistral_open,0.4747578449512971,0.2024954997527502,13
qwen3_8b,openai,0.4409167023634557,0.2168833442897246,16
