open_model,proprietary_model,rbo_mean,rbo_std,n_features
deepseekr1_8b,anthropic,0.5326776620377497,0.1871566685656571,16
deepseekr1_8b,gemini,0.3539269739382895,0.20380214434667643,16
deepseekr1_8b,mistral,0.5331965277150967,0.21418576380220325,16
deepseekr1_8b,openai,0.38610687443141983,0.24677076757704713,16
gemma3_4b,anthropic,0.4503611208922233,0.23338628087489066,16
gemma3_4b,gemini,0.3973757752942354,0.19807378925065292,16
gemma3_4b,mistral,0.4817261750345463,0.2739814899207435,16
gemma3_4b,openai,0.4567581416919636,0.23986802257058004,16
gptoss20b,anthropic,0.5277361612873979,0.19084305279245317,16
gptoss20b,gemini,0.3943517433931949,0.20727604100684835,16
gptoss20b,mistral,0.556761415947303,0.23379916502673084,16
gptoss20b,openai,0.4641933093552848,0.24537449125180433,16
llama31_8b,anthropic,0.4044364040145068,0.18956728129591366,16
llama31_8b,gemini,0.34989418215611373,0.16306165903651842,16
llama31_8b,mistral,0.40131151542380994,0.20185373577113444,16
llama31_8b,openai,0.3553047876988994,0.23343097709373697,16
mistral_open,anthropic,0.42571736431078866,0.2036024324386787,13
mistral_open,gemini,0.30586726405761033,0.18340048414072563,13
mistral_open,mistral,0.5079789883306475,0.2411030864621027,13
mistral_open,openai,0.3184429347523994,0.2529664407249914,13
qwen3_8b,anthropic,0.48552275620138724,0.16166717280244572,16
qwen3_8b,gemini,0.3993270985957474,0.1789022231142046,16
qwen3_8b,mistral,0.5194249255116447,0.21771953826316062,16
qwen3_8b,openai,0.4409167023634557,0.2168833442897246,16
