name,description,type,sources
Active User Base Size,"Total number of monthly active users globally, indicating network effect and likelihood friends are using the platform",Integer [1],"Company reports, Official company reports, app analytics platforms, market research firms"
Advanced Editing Tools,"Availability of professional editing features like curves, selective adjustments, masking, and layer support",Boolean [*] and Integer [1],"App specifications, feature lists, professional reviews"
Automatic Coupon Application,Capability to automatically find and apply coupon codes during checkout,Boolean [1],"App functionality, feature documentation, user reviews, user testimonials"
Broadcast List Capacity,Maximum number of contacts that can be included in a single broadcast message,Integer [1],"App documentation, official specifications, platform specifications, user manuals"
Broadcast List Capacity,Maximum number of contacts that can be added to a single broadcast list or group message,Integer [1],"App documentation, feature specifications, official websites, platform specifications, user guides, user manuals, user testing"
Communication Versatility,"Range of communication methods supported including text, voice, video, screen sharing, and file sharing",Integer [1],"Feature lists, product demonstrations, product specifications, user manuals, user testing"
Content Discovery Algorithm,Effectiveness of the platform's algorithm in promoting live content to relevant audiences,Float [1-10 scale],"Creator testimonials, Platform performance metrics, algorithm transparency reports, creator feedback, engagement analytics, engagement metrics"
Content Library Size,Total number of movies available on the platform,Integer [1],"App store descriptions, Official platform statistics, Platform APIs, app store descriptions, industry reports, official announcements, official platform statistics, official website statistics, official websites, platform websites, third-party content tracking services, third-party databases, third-party tracking services"
Content Library Size,Total number of available podcast shows and episodes accessible through the platform,Integer [1],"App store descriptions, official platform statistics, official websites, third-party analytics, third-party reviews"
Content Library Size,"Total number of movies, TV shows, live channels, and streaming content available on the platform",Integer [1],"App store descriptions, industry reports, official websites, streaming databases"
Content Quality Score,Average rating of movies based on critical and user reviews,Float [1],"IMDb, Metacritic, Rotten Tomatoes, user reviews"
Cross-Platform Compatibility,Number of different operating systems and devices the app supports,Integer [1] (count of supported platforms),"App store listings, compatibility charts, developer documentation, official compatibility charts, official website"
Cross-Platform Integration,Ability to stream simultaneously to multiple platforms or integrate with other social media and streaming services,Boolean [1],"API documentation, Feature lists, Platform API documentation, third-party integration tools, third-party integrations, user guides"
Cross-Platform Sync,"Ability to synchronize listening progress, subscriptions, and playlists across multiple devices",Boolean [1],"App features documentation, Feature documentation, platform specifications, testing reports, user manuals, user reviews"
Cross-Platform Sync,Ability to synchronize playlists and shuffle preferences across multiple devices and platforms,Boolean [1],"Feature documentation, Official documentation, compatibility lists, feature comparisons, user guides"
Export Quality,Maximum resolution and quality options for saving and sharing collages,Text [1],"App specifications, technical documentation, user feedback, user reviews"
Export Quality Options,Maximum resolution and format options for saving edited photos,Text [*] and Integer [1],"App documentation, App specifications, technical reviews, technical specifications, user manuals"
File Size Limit,Maximum file size that can be sent through the app in a single transfer,Float [1],"App documentation, App specifications, app store descriptions, official documentation, official websites, user manuals"
File Size Limit,Maximum file size that can be transferred in a single operation,Integer [1] (in GB),"App documentation, App specifications, feature specifications, official documentation, user manuals, user testing"
Filter Quality and Variety,"Number and professional quality of built-in filters, presets, and effects available",Integer [1] and Text [*],"App store descriptions, feature documentation, feature lists, user reviews"
Monthly Active Users,Number of users actively using the app per month,Integer [1],"App analytics, App analytics platforms, company earnings reports, company reports, market research, market research data"
Monthly Active Users,Number of monthly active users globally,Integer [1],"Company reports, analytics platforms, industry analytics, industry research, market research firms"
Monthly Active Users,Number of unique users who actively engage with the app within a 30-day period,Integer [1],"App Annie, App store analytics, Sensor Tower, company reports, developer reports"
Movie Database Completeness,"Percentage of movies available for rating including mainstream, indie, and international films",Float [1],"Database queries, Platform content audits, catalog analysis, database comparisons, user feedback, user reports"
Offline Download Support,Ability to download movies for offline viewing,Boolean [1],"App features, Feature lists, app descriptions, official documentation, platform documentation, user manuals"
Offline Download Support,Whether the app supports downloading movies for offline viewing,Boolean [1],"App feature descriptions, App features, official documentation, user manuals"
Offline Functionality,"Ability to create, edit, and access notes without internet connection",Boolean [1],"App specifications, Technical specifications, feature documentation, official documentation, user testing"
Platform Availability,Number of devices and platforms supported,Integer [1],"Official compatibility lists, Official support documentation, app store availability, app stores, platform documentation"
Platform Availability,Number of supported devices and operating systems,Integer [1],"App store compatibility, Official app stores, compatibility lists, developer websites, official support pages"
Platform Availability,Number of different devices and platforms supported,Integer [1],"Official compatibility lists, app store availability"
Platform Availability,Number of supported devices and platforms,Integer [1],"Official compatibility lists, Official websites, Platform compatibility lists, app store availability, app store compatibility lists, app store information"
Platform Availability,Number of different devices and platforms the app supports,Integer [1],"App stores, device manufacturer websites, official compatibility lists, official website compatibility lists"
Podcast Library Size,Total number of podcasts available on the platform,Integer [1],"App store descriptions, platform websites, third-party analytics, third-party reviews"
Podcast Library Size,Total number of available podcasts and episodes accessible through the platform,Integer [1],"App store descriptions, industry reports, official websites, platform websites, third-party podcast analytics, third-party reviews"
Processing Speed and Performance,"App responsiveness, rendering speed, and stability during intensive editing tasks",Integer [1-10] performance score,"Performance benchmarks, User reviews, performance benchmarks, tech reviews, technical reviews, user feedback"
Real-time Price Comparison,Capability to compare prices across multiple retailers in real-time,Boolean [1],"App features, App functionality, app store descriptions, feature lists, user reviews, user testimonials"
Recommendation Algorithm Accuracy,Quality of personalized movie recommendations based on user ratings and preferences,Float [1],"User reviews, algorithm performance studies, expert evaluations, recommendation accuracy metrics, recommendation engine analysis"
