name,description,type,sources
Ad-Supported Content,"Availability of free, ad-supported content",Boolean [1],"Official app descriptions, user reviews"
Content Library,"The variety and quantity of content available for streaming, including movies, TV shows, live streams, and original content.",Text[1],"Official app descriptions, content catalogs, user reviews"
Content Library Size,"The total number of movies, TV shows, and other video content available on the app.",Integer [1],"Official app websites, JustWatch, Reelgood"
Content Library Size,"The total number of movies, TV shows, and other video content available on the app.",Integer [1],"Company reports, third-party databases, streaming service websites"
Content Library Size,"The total number of movies, TV shows, and other video content available on the app.",Integer [1],"Company reports, third-party databases, user reviews"
Content Library Size,"The total number of movies, TV shows, and other videos available on the platform.",Integer [1],"Company reports, third-party databases, market analysis reports"
Content Variety,The diversity and breadth of content available for streaming.,Integer [1],"Official app descriptions, user reviews, tech blogs"
Content Variety,Diversity and breadth of content available for streaming,Text [1],"Official app descriptions, user reviews, tech blogs"
Content Variety,Diversity and breadth of streaming content available,Text [1],"Official app descriptions, user reviews"
Content Variety,Diversity and breadth of content available for streaming.,Text [1],"Official app descriptions, user reviews, content catalogs"
Content Variety,The diversity and breadth of content available for streaming.,Text [1],"Official app descriptions, user reviews, content catalogs"
Cross-Platform Availability,"The number of different platforms (e.g., iOS, Android, Web, Smart TVs) the app is available on.",Integer [1],"Official app websites, App Store, Google Play"
Cross-Platform Availability,"The number of different platforms and devices the app is available on (e.g., iOS, Android, Web, Smart TVs).",Integer [1],"App store listings, company websites, tech blogs"
Customer Support,The quality and availability of customer support services.,Text [1],"User reviews, official app websites, tech blogs"
Device Compatibility,The range of devices and platforms supported by the app.,Text [1],"Official app descriptions, user reviews, tech blogs"
Device Compatibility,Number of devices and platforms supported,Integer [1],"Official app descriptions, app store listings"
Device Compatibility,"The range of devices and platforms that the app is compatible with, including mobile, tablet, TV, and web.",Text[1],"Official app descriptions, tech reviews, user reviews"
Device Compatibility,The number of different devices and platforms that the app supports.,Integer [1],"Official app specifications, tech reviews"
Device Compatibility,The number of different devices and platforms the app is compatible with.,Integer [1],"Official app specifications, user reports, tech reviews"
Device Compatibility,Number of devices and platforms supported,Integer [1],"Official app websites, tech reviews"
Device Compatibility,Number of devices and platforms supported by the app.,Integer [1],"Official app websites, app store listings"
Device Compatibility,The range of devices and platforms supported by the app.,Text [1],"Official app websites, app store listings"
Geographical Availability,Number of countries where the service is available,Integer [1],"Official app descriptions, tech blogs"
Live Streaming Availability,Availability of live streaming content,Boolean [1],"Official app descriptions, user reviews"
Live Streaming Availability,Whether the app offers live streaming content in addition to on-demand content.,Boolean [1],"Official app websites, TechRadar, CNET"
Number of Downloads,Total number of app downloads across all platforms,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower, App Annie"
Number of Downloads,Total number of app downloads,Integer [1],"Google Play Store, Apple App Store, Sensor Tower"
Number of Downloads,Total number of downloads across all platforms.,Integer [1],"App Store, Google Play Store, Amazon Appstore, Sensor Tower"
Number of Downloads,Total number of downloads across all platforms.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
Pricing and Plans,The cost of subscription plans or if the app is free with ads.,Text [1],"Official app websites, TechRadar, CNET"
Special Features,"Unique features such as offline downloads, multiple profiles, parental controls, and interactive elements.",Text[1],"Official app descriptions, tech reviews, user reviews"
Stream Quality,"The average video quality (e.g., SD, HD, 4K) offered by the app.","Text [1] (e.g., 'HD', '4K')","User reviews, tech specs from company websites, expert reviews"
Streaming Quality,"The quality of the video and audio streaming, including support for HD, 4K, and HDR.",Text [1],"User reviews, tech blogs, official app specifications"
Streaming Quality,"Quality of video streaming (e.g., HD, 4K, buffering times)",Text [1],"User reviews, tech blogs, official app descriptions"
Streaming Quality,"The maximum video quality (e.g., SD, HD, 4K) supported by the app.",Text [1],"Official app websites, TechRadar, CNET"
Streaming Quality,"The overall quality of the video and audio streaming, including resolution and buffering times.",Text[1],"User reviews, tech reviews, official app descriptions"
Streaming Quality,"The maximum video quality (e.g., 4K, 1080p, 720p) supported by the app.",Text [1],"Official app specifications, user reviews, tech reviews"
Streaming Quality,"The average video quality (e.g., SD, HD, 4K) offered by the app.",Text [1],"Technical reviews, user feedback, official app specifications"
Streaming Quality,"Quality of video streaming (e.g., HD, 4K)",Text [1],"Official app descriptions, user reviews"
Streaming Quality,"Quality of video streaming, including resolution and buffering times.",Text [1],"User reviews, technical specifications, expert reviews"
Streaming Quality,"The quality of the streaming service, including resolution and buffering times.",Text [1],"User reviews, tech reviews, official app descriptions"
Subscription Cost,The cost of subscription plans and any additional fees.,Float [1],"Official app websites, user reviews"
Subscription Cost,Cost of subscription plans if applicable,Float [1],"Official app descriptions, app store listings"
Subscription Cost,"The cost of subscription plans, including any free trials or bundled offers.",Float[1],"Official app descriptions, subscription plans, user reviews"
Subscription Cost,The cost of subscription plans offered by the app.,Float [1],"Official app websites, market analysis reports"
Subscription Cost,The cost of subscription or pricing plans offered by the app.,Float [1],"Official app websites, pricing comparison sites, user reports"
Subscription Cost,Cost of subscription plans,Float [1],"Official app websites, app store listings"
Subscription Cost,"Cost of subscription plans, if applicable.",Float [1],"Official app websites, app store listings"
Subscription Cost,"The cost of subscription plans, if applicable.",Float [1],"Official app websites, app store listings"
Unique Features,"Special features that set the app apart from competitors, such as offline downloads, multiple profiles, etc.",Text [*],"Official app descriptions, user reviews, tech blogs"
Unique Features,"Any unique features or functionalities offered by the app, such as offline downloads, multiple profiles, etc.",Text [*],"Official app specifications, tech reviews, user feedback"
Unique Features,"Special features offered by the app (e.g., offline downloads, live TV)",Text [1],"Official app descriptions, tech reviews"
Unique Features,Special features that differentiate the app from competitors.,Text [1],"Official app descriptions, user reviews, expert analyses"
User Base,The total number of active users or subscribers of the app.,Integer [1],"App Annie, Sensor Tower, SimilarWeb, Official app websites"
User Base,The number of active users or subscribers of the app.,Integer [1],"Company reports, market analysis reports, app store intelligence platforms"
User Base,The total number of active users or subscribers of the app.,Integer [1],"Company reports, market analysis reports, app store statistics"
User Base,The number of active users or subscribers of the app.,Integer [1],"Company reports, market analysis reports, app store intelligence platforms"
User Engagement,The level of user engagement and interaction within the app.,Text [1],"User reviews, social media mentions, app analytics"
User Interface,The ease of use and navigation within the app.,Text [1],"User reviews, tech blogs, official app descriptions"
User Interface,Ease of use and navigation within the app,Text [1],"User reviews, tech blogs, official app descriptions"
User Interface,"The ease of use and navigation within the app, including search functionality and content discovery features.",Text[1],"User reviews, tech reviews, official app descriptions"
User Interface,Ease of use and navigation within the app,Text [1],"User reviews, tech reviews"
User Interface,Ease of use and navigability of the app interface.,Text [1],"User reviews, expert reviews, app screenshots"
User Interface,The ease of use and navigation within the app.,Text [1],"User reviews, tech reviews, official app descriptions"
User Interface and Experience,"The overall design, ease of use, and user satisfaction with the app's interface.",Float [1],"App Store ratings, Google Play ratings, Trustpilot"
User Interface and Experience,"The ease of use, navigation, and overall user experience of the app.",Text [1],"User reviews, tech reviews, app store ratings"
User Interface and Experience,"The overall design, ease of use, and user satisfaction with the app's interface.",Text [1],"User reviews, design awards, expert analysis"
User Interface and Experience,"The overall design, ease of use, and user satisfaction with the app's interface.","Text [1] (e.g., 'Excellent', 'Good', 'Poor')","User reviews, expert reviews, usability testing reports"
User Ratings,"Average user ratings on app stores (e.g., Google Play, Apple App Store) and other platforms.",Float [1],"Google Play Store, Apple App Store, Trustpilot"
User Ratings,"Average user ratings on app stores (e.g., Google Play, Apple App Store)",Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
User Ratings,The average rating given by users on app stores and review platforms.,Float[1],"App store ratings, user reviews, tech reviews"
User Ratings,The average rating given by users on app stores.,Float [1],"App store listings, user review platforms"
User Ratings,The average rating given by users on app stores and review platforms.,Float [1],"App store listings, review aggregation sites, user feedback"
User Ratings,"Average user ratings on app stores (Google Play, Apple App Store)",Float [1],"Google Play Store, Apple App Store"
User Ratings,Average user ratings on various app stores and platforms.,Float [1],"App Store, Google Play Store, Amazon Appstore"
User Ratings,Average user ratings on various app stores and platforms.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
