provider;model;release-date;input_cost/M;output_cost/M
openai;gpt-4o-search-preview;11/03/2025;2.13 €;8.53 €
mistral;mistral-small-2506;23/06/2025;0.09 €;0.26 €
mistral;mistral-medium-2505;07/05/2025;0.34 €;1.71 €
mistral;mistral-large-2411;18/10/2024;1.71 €;5.12 €
gemini;gemini-1.5-flash;01/09/2024;0.06 €;0.13 €
gemini;gemini-2.0-flash;01/02/2025;0.09 €;0.34 €
gemini;gemini-2.5-flash;01/06/2025;0.26 €;2.13 €
deepseek;DeepSeek-V3-0324;25/03/2025;0.23 €;0.94 €
anthropic;claude-3-5-sonnet-20240620;20/06/2024;2.56 €;12.80 €
anthropic;claude-3-7-sonnet-20250219;19/02/2025;2.56 €;12.80 €
anthropic;claude-sonnet-4-20250514;14/05/2025;2.56 €;12.80 €
