category_name,avg_run_correlation,rss_position_correlation,rss_k1,rss_k2,rss_k3,rss_k4,rss_k5,rss_k6,rss_k7,rss_k8,rss_k9,rss_k10,total_apps,total_runs,rss_k11,rss_k12,rss_k13,rss_k14,rss_k15,rss_k16,rss_k17,rss_k18,rss_k19,rss_k20,apps_k1,apps_k2,apps_k3,apps_k4,apps_k5,apps_k6,apps_k7,apps_k8,apps_k9,apps_k10,apps_k11,apps_k12,apps_k13,apps_k14,apps_k15,apps_k16,apps_k17,apps_k18,apps_k19,apps_k20
"""AI-powered utilities""",0.7716689957127244,0.9691018532875244,0.0,0.2222222222222222,0.1111111111111111,0.1157407407407407,0.2222222222222222,0.6388888888888888,0.6091269841269842,0.6924603174603173,0.6094771241830064,0.6154970760233919,59,10,0.6847222222222222,0.8055555555555556,0.9914529914529916,1.1388888888888888,1.514336917562724,1.63973063973064,1.682253086419753,1.7699430199430202,1.78319783197832,1.781653746770026,2.0,2.0,5.0,9.0,10.0,13.0,18.0,21.0,24.0,27.0,29.0,31.0,34.0,36.0,38.0,42.0,47.0,50.0,54.0,59.0
"""AI-powered entertainment""",0.252037224718697,0.975217157063208,0.0,0.125,0.2142857142857142,0.4814814814814815,0.5783333333333334,0.6902777777777779,0.913095238095238,1.2009259259259255,1.4683333333333333,1.3242424242424242,60,10,1.508902691511387,1.5748571428571427,1.5714285714285714,1.6962962962962962,2.1615463389656937,2.428373015873016,2.4462418300653592,2.506635802469136,3.0501461988304093,3.766805555555556,3.0,6.0,11.0,13.0,18.0,22.0,24.0,25.0,26.0,30.0,31.0,36.0,40.0,44.0,47.0,50.0,54.0,57.0,58.0,60.0
"""AI-powered productivity""",0.6794320206847385,0.9309523299171804,0.0,0.0,0.2326388888888889,0.1550925925925926,0.1163194444444444,0.2422839506172839,0.4103535353535353,0.4117063492063492,0.4675925925925925,0.8720760233918128,43,10,0.9618055555555554,0.8061868686868685,0.8725845410628018,1.0167824074074074,0.9577991452991452,1.007440476190476,1.0904903628117917,1.0177910052910053,0.9541790674603174,0.975249433106576,2.0,4.0,5.0,8.0,11.0,12.0,14.0,17.0,20.0,21.0,21.0,25.0,27.0,29.0,31.0,33.0,33.0,37.0,41.0,43.0
"""AI-powered finance""",0.3681477520207297,0.9769915518366494,0.0,0.1666666666666666,0.1111111111111111,0.15,0.2013888888888888,0.4369047619047619,0.6348958333333334,0.7384453781512605,0.961309523809524,1.4800125313283208,59,10,1.6270833333333332,1.6032608695652173,1.812460317460317,2.279625068418172,2.264976958525346,2.377083333333333,2.4636363636363634,2.494949494949496,2.4230392156862743,2.4949699699699703,4.0,6.0,10.0,18.0,21.0,21.0,22.0,25.0,28.0,31.0,34.0,37.0,39.0,41.0,42.0,46.0,49.0,52.0,56.0,59.0
"""AI-powered photo & video""",0.7257624458408349,0.9313653007376892,0.0,0.0,0.2857142857142857,0.3703703703703703,0.393939393939394,0.4038461538461538,0.4833333333333333,0.5441176470588235,0.5131578947368421,0.6071428571428571,64,10,0.572463768115942,0.5802469135802469,0.618279569892473,0.6958333333333333,0.7714285714285715,1.1046332046332048,1.261904761904762,1.3642857142857143,1.4818594104308391,1.835661375661376,3.0,8.0,11.0,13.0,15.0,18.0,21.0,24.0,28.0,31.0,35.0,37.0,39.0,42.0,47.0,50.0,53.0,57.0,61.0,64.0
"""AI-powered shopping""",0.4800318311118958,0.9914209683340188,0.0,0.0,0.1428571428571428,0.2166666666666666,0.2916666666666667,0.2833333333333333,0.7017543859649122,0.9666666666666666,0.9583333333333331,0.998148148148148,74,10,1.055982905982906,1.2484126984126982,1.2818518518518518,1.568458781362007,1.636825396825397,1.7253561253561254,1.803055555555556,2.0255050505050503,2.26780045351474,2.39287211740042,2.0,5.0,10.0,14.0,17.0,21.0,22.0,22.0,25.0,28.0,33.0,38.0,42.0,48.0,50.0,56.0,63.0,69.0,72.0,74.0
"""AI-powered social networking""",0.925248165643748,0.9075199370325434,0.0,0.1666666666666666,0.2777777777777777,0.3518518518518518,0.4833333333333333,0.5897435897435898,0.6666666666666665,0.7990196078431372,1.057017543859649,1.2424242424242424,62,10,1.1066666666666665,1.130952380952381,1.1222222222222225,1.3177083333333337,1.2047619047619047,1.1359649122807016,1.1825396825396826,1.2592592592592593,1.2569444444444444,1.241830065359477,3.0,6.0,9.0,13.0,17.0,18.0,21.0,22.0,25.0,27.0,30.0,34.0,37.0,39.0,44.0,47.0,50.0,55.0,59.0,62.0
"""AI-powered lifestyle""",0.5299428227608172,0.9153066952604012,0.0,0.0,0.0416666666666666,0.1041666666666666,0.2,0.1666666666666666,0.1785714285714285,0.21875,0.2222222222222222,0.275,52,10,0.2954545454545454,0.2847222222222222,0.4567901234567901,0.589080459770115,0.9572916666666668,1.17766106442577,1.4242724867724863,1.4497354497354498,1.625,1.5945868945868946,2.0,5.0,8.0,9.0,10.0,13.0,15.0,17.0,19.0,23.0,27.0,32.0,36.0,41.0,41.0,43.0,44.0,47.0,49.0,52.0
"""AI-powered music""",0.5428658286921803,0.9700936137374088,0.0,0.22,0.2129629629629629,0.1597222222222222,0.1277777777777777,0.1814814814814815,0.3234126984126985,0.5216931216931217,0.5618580765639588,0.7919000933706816,42,10,0.9526143790849672,0.9637345679012346,0.9508333333333332,0.9268115942028984,0.9715277777777778,0.9637777777777778,1.219814814814815,1.3311447811447812,1.3836507936507936,1.3445906432748538,5.0,5.0,6.0,8.0,11.0,12.0,15.0,16.0,18.0,18.0,18.0,20.0,22.0,25.0,27.0,32.0,35.0,38.0,40.0,42.0
"""AI-powered education""",0.6693325280989113,0.8941757159075475,0.0,0.05,0.075,0.1558956916099773,0.1091269841269841,0.1326058201058201,0.2841880341880342,0.4424603174603175,0.3871527777777778,0.3441358024691358,42,10,0.3097222222222222,0.3042929292929293,0.3611111111111111,0.3707729468599034,0.4233333333333333,0.3919753086419753,0.4305555555555555,0.4609375,0.4877450980392157,0.449561403508772,3.0,5.0,7.0,8.0,11.0,13.0,14.0,15.0,17.0,19.0,22.0,25.0,26.0,27.0,28.0,30.0,33.0,35.0,38.0,42.0
