name,description,type,sources
Ad-Supported Free Access,Whether the platform offers free content with advertisements.,Boolean [1],"Official app websites, Official platform websites, industry reports, service descriptions, user reviews"
Content Curation,The quality and relevance of content recommendations provided to users.,Text [1],"User reviews, industry analyses"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"Official app websites, Official platform websites, industry reports"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the platform's app.",Text [*],"Official app websites, Official platform support pages, app store listings, industry reports, support pages, user manuals"
Geographic Availability,The countries or regions where the platform is accessible.,Text [*],"Official app websites, industry reports, service descriptions"
Geographical Availability,The countries or regions where the platform is accessible.,Text [*],"Official app websites, industry reports, press releases"
Live TV Availability,Presence of live television channels or events.,Boolean [1],"Official app websites, industry reports, service descriptions"
Offline Viewing,Availability of downloading content for offline viewing.,Boolean [1],"Official app websites, feature lists, industry reports, user guides"
Original Content,The number of exclusive movies and TV series produced by the platform.,Integer [1],"Official app websites, Official platform announcements, industry news outlets, industry reports, industry reviews, press releases"
Streaming Quality,The maximum video resolution and audio quality offered by the platform.,Text [1],"Official app websites, industry reports, tech reviews, tech specifications, technical specifications"
Subscription Cost,The monthly fee required to access the platform's content.,Float [1],"Official app websites, Official platform pricing pages, industry reports, pricing pages"
User Interface and Experience,Ease of navigation and overall user experience of the app.,Text [1],"User reviews, industry analyses, industry evaluations, tech blogs"
User Interface Quality,The ease of navigation and overall user experience of the app.,Text [1],"User reviews, industry analyses, tech blogs"
