criteria,feature,model,rbo,num_comparisons
Cost,Access to movies,anthropic,0.0,50
Cost,Access to movies,gemini,0.5750335962605901,50
Cost,Access to movies,mistral,0.0,50
Cost,Access to movies,openai,0.29120654396728013,50
Cost,Access to movies,perplexity,0.09658194566170025,50
Cost,Access to podcasts,anthropic,0.8965819456617001,50
Cost,Access to podcasts,gemini,0.5400759567630733,50
Cost,Access to podcasts,mistral,1.0,50
Cost,Access to podcasts,openai,0.33526146654981004,50
Cost,Access to podcasts,perplexity,0.35111305872042065,50
Cost,Broadcast messages to multiple contacts,anthropic,0.470318434122115,50
Cost,Broadcast messages to multiple contacts,gemini,0.12075956763073327,50
Cost,Broadcast messages to multiple contacts,mistral,1.0,50
Cost,Broadcast messages to multiple contacts,openai,0.1941162722757815,50
Cost,Broadcast messages to multiple contacts,perplexity,0.07548933683903009,50
Cost,Build photo collage,anthropic,0.6752848378615249,10
Cost,Build photo collage,gemini,0.4304878761320479,50
Cost,Build photo collage,mistral,0.21847502191060475,50
Cost,Build photo collage,openai,0.11933976044405491,50
Cost,Build photo collage,perplexity,0.26279871457785564,50
Cost,Collaborate with others,anthropic,0.7087934560327198,50
Cost,Collaborate with others,gemini,0.8847911189015485,50
Cost,Collaborate with others,mistral,0.8877008472100496,50
Cost,Collaborate with others,openai,0.7280163599182004,50
Cost,Collaborate with others,perplexity,0.33339176161262046,50
Cost,Go Live,anthropic,0.6456324861232836,50
Cost,Go Live,gemini,0.5130353491089688,50
Cost,Go Live,mistral,0.0,50
Cost,Go Live,openai,0.0,50
Cost,Go Live,perplexity,0.13447268477943322,50
Cost,Keeping up with friends,anthropic,0.5874963482325447,50
Cost,Keeping up with friends,gemini,0.4390651475314052,50
Cost,Keeping up with friends,mistral,0.6578381536663744,50
Cost,Keeping up with friends,openai,0.8164300321355538,50
Cost,Keeping up with friends,perplexity,0.0,50
Cost,List items for sale,anthropic,0.5938241308793457,50
Cost,List items for sale,gemini,0.9409406952965236,50
Cost,List items for sale,mistral,0.4829097283085013,50
Cost,List items for sale,openai,0.4155652936021034,50
Cost,List items for sale,perplexity,0.7000233713117149,50
Cost,Photo effects,anthropic,0.7813029506281041,50
Cost,Photo effects,gemini,0.3615483494011101,50
Cost,Photo effects,mistral,0.46379199532573756,50
Cost,Photo effects,openai,0.17207128250073034,50
Cost,Photo effects,perplexity,0.0,50
Cost,Play games,anthropic,0.11802512416009348,50
Cost,Play games,gemini,0.08216768916155419,50
Cost,Play games,mistral,0.5889921121822962,50
Cost,Play games,openai,0.0,50
Cost,Play games,perplexity,0.10460999123575808,50
Cost,Play playlist on shuffle mode,anthropic,0.6044405492258252,50
Cost,Play playlist on shuffle mode,gemini,0.6138533450189892,50
Cost,Play playlist on shuffle mode,mistral,0.8945369558866493,50
Cost,Play playlist on shuffle mode,openai,0.8401402278702893,50
Cost,Play playlist on shuffle mode,perplexity,0.07382413087934561,50
Cost,Rate movies,anthropic,0.7031784983932223,50
Cost,Rate movies,gemini,0.8034472684779433,50
Cost,Rate movies,mistral,0.9789073911773297,50
Cost,Rate movies,openai,0.6415366637452528,50
Cost,Rate movies,perplexity,0.12233713117148698,50
Cost,Search for offer on item,anthropic,0.9495997662868828,50
Cost,Search for offer on item,gemini,0.16584867075664622,50
Cost,Search for offer on item,mistral,0.8965819456617001,50
Cost,Search for offer on item,openai,0.25543090855974293,50
Cost,Search for offer on item,perplexity,0.29180835524393806,50
Cost,Send files,anthropic,0.02775343266140812,50
Cost,Send files,gemini,0.6002979842243648,50
Cost,Send files,mistral,0.4257201285422144,50
Cost,Send files,openai,0.8810166520595968,50
Cost,Send files,perplexity,0.006327782646801051,50
Cost,Watch streams,anthropic,0.10335378323108384,50
Cost,Watch streams,gemini,0.29886649138182875,50
Cost,Watch streams,mistral,0.32451066316096994,50
Cost,Watch streams,openai,0.018095238095238095,50
Cost,Watch streams,perplexity,0.0,50
Cost,Write notes,anthropic,0.02109260882267017,50
Cost,Write notes,gemini,0.5304586619924043,50
Cost,Write notes,mistral,0.2109260882267017,50
Cost,Write notes,openai,0.14516505988898626,50
Cost,Write notes,perplexity,0.23867952088810981,50
Customer Support,Access to movies,anthropic,0.9300613496932516,50
Customer Support,Access to movies,gemini,0.910546304411335,50
Customer Support,Access to movies,mistral,0.8374758983347941,50
Customer Support,Access to movies,openai,0.25439672801635993,50
Customer Support,Access to movies,perplexity,0.31767455448437043,50
Customer Support,Access to podcasts,anthropic,1.0,50
Customer Support,Access to podcasts,gemini,0.39536079462459833,50
Customer Support,Access to podcasts,mistral,0.8210926088226702,50
Customer Support,Access to podcasts,openai,0.0,50
Customer Support,Access to podcasts,perplexity,0.6029739994157172,50
Customer Support,Broadcast messages to multiple contacts,anthropic,0.9683610867659947,50
Customer Support,Broadcast messages to multiple contacts,gemini,0.28965819456617,50
Customer Support,Broadcast messages to multiple contacts,mistral,1.0,50
Customer Support,Broadcast messages to multiple contacts,openai,0.43896581945661695,50
Customer Support,Broadcast messages to multiple contacts,perplexity,0.8,50
Customer Support,Build photo collage,anthropic,0.7280163599182005,10
Customer Support,Build photo collage,gemini,0.312264095822378,50
Customer Support,Build photo collage,mistral,0.9346129126497226,50
Customer Support,Build photo collage,openai,0.010546304411335085,50
Customer Support,Build photo collage,perplexity,0.30912065439672803,50
Customer Support,Collaborate with others,anthropic,0.92988606485539,50
Customer Support,Collaborate with others,gemini,0.7128951212386795,50
Customer Support,Collaborate with others,mistral,0.9578147823546598,50
Customer Support,Collaborate with others,openai,0.29120654396728013,50
Customer Support,Collaborate with others,perplexity,0.6633420975752264,50
Customer Support,Go Live,anthropic,0.05650598889862692,50
Customer Support,Go Live,gemini,0.2657201285422144,50
Customer Support,Go Live,mistral,0.0,50
Customer Support,Go Live,openai,0.35635407537248026,50
Customer Support,Go Live,perplexity,0.0,50
Customer Support,Keeping up with friends,anthropic,0.5829447852760736,50
Customer Support,Keeping up with friends,gemini,0.5770084721004966,50
Customer Support,Keeping up with friends,mistral,0.7932924335378323,50
Customer Support,Keeping up with friends,openai,0.8037744668419515,50
Customer Support,Keeping up with friends,perplexity,0.0,50
Customer Support,List items for sale,anthropic,0.3260239555945077,50
Customer Support,List items for sale,gemini,0.7535962605901257,50
Customer Support,List items for sale,mistral,0.2,50
Customer Support,List items for sale,openai,0.38081799591002047,50
Customer Support,List items for sale,perplexity,0.26965235173824126,50
Customer Support,Photo effects,anthropic,0.4657201285422144,50
Customer Support,Photo effects,gemini,0.3807829389424481,50
Customer Support,Photo effects,mistral,0.483640081799591,50
Customer Support,Photo effects,openai,0.24902132632193982,50
Customer Support,Photo effects,perplexity,0.0,50
Customer Support,Play games,anthropic,0.04218521764534034,50
Customer Support,Play games,gemini,0.012655565293602102,50
Customer Support,Play games,mistral,0.0,50
Customer Support,Play games,openai,0.005439672801635991,50
Customer Support,Play games,perplexity,0.11863277826468009,50
Customer Support,Play playlist on shuffle mode,anthropic,0.9833479404031551,50
Customer Support,Play playlist on shuffle mode,gemini,0.42826760151913523,50
Customer Support,Play playlist on shuffle mode,mistral,1.0,50
Customer Support,Play playlist on shuffle mode,openai,0.9156295647093193,50
Customer Support,Play playlist on shuffle mode,perplexity,0.059059304703476485,50
Customer Support,Rate movies,anthropic,0.9261758691206543,50
Customer Support,Rate movies,gemini,0.7911189015483495,50
Customer Support,Rate movies,mistral,1.0,50
Customer Support,Rate movies,openai,0.5043704352906807,50
Customer Support,Rate movies,perplexity,0.1117908267601519,50
Customer Support,Search for offer on item,anthropic,0.7318375693835816,50
Customer Support,Search for offer on item,gemini,0.23460122699386507,50
Customer Support,Search for offer on item,mistral,0.5509786736780602,50
Customer Support,Search for offer on item,openai,0.1431492842535787,50
Customer Support,Search for offer on item,perplexity,0.4339702015775635,50
Customer Support,Send files,anthropic,0.42979842243645927,50
Customer Support,Send files,gemini,0.8149868536371604,50
Customer Support,Send files,mistral,0.3974291557113642,50
Customer Support,Send files,openai,0.9,50
Customer Support,Send files,perplexity,0.05273152205667543,50
Customer Support,Watch streams,anthropic,0.2200058428279287,50
Customer Support,Watch streams,gemini,0.14260590125620798,50
Customer Support,Watch streams,mistral,0.4607069821793748,50
Customer Support,Watch streams,openai,0.1172304995617879,50
Customer Support,Watch streams,perplexity,0.0,50
Customer Support,Write notes,anthropic,0.7069237510955301,50
Customer Support,Write notes,gemini,0.6770201577563542,50
Customer Support,Write notes,mistral,0.9087934560327199,50
Customer Support,Write notes,openai,0.5843704352906807,50
Customer Support,Write notes,perplexity,0.31994157172071275,50
Customization Options,Access to movies,anthropic,0.0,50
Customization Options,Access to movies,gemini,0.546327782646801,50
Customization Options,Access to movies,mistral,0.0,50
Customization Options,Access to movies,openai,0.0,50
Customization Options,Access to movies,perplexity,0.4965819456617002,50
Customization Options,Access to podcasts,anthropic,0.0,50
Customization Options,Access to podcasts,gemini,0.47502191060473264,50
Customization Options,Access to podcasts,mistral,0.0,50
Customization Options,Access to podcasts,openai,0.0,50
Customization Options,Access to podcasts,perplexity,0.22211510371019574,50
Customization Options,Broadcast messages to multiple contacts,anthropic,0.8834823254455156,50
Customization Options,Broadcast messages to multiple contacts,gemini,0.16250073035349108,50
Customization Options,Broadcast messages to multiple contacts,mistral,1.0,50
Customization Options,Broadcast messages to multiple contacts,openai,0.21592170610575517,50
Customization Options,Broadcast messages to multiple contacts,perplexity,0.0,50
Customization Options,Build photo collage,anthropic,0.4607069821793748,10
Customization Options,Build photo collage,gemini,0.4392404323692667,50
Customization Options,Build photo collage,mistral,0.7662518258837278,50
Customization Options,Build photo collage,openai,0.5459304703476482,50
Customization Options,Build photo collage,perplexity,0.033526146654981,50
Customization Options,Collaborate with others,anthropic,0.48086473853345013,50
Customization Options,Collaborate with others,gemini,0.39230499561787907,50
Customization Options,Collaborate with others,mistral,0.8877008472100496,50
Customization Options,Collaborate with others,openai,0.02109260882267017,50
Customization Options,Collaborate with others,perplexity,0.19999999999999996,50
Customization Options,Go Live,anthropic,0.0,50
Customization Options,Go Live,gemini,0.037966695880806305,50
Customization Options,Go Live,mistral,0.21758691206543965,50
Customization Options,Go Live,openai,0.0,50
Customization Options,Go Live,perplexity,0.0,50
Customization Options,Keeping up with friends,anthropic,0.1326614081215308,50
Customization Options,Keeping up with friends,gemini,0.2825766871165644,50
Customization Options,Keeping up with friends,mistral,0.0,50
Customization Options,Keeping up with friends,openai,0.13402278702892198,50
Customization Options,Keeping up with friends,perplexity,0.0,50
