,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.0,0.0,0.0,0.0,0.0
Access to podcasts,0.2656826568265683,0.2590405904059041,0.2656826568265683,0.2656826568265683,0.17601476014760148
Broadcast messages,0.0,0.0,0.0,0.0,0.0
Build photo collage,0.049815498154981555,0.01992619926199262,0.09963099630996311,0.0,0.00996309963099631
Collaborate with others,0.0,0.0,0.0,0.0,0.0
Go Live,0.0,0.0,0.0,0.0,0.0
Keeping up with friends,0.0,0.0,0.0,0.0,0.0
List items for sale,0.0896678966789668,0.0,0.0,0.036531365313653134,0.24907749077490776
Photo effects,0.0,0.0,0.0,0.0,0.0
Play games,0.0,0.0,0.6346863468634687,0.0,0.0
Play playlist on shuffle mode,0.3653136531365314,0.255719557195572,0.3653136531365314,0.2656826568265683,0.06974169741697418
Rate movies,0.5313653136531366,0.6151291512915129,0.5313653136531366,0.6346863468634687,0.09963099630996311
Search for offer on item,0.24907749077490776,0.026568265682656828,0.09963099630996311,0.00996309963099631,0.0
Send files,0.0,0.0,0.0,0.0,0.0
Watch streams,0.11623616236162364,0.00996309963099631,0.1826568265682657,0.026568265682656828,0.0
Write notes,0.0,0.05977859778597786,0.0,0.06642066420664208,0.0
,,,,,
AVERAGE,0.10419741697416976,0.07788284132841328,0.13618542435424355,0.0815959409594096,0.03777675276752768
