,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.10135324186543067,0.11409418539611019,0.09736573043190964,0.11065743521031306,0.09736573043190964
Access to podcasts,0.3042099713893235,0.3926566921210074,0.2700191574779599,0.338398007929969,0.26275797831300995
Broadcast messages,0.07765670994136899,0.021512546539785266,0.05576380464031022,0.04923742955881581,0.0005948221475418106
Build photo collage,0.1257128737873894,0.040328681654843004,0.1624806118193943,0.11261903106877769,0.039954079913629294
Collaborate with others,0.06938416015685508,0.06938416015685508,0.06938416015685508,0.08520202319148547,0.06938416015685508
Go Live,0.0,0.012234243182773536,0.06251301119653206,0.019926250534583075,0.005948221475418106
Keeping up with friends,0.0,0.003412738161028636,0.0,0.0,0.08001752397957781
List items for sale,0.20062412698343807,0.1385046517358499,0.050621177529846254,0.13349021673640263,0.20100117589507457
Photo effects,0.06938416015685508,0.006113387250965203,0.0,0.004758577180334485,0.03366775841557925
Play games,0.06113236438296156,0.04209536175593221,0.37927021318131116,0.0,0.09946490527562925
Play playlist on shuffle mode,0.3526783356852127,0.24449554638948162,0.3526783356852127,0.2479858086783234,0.11503856938598304
Rate movies,0.43758065458246503,0.47818461649874033,0.4158204111852378,0.4834907327887194,0.20958034806421805
Search for offer on item,0.20233034637291497,0.03671133835329641,0.1388199086171756,0.016856101599426614,0.0
Send files,0.22572063213862434,0.21927488395319386,0.061328021435795355,0.15407989456935964,0.10385968862439836
Watch streams,0.30600835044635044,0.05090005623788525,0.3032496564146715,0.09756003596996413,0.011962534300563082
Write notes,0.09893869281913906,0.20192560981297075,0.1866787630764299,0.20032409672907994,0.1343628203433151
,,,,,
AVERAGE,0.16454466379427057,0.12948929370004492,0.16287456017804008,0.12841160260909712,0.0915600197951689
