model,feature,name,description,type,sources
mistral,Play games,User Ratings,Average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
mistral,Play games,User Engagement,Average time spent by users on the app per day.,Float [1],"App Annie, Sensor Tower, Google Play Store"
mistral,Play games,In-App Purchases,Revenue generated from in-app purchases.,Float [1],"App Annie, Sensor Tower, Google Play Store"
mistral,Play games,Update Frequency,Frequency of app updates and new content releases.,Text [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,User Ratings,The average rating given by users on various app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
mistral,Play games,User Engagement,The average time users spend on the app per day.,Float [1],"App Annie, Sensor Tower, SimilarWeb"
mistral,Play games,In-App Purchases,The availability and variety of in-app purchases for enhanced gameplay.,Boolean [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,Graphic Quality,The quality and realism of the graphics in the game.,Text [1],"Expert reviews, user reviews, gaming websites"
mistral,Play games,User Ratings,The average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
mistral,Play games,User Engagement,The average time users spend on the app daily.,Float [1],"App Annie, Sensor Tower, Google Play Store"
mistral,Play games,In-App Purchases,The availability and variety of in-app purchases.,Boolean [1],"Google Play Store, Apple App Store"
mistral,Play games,Content Updates,Frequency and quality of content updates and new features.,Text [1],"App release notes, developer blogs, community forums"
mistral,Play games,User Ratings,Average rating given by users on various app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
mistral,Play games,User Engagement,Average time users spend on the app per day.,Float [1],"App Annie, Sensor Tower, Google Play Store"
mistral,Play games,In-App Purchases,Revenue generated from in-app purchases.,Float [1],"App Annie, Sensor Tower, Google Play Store"
mistral,Play games,Update Frequency,"Frequency of app updates, indicating ongoing development and support.",Text [1],"Google Play Store, Apple App Store"
mistral,Play games,User Ratings,The average rating given by users on various app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,User Engagement,The average time users spend on the app per day.,Float [1],"App Annie, Sensor Tower"
mistral,Play games,In-App Purchases,The availability and variety of in-app purchases.,Boolean [1],"Google Play Store, Apple App Store"
mistral,Play games,Multiplayer Features,The availability and quality of multiplayer modes.,Text [1],"Official app descriptions, user reviews"
mistral,Play games,User Ratings,The average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
mistral,Play games,User Engagement,The average time users spend on the app daily.,Float [1],"App Annie, Sensor Tower, SimilarWeb"
mistral,Play games,In-App Purchases,The availability and variety of in-app purchases.,"Boolean [1], Text [*]","Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,Regular Updates,Frequency of updates and new content releases.,Text [1],"Google Play Store, Apple App Store, Amazon Appstore, App Annie"
mistral,Play games,User Ratings,The average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store, Amazon Appstore"
mistral,Play games,Number of Downloads,The total number of times the app has been downloaded.,Integer [1],"Google Play Store, Apple App Store, Amazon Appstore, Sensor Tower"
mistral,Play games,User Engagement,The average time users spend on the app per day.,Float [1],"App Annie, SimilarWeb, Google Play Store, Apple App Store"
mistral,Play games,Revenue Generation,The total revenue generated by the app through in-app purchases and ads.,Float [1],"Sensor Tower, App Annie, Priori Data"
mistral,Play games,Update Frequency,The frequency at which the app is updated with new content or features.,Text [1],"Google Play Store, Apple App Store, App Annie"
