model,feature,name,description,type,sources
openai,Search for offer on item,User Ratings,Average user rating of the app on major app stores.,Float [1],"App Store, Google Play Store"
openai,Search for offer on item,Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"App Store, Google Play Store"
openai,Search for offer on item,Number of Retailers Supported,Total number of retailers or stores the app provides deals for.,Integer [1],"Official app websites, App Store descriptions"
openai,Search for offer on item,Cashback Offers,Availability and extent of cashback offers provided by the app.,Boolean [1],"Official app websites, User reviews"
openai,Search for offer on item,Coupon Availability,Number and variety of coupons available through the app.,Integer [1],"Official app websites, User reviews"
openai,Search for offer on item,User Ratings,Average user rating of the app on app stores,Float [1],"App Store, Google Play Store"
openai,Search for offer on item,Number of Downloads,Total number of times the app has been downloaded,Integer [1],"App Store, Google Play Store"
openai,Search for offer on item,Feature Set,"Range of features offered by the app (e.g., price comparison, coupon integration, cashback)",Text [*],"App descriptions, official websites"
openai,Search for offer on item,Platform Availability,"Availability of the app across different platforms (e.g., iOS, Android, web)",Text [*],"App Store, Google Play Store, official websites"
openai,Search for offer on item,User Reviews,Qualitative feedback from users regarding app performance and usability,Text [*],"App Store, Google Play Store, review websites"
openai,Search for offer on item,Price Comparison,Ability to compare prices across multiple retailers to find the best deal.,Boolean [1],"turn0search0,turn0search1,turn0search3"
openai,Search for offer on item,Coupon Integration,Availability of coupons and promo codes to apply additional discounts.,Boolean [1],"turn0search1,turn0search5,turn0search8"
openai,Search for offer on item,Cashback Offers,Provision of cashback rewards on purchases made through the app.,Boolean [1],"turn0search5,turn0search8"
openai,Search for offer on item,Barcode Scanning,Feature to scan product barcodes for instant price comparison.,Boolean [1],"turn0search0,turn0search4"
openai,Search for offer on item,Price Alerts,Ability to set alerts for price drops on specific products.,Boolean [1],"turn0search4,turn0search8"
openai,Search for offer on item,Price Comparison,Ability to compare prices across multiple retailers to find the best deal.,Boolean [1],"turn0search0,turn0search2,turn0search3"
openai,Search for offer on item,Coupon Integration,Availability of coupons and promo codes to apply additional discounts.,Boolean [1],"turn0search3,turn0search4,turn0search7"
openai,Search for offer on item,Cashback Offers,Provision of cashback rewards on purchases made through the app.,Boolean [1],"turn0search4,turn0search7,turn0search8"
openai,Search for offer on item,Price Tracking,Capability to track price changes and alert users to price drops.,Boolean [1],"turn0search0,turn0search5,turn0search7"
openai,Search for offer on item,Barcode Scanning,Feature to scan product barcodes for instant price comparison.,Boolean [1],"turn0search0,turn0search5,turn0search7"
openai,Search for offer on item,Price Comparison,Ability to compare prices across multiple retailers to find the best deal.,Boolean [1],"turn0search0,turn0search2,turn0search3,turn0search4,turn0search9"
openai,Search for offer on item,Coupon Integration,Availability of coupons and promo codes to apply additional discounts.,Boolean [1],"turn0search2,turn0search5,turn0search6,turn0search8"
openai,Search for offer on item,Price Tracking,Feature to track price changes over time and alert users to price drops.,Boolean [1],"turn0search1,turn0search4,turn0search8"
openai,Search for offer on item,Barcode Scanning,Functionality to scan product barcodes for quick price comparisons.,Boolean [1],"turn0search0,turn0search4,turn0search9"
openai,Search for offer on item,Cashback Offers,Provision of cashback rewards on purchases made through the app.,Boolean [1],"turn0search5,turn0search8"
openai,Search for offer on item,User Reviews,Access to user-generated reviews and ratings for products.,Boolean [1],"turn0search0,turn0search4,turn0search9"
openai,Search for offer on item,Local Deals,Ability to find and alert users to deals available at nearby physical stores.,Boolean [1],"turn0search0,turn0search4,turn0search9"
openai,Search for offer on item,Wishlist Functionality,Option to create and manage wishlists for tracking desired products.,Boolean [1],"turn0search0,turn0search4,turn0search9"
openai,Search for offer on item,Multi-Platform Availability,"Availability of the app across various platforms (iOS, Android, Web).",Boolean [1],"turn0search0,turn0search4,turn0search9"
openai,Search for offer on item,User Interface and Experience,Ease of use and overall user experience of the app.,Text [1],"turn0search0,turn0search4,turn0search9"
openai,Search for offer on item,User Ratings,Average user rating of the app on app stores.,Float [1],"App Store, Google Play Store"
openai,Search for offer on item,Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"App Store, Google Play Store"
openai,Search for offer on item,Feature Set,Range and usefulness of features offered by the app.,Text [1],"App Store, Google Play Store, Official App Websites"
openai,Search for offer on item,User Reviews,Qualitative feedback from users about the app's performance and usability.,Text [*],"App Store, Google Play Store"
openai,Search for offer on item,Update Frequency,How often the app is updated to fix bugs and add new features.,Integer [1],"App Store, Google Play Store, Official App Websites"
openai,Search for offer on item,User Ratings,Average user rating of the app on app stores,Float [1],"App Store, Google Play Store"
openai,Search for offer on item,Number of Downloads,Total number of times the app has been downloaded,Integer [1],"App Store, Google Play Store"
openai,Search for offer on item,Feature Set,Range and usefulness of features offered by the app,Text [1],"App Store, Google Play Store, Official App Websites"
openai,Search for offer on item,User Reviews,Qualitative feedback from users about the app,Text [*],"App Store, Google Play Store"
openai,Search for offer on item,Update Frequency,How often the app is updated to fix bugs or add new features,Integer [1],"App Store, Google Play Store, Official App Websites"
openai,Search for offer on item,Price Comparison,Ability to compare prices across multiple retailers to find the best deal.,Boolean [1],"turn0search0,turn0search3,turn0search6"
openai,Search for offer on item,Coupon Availability,Access to valid coupon codes and automatic application during checkout.,Boolean [1],"turn0search3,turn0search4,turn0search8"
openai,Search for offer on item,Cashback Offers,Provision of cashback rewards on purchases made through the app.,Boolean [1],"turn0search4,turn0search8,turn0search7"
openai,Search for offer on item,Price Tracking,Ability to track price changes over time and alert users to price drops.,Boolean [1],"turn0search0,turn0search6,turn0search8"
openai,Search for offer on item,Barcode Scanning,Feature to scan product barcodes to quickly find and compare prices.,Boolean [1],"turn0search0,turn0search6,turn0search8"
openai,Search for offer on item,User Ratings,Average user rating of the app on app stores,Float [1],"App Store, Google Play Store"
openai,Search for offer on item,Number of Downloads,Total number of times the app has been downloaded,Integer [1],"App Store, Google Play Store"
