model,feature,jaccard,rbo
anthropic,Access to movies,0.09571428571428572,0.10577058788914821
anthropic,Access to podcasts,0.14633004926108376,0.2915085123480097
anthropic,Broadcast messages to multiple contacts,0.20523438741458766,0.14189553723963577
anthropic,Build photo collage,0.14418314418314418,0.15806996212875674
anthropic,Collaborate with others,0.049932523616734135,0.07196160800934048
anthropic,Go Live,0.06401137980085347,0.00897691182011048
anthropic,Keeping up with friends,0.0,0.0
anthropic,List items for sale,0.11139784946236557,0.19906192719135357
anthropic,Photo effects,0.08970588235294119,0.09234028378998704
anthropic,Play games,0.2002840909090909,0.11582529897037286
anthropic,Play playlist on shuffle mode,0.21969696969696972,0.34146142328619333
anthropic,Rate movies,0.0815552394499763,0.37436669293445857
anthropic,Search for offer on item,0.048326612903225805,0.17132383897794545
anthropic,Send files,0.2270894428152493,0.2601367491969475
anthropic,Watch streams,0.25070197947214073,0.3078997806109349
anthropic,Write notes,0.11428571428571428,0.13017099822934436
gemini,Access to movies,0.09899159663865546,0.13951635733567266
gemini,Access to podcasts,0.21382783882783882,0.37926186019567504
gemini,Broadcast messages to multiple contacts,0.020168067226890758,0.027321587070992925
gemini,Build photo collage,0.08814604077761974,0.05445505615169305
gemini,Collaborate with others,0.02564102564102564,0.06973665267286676
gemini,Go Live,0.09655809655809655,0.041074884886082984
gemini,Keeping up with friends,0.01637426900584795,0.008721825947505831
gemini,List items for sale,0.12992955135335557,0.15983458976830883
gemini,Photo effects,0.11137254901960784,0.04828659777784976
gemini,Play games,0.09418723315008144,0.06445442425028682
gemini,Play playlist on shuffle mode,0.1066409478174184,0.2205847866410621
gemini,Rate movies,0.08424213687371582,0.4077544840867149
gemini,Search for offer on item,0.034576612903225806,0.04222228955433314
gemini,Send files,0.1979812834224599,0.2482242347710281
gemini,Watch streams,0.1552179322970398,0.08643739589557956
gemini,Write notes,0.17700534759358288,0.22893472098629264
mistral,Access to movies,0.07162162162162163,0.10671675476157719
mistral,Access to podcasts,0.24643833943833943,0.28011586079023554
mistral,Broadcast messages to multiple contacts,0.1579032258064516,0.09851105061678501
mistral,Build photo collage,0.14362108479755537,0.18107585864056228
mistral,Collaborate with others,0.03643724696356275,0.07141335456064098
mistral,Go Live,0.11587824646648177,0.08382220362719986
mistral,Keeping up with friends,0.0,0.0
mistral,List items for sale,0.1296774193548387,0.08701292086971624
mistral,Photo effects,0.05990990990990991,0.023254521081175778
mistral,Play games,0.21136363636363636,0.3657929457932626
mistral,Play playlist on shuffle mode,0.25,0.3514235025715574
mistral,Rate movies,0.05547652916073968,0.34506499494066345
mistral,Search for offer on item,0.03125,0.12122094010254654
mistral,Send files,0.10864145658263305,0.09086659530283996
mistral,Watch streams,0.25494646829810896,0.3033476529773068
mistral,Write notes,0.14663865546218485,0.21251425866042822
openai,Access to movies,0.1208403361344538,0.13860167004395713
openai,Access to podcasts,0.16258620689655173,0.3158730153500146
openai,Broadcast messages to multiple contacts,0.02857142857142857,0.05479852509625518
openai,Build photo collage,0.173109243697479,0.15528671907766195
openai,Collaborate with others,0.05263157894736842,0.09975568583796339
openai,Go Live,0.11111111111111112,0.052668570605225076
openai,Keeping up with friends,0.0446693657219973,0.01745834108165086
openai,List items for sale,0.13333333333333333,0.16110657725447824
openai,Photo effects,0.14705882352941174,0.06089222910930301
openai,Play games,0.0,0.0
openai,Play playlist on shuffle mode,0.25,0.2768778331952674
openai,Rate movies,0.1021021021021021,0.41625873599712293
openai,Search for offer on item,0.025,0.025657310897857544
openai,Send files,0.18942179144385027,0.18807539611984347
openai,Watch streams,0.1567652141501762,0.12664063976099577
openai,Write notes,0.14285714285714285,0.22246499628975447
perplexity,Access to movies,0.13975044563279856,0.1240776482056418
perplexity,Access to podcasts,0.11236135388526935,0.24548259847806256
perplexity,Broadcast messages to multiple contacts,0.07185828877005349,0.03426203363973025
perplexity,Build photo collage,0.08654069158606364,0.05759868225975913
perplexity,Collaborate with others,0.03913630229419703,0.07382577760814871
perplexity,Go Live,0.0840840840840841,0.027296860132513857
perplexity,Keeping up with friends,0.13350493350493348,0.12513299345034412
perplexity,List items for sale,0.12268817204301075,0.18631965879395535
perplexity,Photo effects,0.11067298856301414,0.06894865208380949
perplexity,Play games,0.14807056913674563,0.1374951884105711
perplexity,Play playlist on shuffle mode,0.10694729247360826,0.11726098961554624
perplexity,Rate movies,0.09057779584095374,0.20445973619975666
perplexity,Search for offer on item,0.02560483870967742,0.00915248907145878
perplexity,Send files,0.17243936210847977,0.1358501217399915
perplexity,Watch streams,0.130672268907563,0.04194984601841313
perplexity,Write notes,0.1423645320197044,0.17348002311102012
