feature,model1,model2,rbo
Access to movies,openai,mistral,0.8937269372693726
Access to movies,openai,gemini,0.6708487084870849
Access to movies,mistral,gemini,0.6618819188191882
Access to podcasts,openai,mistral,1.0
Access to podcasts,openai,gemini,0.4407544075440755
Access to podcasts,mistral,gemini,0.4407544075440755
Broadcast messages to multiple contacts,openai,mistral,0.5280442804428045
Broadcast messages to multiple contacts,openai,gemini,0.13228782287822877
Broadcast messages to multiple contacts,mistral,gemini,0.2109471094710947
Build photo collage,openai,mistral,0.029889298892988934
Build photo collage,openai,gemini,0.02690036900369004
Build photo collage,mistral,gemini,0.15682656826568264
Collaborate with others,openai,mistral,0.5313653136531367
Collaborate with others,openai,gemini,0.8933579335793357
Collaborate with others,mistral,gemini,0.5842066420664207
Go Live,openai,mistral,0.05313653136531366
Go Live,openai,gemini,0.6104243542435425
Go Live,mistral,gemini,0.39852398523985244
Keeping up with friends,openai,mistral,0.6445756457564576
Keeping up with friends,openai,gemini,0.3512177121771218
Keeping up with friends,mistral,gemini,0.5461254612546125
List items for sale,openai,mistral,0.5169741697416974
List items for sale,openai,gemini,0.6464944649446496
List items for sale,mistral,gemini,0.7343173431734317
Photo effects,openai,mistral,0.3676752767527675
Photo effects,openai,gemini,0.3254981549815498
Photo effects,mistral,gemini,0.25948339483394833
Play games,openai,mistral,0.0
Play games,openai,gemini,0.0
Play games,mistral,gemini,0.08169741697416974
Play playlist on shuffle mode,openai,mistral,0.9003690036900366
Play playlist on shuffle mode,openai,gemini,0.5633456334563346
Play playlist on shuffle mode,mistral,gemini,0.6297662976629766
Rate movies,openai,mistral,0.26568265682656833
Rate movies,openai,gemini,0.3394833948339484
Rate movies,mistral,gemini,0.9062730627306272
Search for offer on item,openai,mistral,0.28597785977859774
Search for offer on item,openai,gemini,0.23845018450184505
Search for offer on item,mistral,gemini,0.07306273062730627
Send files,openai,mistral,0.024243542435424353
Send files,openai,gemini,0.6422878228782288
Send files,mistral,gemini,0.02863468634686347
Watch streams,openai,mistral,0.14612546125461254
Watch streams,openai,gemini,0.19095940959409594
Watch streams,mistral,gemini,0.21918819188191885
Write notes,openai,mistral,0.5464944649446495
Write notes,openai,gemini,0.4965313653136532
Write notes,mistral,gemini,0.3487084870848709
