family,model,provider,mode,k,feature,run,name,description,type,sources,cluster_id,cluster_size,selection_method,centroid_distance,connectivity_score,silhouette_score
open,gptoss20b,ollama,structured,20,Receive payment receipts,3,User Rating,"Overall average rating from app store reviews, indicating user satisfaction.",,,0,1412,aggregated_voting,0.2638449966907501,0.8647330403327942,0.37443503737449646
open,gemma3_4b,ollama,structured,20,Post content updates,8,Storage & Bandwidth,"The app's efficient use of storage and bandwidth, impacting content upload/download speeds and overall performance.",,,1,418,aggregated_voting,0.6375135183334351,0.48043501377105713,-0.060160081833601
open,qwen3_8b,ollama,structured,20,View maps offline,7,Popularity and Downloads,Measured by the number of downloads on app stores,,,2,812,aggregated_voting,0.35691237449645996,0.7682586908340454,0.2591020166873932
open,gemma3_4b,ollama,structured,20,Track order delivery status,0,Real-time Tracking Accuracy,The precision and timeliness of the delivery location updates provided by the app.  Apps with consistently accurate and frequent updates score higher.,,,3,1009,aggregated_voting,0.6153354048728943,0.47530803084373474,0.025974877178668976
open,llama31_8b,ollama,structured,20,File management,2,User Interface,"Ease of use, navigation, and overall user experience of the app.",,,4,1657,aggregated_voting,0.3985799252986908,0.7034000158309937,0.2862923741340637
open,gemma3_4b,ollama,structured,20,Send messages,3,Customization Options,The ability to personalize app settings and themes is considered positively.,,,5,1011,aggregated_voting,0.5189114809036255,0.5752610564231873,0.12691420316696167
open,gptoss20b,ollama,structured,20,Stream music,6,Audio Quality & Features,"Assesses bitrate options, lossless streaming availability, user interface design, and additional features such as playlists, radio, and offline listening.",,,6,551,aggregated_voting,0.5817123055458069,0.519098162651062,0.1270177960395813
open,qwen3_8b,ollama,structured,20,Offline learning,8,Offline Functionality,Ability to access content without internet connection,,,7,953,aggregated_voting,0.4600065052509308,0.6686851978302002,0.31195536255836487
open,gemma3_4b,ollama,structured,20,Transfer money,9,Currency Support,The range of currencies supported for transfers.,,,8,309,aggregated_voting,0.5112176537513733,0.6061422824859619,0.18705379962921143
open,qwen3_8b,ollama,structured,20,Receive money,4,Regional Availability,Number of countries/regions supporting the app,,,9,311,aggregated_voting,0.5069465637207031,0.6108141541481018,0.14370650053024292
open,qwen3_8b,ollama,structured,20,View account balances,6,Additional Features,"Apps offering complementary features like transaction tracking, budgeting tools, or alerts enhance overall value.",,,10,874,aggregated_voting,0.6071887016296387,0.47193193435668945,0.018776316195726395
open,llama31_8b,ollama,structured,20,Personalized news feed,4,Content Variety,"The number and diversity of news sources, topics, and formats available in the app.",,,11,473,aggregated_voting,0.5356646180152893,0.5657429695129395,0.14509721100330353
open,gptoss20b,ollama,structured,20,Browse by category,3,Personalization,The degree to which the app tailors category browsing with personalized recommendations or highlights based on user preferences and history.,,,12,739,aggregated_voting,0.6174241900444031,0.4871348440647125,0.017395440489053726
open,gemma3_4b,ollama,structured,20,Monitor heart rate,6,Data Privacy & Security,The app's commitment to protecting user data and ensuring privacy is paramount.,,,13,571,aggregated_voting,0.4678727388381958,0.6597680449485779,0.16548633575439453
