feature,model1,model2,rbo
Access to movies,openai,mistral,0.8784281521417977
Access to movies,openai,gemini,0.7059627527360673
Access to movies,mistral,gemini,0.6685076975118909
Access to podcasts,openai,mistral,0.8378095195649403
Access to podcasts,openai,gemini,0.5251552992857377
Access to podcasts,mistral,gemini,0.50402690221542
Broadcast messages to multiple contacts,openai,mistral,0.511363890963219
Broadcast messages to multiple contacts,openai,gemini,0.1541954038618533
Broadcast messages to multiple contacts,mistral,gemini,0.13638932890476524
Build photo collage,openai,mistral,0.3095487991026111
Build photo collage,openai,gemini,0.17832026567981277
Build photo collage,mistral,gemini,0.27435623116641034
Collaborate with others,openai,mistral,0.5920438648942747
Collaborate with others,openai,gemini,0.7386991288124622
Collaborate with others,mistral,gemini,0.664354633526218
Go Live,openai,mistral,0.1902117933278923
Go Live,openai,gemini,0.6735335058634236
Go Live,mistral,gemini,0.3052049868371201
Keeping up with friends,openai,mistral,0.48120495134803853
Keeping up with friends,openai,gemini,0.38852859592375105
Keeping up with friends,mistral,gemini,0.536632019902163
List items for sale,openai,mistral,0.642189007559268
List items for sale,openai,gemini,0.6363008799737301
List items for sale,mistral,gemini,0.6707474055184811
Photo effects,openai,mistral,0.40311422303000816
Photo effects,openai,gemini,0.37569099935001576
Photo effects,mistral,gemini,0.4103490394849193
Play games,openai,mistral,0.00023471897880411233
Play games,openai,gemini,0.0005818001704822363
Play games,mistral,gemini,0.1641824325410176
Play playlist on shuffle mode,openai,mistral,0.8600521719681063
Play playlist on shuffle mode,openai,gemini,0.40280585705676664
Play playlist on shuffle mode,mistral,gemini,0.4499818499246625
Rate movies,openai,mistral,0.2527325979271894
Rate movies,openai,gemini,0.2931116746196173
Rate movies,mistral,gemini,0.632001038953105
Search for offer on item,openai,mistral,0.3086635207644946
Search for offer on item,openai,gemini,0.3797393400070774
Search for offer on item,mistral,gemini,0.20694323309548157
Send files,openai,mistral,0.1512654939225024
Send files,openai,gemini,0.5494990686854478
Send files,mistral,gemini,0.11215403807079877
Watch streams,openai,mistral,0.1892630074641411
Watch streams,openai,gemini,0.20548361809583982
Watch streams,mistral,gemini,0.27714913712979533
Write notes,openai,mistral,0.676370523086654
Write notes,openai,gemini,0.6651436609978246
Write notes,mistral,gemini,0.6012534564184729
