feature,model1,model2,jaccard
Access to movies,openai,mistral,0.47647537647537647
Access to movies,openai,gemini,0.3802200620415304
Access to movies,mistral,gemini,0.3561973734665616
Access to podcasts,openai,mistral,0.4322678343367999
Access to podcasts,openai,gemini,0.3162939180458647
Access to podcasts,mistral,gemini,0.35102923194477353
Broadcast messages to multiple contacts,openai,mistral,0.16662422544775485
Broadcast messages to multiple contacts,openai,gemini,0.14157648337214898
Broadcast messages to multiple contacts,mistral,gemini,0.05896272212061686
Build photo collage,openai,mistral,0.3075732295142751
Build photo collage,openai,gemini,0.1766153407027254
Build photo collage,mistral,gemini,0.19926979753355462
Collaborate with others,openai,mistral,0.390121780971058
Collaborate with others,openai,gemini,0.37071582430258737
Collaborate with others,mistral,gemini,0.43530412324461265
Go Live,openai,mistral,0.12114339611766084
Go Live,openai,gemini,0.36088129720965223
Go Live,mistral,gemini,0.14019862877206143
Keeping up with friends,openai,mistral,0.15986984236509852
Keeping up with friends,openai,gemini,0.21104417733564496
Keeping up with friends,mistral,gemini,0.29320382917893223
List items for sale,openai,mistral,0.4603402608829896
List items for sale,openai,gemini,0.4469290836877044
List items for sale,mistral,gemini,0.4112243722165858
Photo effects,openai,mistral,0.269234440666751
Photo effects,openai,gemini,0.2810651303700771
Photo effects,mistral,gemini,0.24811922399323433
Play games,openai,mistral,0.0051619433198380575
Play games,openai,gemini,0.0030971659919028344
Play games,mistral,gemini,0.15957150367367082
Play playlist on shuffle mode,openai,mistral,0.686018445322793
Play playlist on shuffle mode,openai,gemini,0.1624398197195132
Play playlist on shuffle mode,mistral,gemini,0.16567534241460435
Rate movies,openai,mistral,0.1264265105286777
Rate movies,openai,gemini,0.18608387842733193
Rate movies,mistral,gemini,0.15654055889350008
Search for offer on item,openai,mistral,0.2681392858488324
Search for offer on item,openai,gemini,0.31808593322693957
Search for offer on item,mistral,gemini,0.21354559672616025
Send files,openai,mistral,0.1023617047146459
Send files,openai,gemini,0.278706515414786
Send files,mistral,gemini,0.08818782273890631
Watch streams,openai,mistral,0.23015874767294645
Watch streams,openai,gemini,0.21879918377635996
Watch streams,mistral,gemini,0.2326893629965757
Write notes,openai,mistral,0.47108033696826807
Write notes,openai,gemini,0.3549806486925508
Write notes,mistral,gemini,0.3909578544061303
