model,feature,name,description,type,sources
anthropic,Watch streams,Content Library Size,"Total number of available movies, TV shows, live streams, and other video content",Integer [1],"App stores, official websites, third-party analytics platforms"
anthropic,Watch streams,Streaming Quality Support,"Maximum supported video resolution and quality (4K, HDR, Dolby Vision support)",Text [1],"Technical specifications, app documentation, user reviews"
anthropic,Watch streams,Platform Availability,"Number of supported platforms and devices (iOS, Android, Smart TV, Web, Gaming consoles)",Integer [1],"Official app stores, platform compatibility lists"
anthropic,Watch streams,User Base Size,Total number of active monthly users across all platforms,Integer [1],"Company reports, market research, analytics platforms"
anthropic,Watch streams,Free Content Availability,Percentage of content available without subscription or payment,Float [1],"App analysis, content catalogs, subscription models"
anthropic,Watch streams,User Interface Quality,"Overall user experience rating based on navigation, design, and ease of use",Float [1],"User reviews, UX analysis, app store ratings"
anthropic,Watch streams,Content Library Size,"Total number of movies, TV shows, live channels, or streaming content available on the platform",Integer [1],"App store descriptions, official websites, third-party streaming databases"
anthropic,Watch streams,Monthly Active Users,Number of users actively engaging with the streaming platform per month,Integer [1],"Company reports, analytics platforms, market research firms"
anthropic,Watch streams,Video Quality Support,Maximum supported video resolution and streaming quality options,Text [1],"Technical specifications, app store listings, streaming platform documentation"
anthropic,Watch streams,Subscription Cost,Monthly subscription fee in USD for basic tier access,Float [1],"Official pricing pages, app store subscription details"
anthropic,Watch streams,Platform Availability,Number of different devices and platforms the app supports,Integer [1],"App stores, official website compatibility lists"
anthropic,Watch streams,User Rating,Average user rating score across major app stores,Float [1],"Google Play Store, Apple App Store, user review aggregators"
anthropic,Watch streams,Content Library Size,"Total number of movies, TV shows, live channels, and streaming content available on the platform",Integer [1],"App store descriptions, official websites, streaming databases"
anthropic,Watch streams,Monthly Active Users,Number of unique users who actively use the streaming app per month,Integer [1],"Public company reports, industry analytics, market research"
anthropic,Watch streams,Content Quality Score,Average rating of content based on critical reviews and user ratings,Float [1],"IMDb, Rotten Tomatoes, user reviews, critic scores"
anthropic,Watch streams,Platform Availability,Number of different devices and platforms the app supports,Integer [1],"App stores, official compatibility lists, device manufacturer websites"
anthropic,Watch streams,Streaming Quality Options,Maximum video resolution and audio quality supported,Text [1],"Technical specifications, app settings, official documentation"
anthropic,Watch streams,User Interface Rating,Average user rating for app interface and user experience,Float [1],"App store ratings, user reviews, UX studies"
anthropic,Watch streams,Content Library Size,"Total number of movies, TV shows, and exclusive content available on the platform",Integer [1],"Platform databases, third-party content tracking services, official announcements"
anthropic,Watch streams,Video Quality Support,"Maximum supported video resolution and streaming quality (4K, HDR, Dolby Vision support)",Text [1],"Platform specifications, device compatibility lists, technical documentation"
anthropic,Watch streams,Monthly Active Users,"Number of active users streaming content monthly, indicating platform popularity and reliability",Integer [1],"Company reports, market research firms, industry analytics"
anthropic,Watch streams,Platform Availability,"Number of supported devices and platforms (Smart TVs, mobile, gaming consoles, web browsers)",Integer [1],"Official compatibility lists, app stores, device manufacturer partnerships"
anthropic,Watch streams,Pricing Value,Cost-effectiveness based on subscription price versus content quality and quantity offered,Float [1],"Official pricing pages, promotional offers, feature comparison analysis"
anthropic,Watch streams,Content Library Size,"Total number of available streams, videos, shows, and content pieces",Integer [1],"App store descriptions, official websites, third-party analytics"
anthropic,Watch streams,User Base and Engagement,Monthly active users and average session duration,Integer [2],"App store ratings, analytics platforms, company reports"
anthropic,Watch streams,Streaming Quality Options,Maximum supported video resolution and quality settings available,Text [*],"Technical specifications, user reviews, app features"
anthropic,Watch streams,Platform Availability,Number of supported devices and operating systems,Integer [1],"Official app stores, compatibility lists, developer websites"
anthropic,Watch streams,Content Variety,"Range of content categories including live streams, on-demand, original content",Integer [1],"Content catalogs, genre classifications, platform features"
anthropic,Watch streams,User Experience Rating,Average user rating across app stores and review platforms,Float [1],"Google Play Store, Apple App Store, user review aggregators"
anthropic,Watch streams,Content Library Size,"Total number of movies, TV shows, live channels, and streaming content available on the platform",Integer [1],"App store descriptions, official websites, industry reports"
anthropic,Watch streams,Monthly Active Users,Number of unique users who actively use the app within a 30-day period,Integer [1],"Company earnings reports, analytics platforms, market research firms"
anthropic,Watch streams,Streaming Quality Options,Maximum video resolution and audio quality supported by the platform,Text [1],"Technical specifications, app settings, official documentation"
anthropic,Watch streams,Platform Availability,Number of different devices and operating systems the app supports,Integer [1],"App stores, official compatibility lists, device manufacturer websites"
anthropic,Watch streams,Subscription Price Range,Monthly cost range for accessing premium content and features,Float [2],"Official pricing pages, subscription plans, promotional offers"
anthropic,Watch streams,User Rating Score,Average user rating across major app stores and review platforms,Float [1],"Google Play Store, Apple App Store, user review aggregators"
anthropic,Watch streams,Content Library Size,"Total number of available streams, shows, movies, and live channels",Integer [1],"App store descriptions, official websites, content databases"
anthropic,Watch streams,Monthly Active Users,Number of users actively using the platform monthly for streaming,Integer [1],"Public reports, analytics platforms, company earnings reports"
anthropic,Watch streams,Streaming Quality,Maximum supported video resolution and audio quality,Text [1],"Technical specifications, user reviews, platform documentation"
anthropic,Watch streams,Platform Availability,Number of devices and platforms the app supports,Integer [1],"Official platform support pages, app store availability"
anthropic,Watch streams,User Rating,Average user rating across major app stores,Float [1],"Google Play Store, Apple App Store, review aggregators"
anthropic,Watch streams,Subscription Cost,Monthly subscription price for standard tier,Float [1],"Official pricing pages, subscription comparison sites"
anthropic,Watch streams,Content Library Size,Total number of hours of streamable content available on the platform,Integer [1],"Platform databases, content catalogs, third-party analytics"
anthropic,Watch streams,User Base Size,Total number of active monthly users on the streaming platform,Integer [1],"Company reports, analytics firms, app store statistics"
anthropic,Watch streams,Streaming Quality,Maximum supported video resolution and audio quality,Text [1],"Technical specifications, user reviews, platform documentation"
anthropic,Watch streams,Content Variety,"Diversity of content types including live streams, VOD, movies, TV shows, user-generated content",Integer [1],"Content categorization, platform features, content analysis"
anthropic,Watch streams,Platform Reliability,Uptime percentage and streaming stability based on user reports and technical monitoring,Float [1],"Downtime tracking services, user reviews, technical monitoring"
anthropic,Watch streams,Content Library Size,"Total number of movies, TV shows, live streams, and other video content available on the platform",Integer [1],"App store descriptions, official platform statistics, third-party content databases"
anthropic,Watch streams,Video Quality Support,"Maximum supported video resolution and streaming quality (480p, 720p, 1080p, 4K, HDR)",Text [1],"Technical specifications, app store features, platform documentation"
anthropic,Watch streams,User Rating,Average user rating score from app stores and review platforms,Float [1],"App Store ratings, Google Play ratings, user review aggregators"
anthropic,Watch streams,Monthly Active Users,Number of monthly active users globally accessing the streaming platform,Integer [1],"Company reports, market research, analytics platforms"
anthropic,Watch streams,Platform Availability,"Number of different platforms and devices the app supports (iOS, Android, Smart TV, Web, etc.)",Integer [1],"Official platform support pages, app store availability"
anthropic,Watch streams,Subscription Cost,Monthly subscription price in USD for basic tier access,Float [1],"Official pricing pages, subscription plan details"
anthropic,Watch streams,Content Library Size,"Total number of available titles, shows, movies, and live streams",Integer [1],"App store descriptions, official websites, content databases"
anthropic,Watch streams,User Rating,Average user rating score on app stores,Float [1],"Google Play Store, Apple App Store"
anthropic,Watch streams,Monthly Active Users,Number of monthly active users globally,Integer [1],"Company reports, analytics platforms, industry research"
