,jaccard
Access to movies,0.08333333333333333
Access to podcasts,0.2692307692307692
Broadcast messages,0.2413793103448276
Build photo collage,0.2903225806451613
Collaborate with others,0.08108108108108109
Go Live,0.02564102564102564
Keeping up with friends,0.05263157894736842
List items for sale,0.030303030303030304
Photo effects,0.02631578947368421
Play games,0.0
Play playlist on shuffle mode,0.25
Rate movies,0.02564102564102564
Search for offer on item,0.03125
Send files,0.1875
Watch streams,0.18181818181818182
Write notes,0.14285714285714285
,
AVERAGE,0.11995655308228947
