,,rbo
k3,Access to movies,0.6346863468634686
k3,Access to podcasts,0.2656826568265683
k3,Broadcast messages,0.2656826568265683
k3,Build photo collage,0.19926199261992622
k3,Collaborate with others,0.0
k3,Go Live,0.0
k3,Keeping up with friends,0.0
k3,List items for sale,0.6346863468634686
k3,Photo effects,0.0
k3,Play games,0.0
k3,Play playlist on shuffle mode,0.2656826568265683
k3,Rate movies,0.0
k3,Search for offer on item,0.0
k3,Send files,0.2656826568265683
k3,Watch streams,0.0
k3,Write notes,0.0
k3,,
k3,AVERAGE,0.15821033210332103
k10,Access to movies,0.3972069625569204
k10,Access to podcasts,0.3794789207205194
k10,Broadcast messages,0.2571476351514348
k10,Build photo collage,0.35892042034204263
k10,Collaborate with others,0.06938416015685508
k10,Go Live,0.0
k10,Keeping up with friends,0.04923742955881581
k10,List items for sale,0.3614441988713819
k10,Photo effects,0.0
k10,Play games,0.0
k10,Play playlist on shuffle mode,0.24798580867832343
k10,Rate movies,0.0
k10,Search for offer on item,0.005948221475418107
k10,Send files,0.28556691553398794
k10,Watch streams,0.09185521906399015
k10,Write notes,0.06849488346825765
k10,,
k10,AVERAGE,0.1607919234736217
k20,Access to movies,0.34938753961643276
k20,Access to podcasts,0.38601970523445694
k20,Broadcast messages,0.26542347898875435
k20,Build photo collage,0.37640830617214854
k20,Collaborate with others,0.08540555728120806
k20,Go Live,0.001668213431730377
k20,Keeping up with friends,0.06948062613481586
k20,List items for sale,0.28628941279029807
k20,Photo effects,0.003963828616321385
k20,Play games,0.0
k20,Play playlist on shuffle mode,0.28465937151791154
k20,Rate movies,0.014682101038560677
k20,Search for offer on item,0.02270102372284555
k20,Send files,0.30230584780159026
k20,Watch streams,0.13404021478511946
k20,Write notes,0.1386312334996624
k20,,
k20,AVERAGE,0.170066653789491
