,jaccard
Access to movies,0.17647058823529413
Access to podcasts,0.35714285714285715
Broadcast messages,0.1111111111111111
Build photo collage,0.3333333333333333
Collaborate with others,0.05263157894736842
Go Live,0.0
Keeping up with friends,0.05263157894736842
List items for sale,0.05263157894736842
Photo effects,0.0
Play games,0.0
Play playlist on shuffle mode,0.17647058823529413
Rate movies,0.0
Search for offer on item,0.05263157894736842
Send files,0.25
Watch streams,0.1111111111111111
Write notes,0.25
,
AVERAGE,0.12351036905990466
