feature,jaccard,rbo
Access to movies,0.2,0.6346863468634686
Access to podcasts,0.2,0.2656826568265683
Broadcast messages to multiple contacts,0.2,0.2656826568265683
Build photo collage,0.5,0.19926199261992622
Collaborate with others,0.0,0.0
Go Live,0.0,0.0
Keeping up with friends,0.0,0.0
List items for sale,0.2,0.6346863468634686
Photo effects,0.0,0.0
Play games,0.0,0.0
Play playlist on shuffle mode,0.2,0.2656826568265683
Rate movies,0.0,0.0
Search for offer on item,0.0,0.0
Send files,0.2,0.2656826568265683
Watch streams,0.0,0.0
Write notes,0.0,0.0
