feature,model,rbo
Access to movies,anthropic,0.9667896678966789
Access to podcasts,anthropic,1.0
Broadcast messages to multiple contacts,anthropic,0.9535055350553506
Build photo collage,anthropic,0.7667896678966789
Collaborate with others,anthropic,1.0
Go Live,anthropic,0.8078720787207873
Keeping up with friends,anthropic,0.8
List items for sale,anthropic,0.9062730627306274
Photo effects,anthropic,0.891512915129151
Play games,anthropic,0.8376383763837639
Play playlist on shuffle mode,anthropic,0.9667896678966789
Rate movies,anthropic,0.9291512915129151
Search for offer on item,anthropic,0.9313653136531366
Send files,anthropic,0.6592045920459204
Watch streams,anthropic,0.8730627306273064
Write notes,anthropic,0.9645756457564576
Access to movies,gemini,0.8199261992619925
Access to podcasts,gemini,0.5079130791307912
Broadcast messages to multiple contacts,gemini,0.20803608036080362
Build photo collage,gemini,0.4077080770807707
Collaborate with others,gemini,0.8464944649446497
Go Live,gemini,0.7219352193521936
Keeping up with friends,gemini,0.4618286182861828
List items for sale,gemini,0.9468634686346863
Photo effects,gemini,0.38687986879868785
Play games,gemini,0.10742107421074211
Play playlist on shuffle mode,gemini,0.475030750307503
Rate movies,gemini,0.8311603116031162
Search for offer on item,gemini,0.21968019680196804
Send files,gemini,0.6857728577285774
Watch streams,gemini,0.7756457564575645
Write notes,gemini,0.50660106601066
Access to movies,mistral,0.851660516605166
Access to podcasts,mistral,1.0
Broadcast messages to multiple contacts,mistral,1.0
Build photo collage,mistral,0.9402214022140222
Collaborate with others,mistral,0.9468634686346865
Go Live,mistral,0.9261992619926199
Keeping up with friends,mistral,0.8760147601476015
List items for sale,mistral,1.0
Photo effects,mistral,0.48733087330873315
Play games,mistral,0.9468634686346863
Play playlist on shuffle mode,mistral,1.0
Rate movies,mistral,1.0
Search for offer on item,mistral,1.0
Send files,mistral,0.7151291512915129
Watch streams,mistral,0.9077490774907746
Write notes,mistral,1.0
Access to movies,openai,1.0
Access to podcasts,openai,1.0
Broadcast messages to multiple contacts,openai,0.8944649446494465
Build photo collage,openai,0.9062730627306276
Collaborate with others,openai,1.0
Go Live,openai,0.9055350553505536
Keeping up with friends,openai,0.738909389093891
List items for sale,openai,0.49446494464944646
Photo effects,openai,0.891512915129151
Play games,openai,0.193439934399344
Play playlist on shuffle mode,openai,1.0
Rate movies,openai,0.9003690036900369
Search for offer on item,openai,0.7084870848708487
Send files,openai,0.8
Watch streams,openai,0.7940959409594096
Write notes,openai,0.6175481754817548
Access to movies,perplexity,1.0
Access to podcasts,perplexity,0.5855678556785568
Broadcast messages to multiple contacts,perplexity,1.0
Build photo collage,perplexity,0.46666666666666684
Collaborate with others,perplexity,0.9357933579335794
Go Live,perplexity,0.6450184501845019
Keeping up with friends,perplexity,0.8730627306273064
List items for sale,perplexity,0.9468634686346863
Photo effects,perplexity,0.73439934399344
Play games,perplexity,0.6143501435014349
Play playlist on shuffle mode,perplexity,0.9535055350553506
Rate movies,perplexity,0.46830668306683065
Search for offer on item,perplexity,0.9468634686346863
Send files,perplexity,0.6643706437064372
Watch streams,perplexity,0.665108651086511
Write notes,perplexity,0.7867158671586716
