feature,model1,model2,jaccard
Access to movies,anthropic,gemini,0.3494902693401026
Access to movies,anthropic,mistral,0.5983589743589742
Access to movies,anthropic,openai,0.4091589126071885
Access to movies,anthropic,perplexity,0.38041218637992835
Access to movies,gemini,mistral,0.3561973734665616
Access to movies,gemini,openai,0.3802200620415304
Access to movies,gemini,perplexity,0.24853377536169688
Access to movies,mistral,openai,0.4764753764753765
Access to movies,mistral,perplexity,0.34733195614174484
Access to movies,openai,perplexity,0.3410376608930558
Access to podcasts,anthropic,gemini,0.3750055662625184
Access to podcasts,anthropic,mistral,0.4200741342865926
Access to podcasts,anthropic,openai,0.4095785440613027
Access to podcasts,anthropic,perplexity,0.4044866271618218
Access to podcasts,gemini,mistral,0.3571278518205823
Access to podcasts,gemini,openai,0.3167075369939664
Access to podcasts,gemini,perplexity,0.3299980572716947
Access to podcasts,mistral,openai,0.4322678343367999
Access to podcasts,mistral,perplexity,0.37419808788829934
Access to podcasts,openai,perplexity,0.36427757767301716
Broadcast messages to multiple contacts,anthropic,gemini,0.04700733121785752
Broadcast messages to multiple contacts,anthropic,mistral,0.38525592425536814
Broadcast messages to multiple contacts,anthropic,openai,0.13731092436974787
Broadcast messages to multiple contacts,anthropic,perplexity,0.18991928638513073
Broadcast messages to multiple contacts,gemini,mistral,0.053711756869651614
Broadcast messages to multiple contacts,gemini,openai,0.13669425861376325
Broadcast messages to multiple contacts,gemini,perplexity,0.16473021075487868
Broadcast messages to multiple contacts,mistral,openai,0.16662422544775485
Broadcast messages to multiple contacts,mistral,perplexity,0.22071596967232637
Broadcast messages to multiple contacts,openai,perplexity,0.09965486052173357
Build photo collage,anthropic,gemini,0.17332443214796153
Build photo collage,anthropic,mistral,0.27401731913313404
Build photo collage,anthropic,openai,0.23136665516646537
Build photo collage,anthropic,perplexity,0.14933379256823776
Build photo collage,gemini,mistral,0.19926979753355462
Build photo collage,gemini,openai,0.1766153407027254
Build photo collage,gemini,perplexity,0.18513257983068393
Build photo collage,mistral,openai,0.3075732295142751
Build photo collage,mistral,perplexity,0.2079648951892591
Build photo collage,openai,perplexity,0.1574008388778313
Collaborate with others,anthropic,gemini,0.46147051193769767
Collaborate with others,anthropic,mistral,0.4956365346020518
Collaborate with others,anthropic,openai,0.4412193170813861
Collaborate with others,anthropic,perplexity,0.31044752707433465
Collaborate with others,gemini,mistral,0.43530412324461276
Collaborate with others,gemini,openai,0.3707158243025874
Collaborate with others,gemini,perplexity,0.34310969887443754
Collaborate with others,mistral,openai,0.390121780971058
Collaborate with others,mistral,perplexity,0.3289066105762762
Collaborate with others,openai,perplexity,0.2910745945887933
Go Live,anthropic,gemini,0.12052534622194065
Go Live,anthropic,mistral,0.24118567016502218
Go Live,anthropic,openai,0.12847402023872612
Go Live,anthropic,perplexity,0.13162542623842932
Go Live,gemini,mistral,0.13838724838937688
Go Live,gemini,openai,0.3726933610663899
Go Live,gemini,perplexity,0.37284283366237175
Go Live,mistral,openai,0.12114339611766085
Go Live,mistral,perplexity,0.14885627330705606
Go Live,openai,perplexity,0.4130628478348167
Keeping up with friends,anthropic,gemini,0.3455596633876422
