feature,model,rbo
Access to movies,anthropic,0.9621987253058532
Access to podcasts,anthropic,0.9762643158897216
Broadcast messages to multiple contacts,anthropic,0.9005562745720493
Build photo collage,anthropic,0.6865610119411004
Collaborate with others,anthropic,0.9621020243705891
Go Live,anthropic,0.84912049359804
Keeping up with friends,anthropic,0.80882176259432
List items for sale,anthropic,0.9176806427193476
Photo effects,anthropic,0.897587848892579
Play games,anthropic,0.8325032355742228
Play playlist on shuffle mode,anthropic,0.9573724695367632
Rate movies,anthropic,0.8947644746160042
Search for offer on item,anthropic,0.8744323703938852
Send files,anthropic,0.6678206745731349
Watch streams,anthropic,0.868960953334473
Write notes,anthropic,0.933516641840248
Access to movies,gemini,0.8402451710580937
Access to podcasts,gemini,0.6123241055027825
Broadcast messages to multiple contacts,gemini,0.2450752796702834
Build photo collage,gemini,0.3964769819757487
Collaborate with others,gemini,0.7905364948352909
Go Live,gemini,0.800676526689078
Keeping up with friends,gemini,0.505081574456193
List items for sale,gemini,0.883580864936143
Photo effects,gemini,0.461693840063599
Play games,gemini,0.13252353083224122
Play playlist on shuffle mode,gemini,0.45443953342612714
Rate movies,gemini,0.799021377852664
Search for offer on item,gemini,0.31366299561264277
Send files,gemini,0.7406276878328844
Watch streams,gemini,0.6623169153378428
Write notes,gemini,0.5985990302773776
Access to movies,mistral,0.8929330175087298
Access to podcasts,mistral,0.9568406143928109
Broadcast messages to multiple contacts,mistral,0.92804131767234
Build photo collage,mistral,0.8681482747674049
Collaborate with others,mistral,0.9498825425508532
Go Live,mistral,0.9125510976532929
Keeping up with friends,mistral,0.8672750360186563
List items for sale,mistral,0.9793499548240578
Photo effects,mistral,0.6449089562322452
Play games,mistral,0.9173250958462554
Play playlist on shuffle mode,mistral,1.0
Rate movies,mistral,0.9715171790676659
Search for offer on item,mistral,0.9793499548240577
Send files,mistral,0.7236995433566945
Watch streams,mistral,0.9211496666748061
Write notes,mistral,1.0
Access to movies,openai,1.0
Access to podcasts,openai,0.9727830822202145
Broadcast messages to multiple contacts,openai,0.8972469536763448
Build photo collage,openai,0.9226651363825059
Collaborate with others,openai,0.9613899538472808
Go Live,openai,0.9168362188957532
Keeping up with friends,openai,0.769224791688712
List items for sale,openai,0.5778691607042563
Photo effects,openai,0.8856804473639228
Play games,openai,0.18276237997172773
Play playlist on shuffle mode,openai,0.9910991184586458
Rate movies,openai,0.8336656003516394
Search for offer on item,openai,0.6773314448975605
Send files,openai,0.8217181509609047
Watch streams,openai,0.7375448706991281
Write notes,openai,0.7029160595725515
Access to movies,perplexity,1.0
Access to podcasts,perplexity,0.6526763421867325
Broadcast messages to multiple contacts,perplexity,0.9642777954140316
Build photo collage,perplexity,0.4597437588011688
Collaborate with others,perplexity,0.9073487826915095
Go Live,perplexity,0.6640106468706503
Keeping up with friends,perplexity,0.8483504676320481
List items for sale,perplexity,0.9495265072891992
Photo effects,perplexity,0.7046460946551297
Play games,perplexity,0.6209686915799099
Play playlist on shuffle mode,perplexity,0.8656648189299403
Rate movies,perplexity,0.5357942690315527
Search for offer on item,perplexity,0.8761436839149225
Send files,perplexity,0.7353653010779821
Watch streams,perplexity,0.7399283154121864
Write notes,perplexity,0.7529549949940171
