feature,model1,model2,jaccard
Access to movies,anthropic,gemini,0.47
Access to movies,anthropic,mistral,0.8
Access to movies,anthropic,openai,1.0
Access to movies,anthropic,perplexity,1.0
Access to movies,gemini,mistral,0.4430000000000001
Access to movies,gemini,openai,0.47000000000000014
Access to movies,gemini,perplexity,0.47000000000000014
Access to movies,mistral,openai,0.8
Access to movies,mistral,perplexity,0.8
Access to movies,openai,perplexity,1.0
Access to podcasts,anthropic,gemini,0.3
Access to podcasts,anthropic,mistral,1.0
Access to podcasts,anthropic,openai,1.0
Access to podcasts,anthropic,perplexity,0.32
Access to podcasts,gemini,mistral,0.3
Access to podcasts,gemini,openai,0.3
Access to podcasts,gemini,perplexity,0.38600000000000007
Access to podcasts,mistral,openai,1.0
Access to podcasts,mistral,perplexity,0.32
Access to podcasts,openai,perplexity,0.32
Broadcast messages to multiple contacts,anthropic,gemini,0.172
Broadcast messages to multiple contacts,anthropic,mistral,0.4100000000000001
Broadcast messages to multiple contacts,anthropic,openai,0.263
Broadcast messages to multiple contacts,anthropic,perplexity,0.0
Broadcast messages to multiple contacts,gemini,mistral,0.22
Broadcast messages to multiple contacts,gemini,openai,0.15
Broadcast messages to multiple contacts,gemini,perplexity,0.18
Broadcast messages to multiple contacts,mistral,openai,0.65
Broadcast messages to multiple contacts,mistral,perplexity,0.0
Broadcast messages to multiple contacts,openai,perplexity,0.0
Build photo collage,anthropic,gemini,0.10800000000000001
Build photo collage,anthropic,mistral,0.22
Build photo collage,anthropic,openai,0.19999999999999996
Build photo collage,anthropic,perplexity,0.06100000000000001
Build photo collage,gemini,mistral,0.10199999999999998
Build photo collage,gemini,openai,0.055
Build photo collage,gemini,perplexity,0.21999999999999997
Build photo collage,mistral,openai,0.06
Build photo collage,mistral,perplexity,0.037000000000000005
Build photo collage,openai,perplexity,0.012
Collaborate with others,anthropic,gemini,0.7
Collaborate with others,anthropic,mistral,0.7
Collaborate with others,anthropic,openai,0.5
Collaborate with others,anthropic,perplexity,0.55
Collaborate with others,gemini,mistral,0.58
Collaborate with others,gemini,openai,0.65
Collaborate with others,gemini,perplexity,0.58
Collaborate with others,mistral,openai,0.5
Collaborate with others,mistral,perplexity,0.52
Collaborate with others,openai,perplexity,0.7
Go Live,anthropic,gemini,0.02
Go Live,anthropic,mistral,0.23
Go Live,anthropic,openai,0.0
Go Live,anthropic,perplexity,0.0
Go Live,gemini,mistral,0.17999999999999994
Go Live,gemini,openai,0.596
Go Live,gemini,perplexity,0.33399999999999996
Go Live,mistral,openai,0.04
Go Live,mistral,perplexity,0.02
Go Live,openai,perplexity,0.366
Keeping up with friends,anthropic,gemini,0.37300000000000005
Keeping up with friends,anthropic,mistral,0.44
Keeping up with friends,anthropic,openai,0.23800000000000002
Keeping up with friends,anthropic,perplexity,0.0
Keeping up with friends,gemini,mistral,0.689
Keeping up with friends,gemini,openai,0.28600000000000003
Keeping up with friends,gemini,perplexity,0.0
Keeping up with friends,mistral,openai,0.3440000000000001
Keeping up with friends,mistral,perplexity,0.0
Keeping up with friends,openai,perplexity,0.0
List items for sale,anthropic,gemini,0.52
List items for sale,anthropic,mistral,0.5
List items for sale,anthropic,openai,0.48
List items for sale,anthropic,perplexity,0.545
List items for sale,gemini,mistral,0.5
List items for sale,gemini,openai,0.5820000000000001
List items for sale,gemini,perplexity,0.33800000000000013
List items for sale,mistral,openai,0.45
