feature,model,jaccard
Access to movies,anthropic,1.0
Access to podcasts,anthropic,1.0
Broadcast messages to multiple contacts,anthropic,0.6402116402116402
Build photo collage,anthropic,0.4067019400352733
Collaborate with others,anthropic,0.7851851851851852
Go Live,anthropic,1.0
Keeping up with friends,anthropic,0.7706349206349206
List items for sale,anthropic,0.8814814814814814
Photo effects,anthropic,0.8687830687830687
Play games,anthropic,0.673015873015873
Play playlist on shuffle mode,anthropic,0.7851851851851849
Rate movies,anthropic,0.6634920634920635
Search for offer on item,anthropic,0.6285714285714284
Send files,anthropic,0.5437389770723103
Watch streams,anthropic,0.8296296296296295
Write notes,anthropic,0.8814814814814814
Access to movies,gemini,0.7798941798941799
Access to podcasts,gemini,0.8116402116402115
Broadcast messages to multiple contacts,gemini,0.27698412698412694
Build photo collage,gemini,0.2671075837742505
Collaborate with others,gemini,0.5730158730158729
Go Live,gemini,0.9333333333333333
Keeping up with friends,gemini,0.5410934744268078
List items for sale,gemini,0.6362433862433862
Photo effects,gemini,0.5146384479717812
Play games,gemini,0.1540564373897707
Play playlist on shuffle mode,gemini,0.28703703703703703
Rate movies,gemini,0.5693121693121692
Search for offer on item,gemini,0.4807760141093474
Send files,gemini,0.6507936507936508
Watch streams,gemini,0.2903880070546737
Write notes,gemini,0.6476190476190475
Access to movies,mistral,1.0
Access to podcasts,mistral,0.7365079365079364
Broadcast messages to multiple contacts,mistral,0.6148148148148147
Build photo collage,mistral,0.6423280423280421
Collaborate with others,mistral,0.8444444444444443
Go Live,mistral,0.7968253968253969
Keeping up with friends,mistral,0.7333333333333333
List items for sale,mistral,0.7851851851851849
Photo effects,mistral,1.0
Play games,mistral,0.7798941798941799
Play playlist on shuffle mode,mistral,1.0
Rate movies,mistral,0.7037037037037037
Search for offer on item,mistral,0.7851851851851849
Send files,mistral,0.6132275132275132
Watch streams,mistral,0.8148148148148147
Write notes,mistral,1.0
Access to movies,openai,1.0
Access to podcasts,openai,0.8814814814814814
Broadcast messages to multiple contacts,openai,0.8222222222222219
Build photo collage,openai,0.9333333333333331
Collaborate with others,openai,0.7714285714285712
Go Live,openai,0.7851851851851851
Keeping up with friends,openai,0.7555555555555555
List items for sale,openai,0.7074074074074075
Photo effects,openai,0.8317460317460317
Play games,openai,0.13447971781305118
Play playlist on shuffle mode,openai,1.0
Rate movies,openai,0.6277777777777778
Search for offer on item,openai,0.5305996472663138
Send files,openai,0.85
Watch streams,openai,0.5623456790123457
Write notes,openai,0.9333333333333333
Access to movies,perplexity,1.0
Access to podcasts,perplexity,0.6296296296296295
Broadcast messages to multiple contacts,perplexity,0.8444444444444443
Build photo collage,perplexity,0.3377425044091711
Collaborate with others,perplexity,0.8264550264550264
Go Live,perplexity,0.6021164021164022
Keeping up with friends,perplexity,0.7166666666666667
List items for sale,perplexity,0.9333333333333333
Photo effects,perplexity,0.5343915343915343
Play games,perplexity,0.48571428571428554
Play playlist on shuffle mode,perplexity,0.5294708994708994
Rate movies,perplexity,0.5184303350970018
Search for offer on item,perplexity,0.5716931216931216
Send files,perplexity,0.8190476190476188
Watch streams,perplexity,0.7851851851851849
Write notes,perplexity,0.5809523809523809
