feature,model1,model2,rbo
Access to movies,anthropic,gemini,0.6708487084870849
Access to movies,anthropic,mistral,0.8638376383763838
Access to movies,anthropic,openai,0.8505535055350555
Access to movies,anthropic,perplexity,0.8505535055350555
Access to movies,gemini,mistral,0.6618819188191885
Access to movies,gemini,openai,0.6708487084870852
Access to movies,gemini,perplexity,0.6708487084870852
Access to movies,mistral,openai,0.8937269372693727
Access to movies,mistral,perplexity,0.8937269372693727
Access to movies,openai,perplexity,1.0
Access to podcasts,anthropic,gemini,0.48671586715867166
Access to podcasts,anthropic,mistral,1.0
Access to podcasts,anthropic,openai,1.0
Access to podcasts,anthropic,perplexity,0.32214022140221404
Access to podcasts,gemini,mistral,0.4867158671586717
Access to podcasts,gemini,openai,0.4867158671586717
Access to podcasts,gemini,perplexity,0.29476014760147606
Access to podcasts,mistral,openai,1.0
Access to podcasts,mistral,perplexity,0.32214022140221404
Access to podcasts,openai,perplexity,0.32214022140221404
Broadcast messages to multiple contacts,anthropic,gemini,0.28405904059040593
Broadcast messages to multiple contacts,anthropic,mistral,0.3354243542435425
Broadcast messages to multiple contacts,anthropic,openai,0.2866051660516606
Broadcast messages to multiple contacts,anthropic,perplexity,0.0
Broadcast messages to multiple contacts,gemini,mistral,0.2265682656826568
Broadcast messages to multiple contacts,gemini,openai,0.1321771217712177
Broadcast messages to multiple contacts,gemini,perplexity,0.07970479704797048
Broadcast messages to multiple contacts,mistral,openai,0.5280442804428045
Broadcast messages to multiple contacts,mistral,perplexity,0.0
Broadcast messages to multiple contacts,openai,perplexity,0.0
Build photo collage,anthropic,gemini,0.0644280442804428
Build photo collage,anthropic,mistral,0.17568265682656828
Build photo collage,anthropic,openai,0.5977859778597786
Build photo collage,anthropic,perplexity,0.03719557195571957
Build photo collage,gemini,mistral,0.15682656826568264
Build photo collage,gemini,openai,0.02690036900369004
Build photo collage,gemini,perplexity,0.3645756457564576
Build photo collage,mistral,openai,0.029889298892988934
Build photo collage,mistral,perplexity,0.03453874538745388
Build photo collage,openai,perplexity,0.005977859778597786
Collaborate with others,anthropic,gemini,0.9033210332103319
Collaborate with others,anthropic,mistral,0.5712177121771218
Collaborate with others,anthropic,openai,0.9003690036900366
Collaborate with others,anthropic,perplexity,0.910332103321033
Collaborate with others,gemini,mistral,0.5842066420664208
Collaborate with others,gemini,openai,0.8933579335793358
Collaborate with others,gemini,perplexity,0.8794095940959409
Collaborate with others,mistral,openai,0.5313653136531367
Collaborate with others,mistral,perplexity,0.5353505535055352
Collaborate with others,openai,perplexity,0.940221402214022
Go Live,anthropic,gemini,0.009963099630996312
Go Live,anthropic,mistral,0.28671586715867164
Go Live,anthropic,openai,0.0
Go Live,anthropic,perplexity,0.0
Go Live,gemini,mistral,0.40516605166051656
Go Live,gemini,openai,0.6089298892988929
Go Live,gemini,perplexity,0.22335793357933587
Go Live,mistral,openai,0.053136531365313655
Go Live,mistral,perplexity,0.02656826568265683
Go Live,openai,perplexity,0.2826568265682657
Keeping up with friends,anthropic,gemini,0.42077490774907744
Keeping up with friends,anthropic,mistral,0.6608856088560886
Keeping up with friends,anthropic,openai,0.5247232472324722
Keeping up with friends,anthropic,perplexity,0.0
Keeping up with friends,gemini,mistral,0.5461254612546126
Keeping up with friends,gemini,openai,0.3512177121771217
Keeping up with friends,gemini,perplexity,0.0
Keeping up with friends,mistral,openai,0.6445756457564576
Keeping up with friends,mistral,perplexity,0.0
Keeping up with friends,openai,perplexity,0.0
List items for sale,anthropic,gemini,0.5722509225092253
List items for sale,anthropic,mistral,0.40221402214022134
List items for sale,anthropic,openai,0.5229520295202953
List items for sale,anthropic,perplexity,0.7063837638376385
