model,feature,name,description,type,sources
perplexity,List items for sale,User Base Size,"The number of active users on the platform, influencing exposure and potential buyers",Integer[1],"amzscout.net, simicart.com, greenlight.com"
perplexity,List items for sale,Listing Fees and Commission,"Costs associated with listing and selling items, including commissions and processing fees",Float[1],"amzscout.net, simicart.com, greenlight.com"
perplexity,List items for sale,Ease of Use,User interface design and simplicity for creating listings and managing sales,Text[1],"amzscout.net, simicart.com, greenlight.com"
perplexity,List items for sale,Shipping Options,Availability and flexibility of shipping methods including prepaid labels and local pickup,Text[1],"amzscout.net, greenlight.com"
perplexity,List items for sale,Item Categories Supported,"Variety of product types that can be sold on the platform (e.g., clothes, electronics, furniture)",Text[*],"amzscout.net, simicart.com, greenlight.com"
perplexity,List items for sale,Local vs National Reach,Whether the app is mainly focused on local buyers or supports nationwide/international sales,Text[1],"simicart.com, greenlight.com"
perplexity,List items for sale,Seller and Buyer Safety Features,Verification systems and measures to ensure safe transactions,Text[1],simicart.com
perplexity,List items for sale,User Ratings and Reviews,Average app store ratings reflecting user satisfaction and app reliability,Float[1],simicart.com
perplexity,List items for sale,User Base Size,Number of active users or monthly visitors on the platform,Integer [1],"amzscout.net, simicart.com, greenlight.com"
perplexity,List items for sale,Listing Fees and Commission,Percentage or fixed fees charged per sale or for listing items,Float [1],"amzscout.net, simicart.com, greenlight.com, wtop.com"
perplexity,List items for sale,Ease of Use,User interface friendliness and simplicity in creating and managing listings,Text [1],"amzscout.net, simicart.com, greenlight.com"
perplexity,List items for sale,Shipping Options,"Availability of integrated shipping labels, home pickup, or flexible shipping methods",Text [1],"amzscout.net, greenlight.com, wtop.com"
perplexity,List items for sale,Category Specialization,"Specific item categories the app is best suited for (e.g., fashion, electronics, furniture)",Text [*],"amzscout.net, greenlight.com, wtop.com"
perplexity,List items for sale,Local vs National Reach,Whether the app focuses on local sales or offers nationwide/global selling,Text [1],"simicart.com, greenlight.com"
perplexity,List items for sale,User Safety Features,"Verification of users, fraud prevention, and safety measures for transactions",Boolean [1],simicart.com
perplexity,List items for sale,Customer Ratings,"Average app rating on major app stores (App Store, Google Play)",Float [1],simicart.com
perplexity,List items for sale,User Base Size,"The number of active users on the platform, impacting the potential reach of listings.",Integer [1],"AmzScout, Simicart, Greenlight, WTOP"
