name,description,type,sources
Active User Base,Refers to the number of monthly active users on the platform. A larger user base increases the likelihood of connecting with more friends.,"Integer, [1]","AgileTech Vietnam, AppFigures, Apptopia, Company Reports, Doofinder, SOAX, Sensor Tower, Statista"
Ad Frequency,Number of ads displayed per hour of viewing (for free services).,Integer[*],"16, Personal Testing, Personal testing, Source 1, User Reviews, User reviews, free tier descriptions, independent reviews, personal observation, personal testing, third-party reviews"
Ad-Free Option,Availability of a subscription or version without advertisements.,Boolean[1],"App Store, App descriptions, App pricing, App store descriptions, Developer Website, Google Play Store, How-To Geek, Yahoo, review articles, user reviews"
Ad-Supported Content,The presence of ads and the option for ad-free viewing.,Boolean [1],"Official app descriptions, Official platform websites, app descriptions, app websites, third-party reviews, user reviews"
Additional Features,"Any extra features that enhance the file transfer experience, such as cloud storage integration, chat, etc.",Text,"App Descriptions, App Store, App Store Descriptions, App Store descriptions, App Stores, App descriptions, App features list, App store descriptions, App store listings, AppStore, Developer Websites, Developer websites, Expert Reviews, Google Play Store, Multiple sources, Official app documentation, Official app websites, PlayStore, Tech blogs, User Reviews, User reviews, app store listings, developer websites, feature lists, official app websites, turn0news12, turn0news13, turn0news15, turn0news16, user manuals, user reviews"
AI Features,The presence and effectiveness of AI-powered tools for automatic collage generation and editing.,Boolean,"App description, Editor reviews, Multiple"
AI Integration,"Availability of AI-powered features such as text summarization, voice transcription, and intelligent search.",Boolean[1],"App Reviews, App description, Developer Website, Multiple, Multiple sources, Product Updates, Tech Blogs, editor reviews"
AI-Powered Features,"The presence and effectiveness of AI-driven tools such as object removal, style transfer, and intelligent adjustments.",Boolean[1],"App Description, App description, Expert Reviews, Imagen AI, Lensa, YouTube, app features, editor reviews"
Analytics,The availability of data and insights on viewer behavior and stream performance.,"Boolean, [1]","App Reviews, Platform Features, Vendor Documentation"
App Store Rating,The average rating of the app on various app stores.,Float [1],"Amazon Appstore, App Store, Apple App Store, Google Play, Google Play Store"
Audience Size,Estimated number of active users or viewers on the platform. A larger audience provides greater potential reach for live streams.,Integer[1],"Various sources, Various sources reporting platform user statistics, including platform statistics and third-party analytics, various"
Audio Quality,"Maximum audio quality offered by the app (e.g., standard, high, lossless).",Text[1],"Amazon Music, Anghami, App Reviews, App Store listings, App official documentation, App specifications, App technical specifications, Apple Music, Audiomack, Boomplay, Deezer, Gaana, Hungama Music, JioSaavn, Napster, Official app websites, Qobuz, SoundCloud, Spotify, Tidal, Trebel, User Feedback, User reviews, Wynk Music, expert reviews, industry reports, press releases, technical specifications, turn0search17, turn0search19, turn0search20"
Collaboration Features,"The ability to share and collaborate on notes with others in real-time, including features for team collaboration and project management.",Boolean[1],"App Description, App Reviews, Developer Website, Multiple sources, ProofHub, User Manuals, Zapier"
Communication Features,"The variety of communication methods available, such as text messaging, voice calls, video calls, and group chats.",Text[*],"AgileTech Vietnam, App Store, App Store descriptions, Croma Unboxed, Expert reviews, Firefly, Firefly - Sunrise Medical, Google Play Store, Google Play Store descriptions, Lake Travis Community Library, Mashable, Multiple sources, Oberlo, Sterling College, Sunday Edit, Wise"
Community and Support,"Availability of user community, tutorials, and customer support.",Text [1],"Customer support reviews, Official app forums, Official app websites, Social media pages, Social media platforms, customer support reviews, social media channels, social media pages, user forums"
Community Engagement,Level of user interaction and community features within the app.,Text,"App Store, App feature descriptions, App feature set, Esports Charts, Expert Reviews, Facebook Gaming, Google Play Store, Official App Descriptions, Official app websites, Social media, Twitch, Twitch Help, User Reviews, User forums, User reviews, app descriptions, community forums, in-app activity, platform community pages, platform forums, user forums, user reviews"
Community Features,"Availability of social features like lists, reviews, and discussions.",Boolean[1],"App description, App descriptions, App's feature list, Multiple, PCMag, User Account, VSCO, expert reviews, user reviews"
Content Focus,"Primary content type (e.g., gaming, general entertainment, music).",Text[1],"App Store/Play Store description, Platform descriptions, user reviews"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer[*],"App Annie, App Store, App Store descriptions, App Stores, App store descriptions, Company Website, Company reports, Google Play Store, JustWatch, Official App Websites, Official app descriptions, Official app websites, Official platform websites, Press Releases, Reelgood, Streaming Service Website, Third-party app analysis sites, Third-party app analysis websites, Third-party podcast directories, app descriptions, app descriptions on app stores, app store descriptions, app stores, app websites, independent reviews, industry reports, market analysis reports, streaming service websites, tech reviews, third-party databases, third-party reviews, user reviews"
