name,description,type,sources
Ad-Supported Free Access,Availability of free content with advertisements.,Boolean [1],"Official app websites, user reviews"
Ad-Supported Free Access,Whether the platform offers free content with advertisements.,Boolean [1],"Official app websites, industry reports"
Ad-Supported Free Access,Availability of free content supported by advertisements.,Boolean [1],"Official app websites, user reviews"
Ad-Supported Free Access,Availability of a free tier with advertisements.,Boolean [1],"Official app websites, service descriptions, user reviews"
Ad-Supported Free Access,Whether the platform offers free content supported by advertisements.,Boolean [1],Official app websites
Ad-Supported Free Access,Whether the platform offers a free tier with advertisements.,Boolean [1],"Official app websites, industry reports"
Ad-Supported Free Access,Indicates whether the platform offers free content with advertisements.,Boolean,"Official platform websites, user reviews"
Additional Features,"Extra functionalities such as screen recording, live streaming, or social integration.",Text [*],"Official app websites, app store listings"
Additional Features,"Extra functionalities such as cloud saves, cross-platform play, or social features.",Text [*],"Official app websites, app store listings"
Additional Features,"Extra functionalities like screen recording, live streaming, or social features.",Text [*],"App Descriptions, User Reviews"
Additional Features,"Availability of extra features such as lyrics display, music videos, podcasts, etc.",Text [1],"Official app websites, feature lists"
Additional Features,Any other notable features that enhance the movie rating experience.,Text [*],"App Store, Google Play Store"
Additional Features,"Any extra functionalities offered by the app, such as file synchronization, cloud backup, or media playback.",Text [*],"Official app websites, user manuals"
Additional Features,"Extra functionalities offered by the app, such as cloud storage integration, media playback, or collaboration tools.",Text [*],"Official app websites, feature lists"
Additional Features,"Extra functionalities like remote control, screen mirroring, or built-in media players that enhance the app's utility.",Text [*],"Official app documentation, user reviews"
Additional Features,"Extra functionalities such as cloud storage, media playback, or collaboration tools.",Text [*],"turn0news12, turn0news13"
Additional Features,"Extra functionalities such as cloud DVR, multi-stream capabilities, and offline viewing options.",Text [1],"turn0news12, turn0news16"
Additional Features,"Extra functionalities such as cloud DVR, multi-view options, interactive elements, and offline viewing capabilities.",Text [1],"turn0news15, turn0news16"
Audio Quality,The clarity and fidelity of audio playback provided by the app.,Text [1],"App Reviews, User Feedback"
Audio Quality,"The sound quality of podcast playback, including support for high-fidelity audio.",Text [1],"User reviews, technical specifications"
Audio Quality,"The quality of audio playback, including support for high-fidelity streaming.",Text [1],"App Store listings, User reviews"
Audio Quality,"The maximum audio quality offered by the app (e.g., standard, high-definition, lossless).",Text [1],App technical specifications
Audio Quality,"Sound quality options available, such as standard, high, or lossless.",Text [1],"turn0search17, turn0search19, turn0search20"
Audio Quality,"Maximum audio quality offered by the app (e.g., standard, high, lossless).",Text [1],"Official app websites, press releases"
Audio Quality,"Maximum audio quality available (e.g., standard, high, lossless).",Text [1],"Amazon Music, Anghami, Apple Music, Audiomack, Boomplay, Deezer, Gaana, Hungama Music, JioSaavn, Napster, Qobuz, SoundCloud, Spotify, Tidal, Trebel, Wynk Music"
Audio Quality,Maximum audio streaming quality offered by the app.,Text [1],"Official app websites, industry reports"
Audio Quality,Range of audio quality options available to users.,Text [1],"App official documentation, industry reports"
Audio Quality,Maximum audio quality available for streaming and downloads.,Text [1],"Official app websites, technical specifications"
Content Variety,"The diversity of content categories supported by the platform, such as gaming, music, education, etc.",Text [*],"Platform content guidelines, user-generated content analysis"
Content Variety,"The range and diversity of live streaming content available on the platform, including genres like sports, gaming, entertainment, and news.",Text [1],"turn0news13, turn0news14, turn0news15"
Content Variety,"The range of live streaming content available, including genres like sports, gaming, entertainment, and news.",Text [*],"turn0news13, turn0news14, turn0news16"
Content Variety,"The range of live streaming content available on the platform, including genres like sports, gaming, entertainment, and news.",Text [1],"turn0news14, turn0news16, turn0news17"
Content Variety,"The range of live streaming content available on the platform, including genres like sports, gaming, entertainment, and more.",Text [1],"Platform official websites, user reviews"
Content Variety,"The range of live streaming content available on the platform, including genres like sports, entertainment, gaming, and more.",Text [1],"turn0news13, turn0news14, turn0news16, turn0search0, turn0search1, turn0search2"
Content Variety,"The range and diversity of live streaming content available on the platform, including sports, entertainment, news, and user-generated streams.",Text [1],([time.com](https://time.com/7004929/best-streaming-service-for-movies-tv-sports/?utm_source=openai))
Content Variety,"The range of live streaming content available, including sports, entertainment, news, and user-generated streams.",Text [1],([time.com](https://time.com/7004929/best-streaming-service-for-movies-tv-sports/?utm_source=openai))
Content Variety,"The range and diversity of live streaming content available on the platform, including sports, entertainment, news, and user-generated content.",Text [1],"turn0news13, turn0news14, turn0news16"
Content Variety,"The range and diversity of live streaming content available on the platform, including genres like sports, news, entertainment, and user-generated content.",Text [1],"turn0news13, turn0news14, turn0news15, turn0search0, turn0search1, turn0search2"
Cost,The price of the app or any associated subscription fees.,Float [1],"App Store, Company Website, Google Play Store"
Cost,"The pricing structure of the app, including free tiers and subscription plans.",Text [1],"App Store Listings, Official Pricing Page"
Cost,"The pricing model of the app, including free tiers and subscription options.",Text [1],"App Store Listings, Company Website, Official app websites, app store listings"
Cost,"The pricing structure of the app, including free tiers and subscription options.",Text [1],"App Documentation, Company Website, Official pricing pages, app store listings"
Cost,"The pricing structure of the app, including free tiers, subscription plans, or one-time purchases.",Text [1],"App Store Listings, Official App Documentation"
Cost,"The pricing structure of the app, including free tiers, subscription plans, or pay-as-you-go options.",Text [1],"App Store Listings, Official Pricing Pages"
Cost,"The price of using the app, including any subscription fees or in-app purchases.",Float [1],"App Store, Company Pricing Pages, Google Play Store"
Cost,"The cost associated with using the app, including any subscription fees or in-app purchases.",Float,"turn0news13, turn0search0, turn0search1, turn0search2, turn0search3, turn0search4, turn0search5"
Cost,"Pricing structure, including availability of free tiers, subscription plans, and any additional fees.",Text,"Official app websites, app store listings"
Cost,"The pricing model of the app, including free, freemium, or paid options.",Text [1],"turn0search0, turn0search3, turn0search4"
Cost,"Pricing structure, including free tiers and subscription plans.",Text [1],"Official app websites, app store listings"
Cost,"The pricing model of the app, including free access, subscription fees, or pay-per-view options.",Text [1],"Platform official websites, turn0news13, turn0news14, turn0news16, turn0search0, turn0search1, turn0search2, user reviews"
Cost,The subscription fee or cost associated with using the app.,Float [1],([tomsguide.com](https://www.tomsguide.com/us/youtube-tv-faq%2Creview-5059.html?utm_source=openai))
Cost,"The pricing structure of the app, including free tiers, subscription models, and one-time purchase options.",Text [*],"Official app websites, app store listings"
Customer Support,"The availability and quality of customer support services, including response times and support channels.",Text [1],"Support Pages, User Testimonials"
Customer Support,The availability and quality of customer support services.,Text [1],"Official app websites, user reviews"
Customer Support,The quality and availability of support provided to users for troubleshooting and assistance.,Text [1],"Official App Documentation, User Reviews"
Customer Support,The availability and quality of customer support services provided by the app developers.,Text [1],"Company Website, User Reviews"
Customer Support,Quality and responsiveness of customer support services.,Text [1],"User reviews, official app websites"
Customer Support,"The quality and availability of support services, including documentation, forums, and direct assistance.",Text [1],"User reviews, official support channels"
Customer Support,Quality and responsiveness of customer support,Text [1],"Official App Website, User Reviews"
Customer Support,Availability and quality of user support services.,Text [1],"User reviews, official app websites"
Device Compatibility,Range of devices and operating systems supported by the app.,Text [*],"Official app websites, app store listings"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the platform's app.",Text [*],"Official app websites, Official platform support pages, industry reports, user manuals"
Device Compatibility,"The range of devices (e.g., smartphones, smart TVs, streaming devices) that support the platform.",Text [*],"Official app websites, industry reports"
