family,model,provider,mode,k,feature,run,name,description,type,sources,cluster_id,cluster_size,selection_method,centroid_distance,connectivity_score,silhouette_score
open,mistral_open,ollama,structured,20,Watch streams,0,User Interface,The ease of navigation and overall user experience within the app.,,,0,250,aggregated_voting,0.41840454936027527,0.7212454080581665,0.2717588245868683
open,llama31_8b,ollama,structured,20,Collaborate with others,0,Real-time Collaboration,Allows multiple users to work together in real-time.,,,1,48,aggregated_voting,0.5864273309707642,0.5772282481193542,0.1916957050561905
open,qwen3_8b,ollama,structured,20,List items for sale,8,User Ratings,"Average rating from app store reviews, reflecting user satisfaction.",,,2,270,aggregated_voting,0.26733848452568054,0.8757022619247437,0.3700648844242096
open,qwen3_8b,ollama,structured,20,Watch streams,0,Popularity,"Based on app store ratings, download numbers, and user base size.",,,3,136,aggregated_voting,0.3618568480014801,0.7838539481163025,0.15816904604434967
open,qwen3_8b,ollama,structured,20,Go Live,4,Security,"Considers data encryption, access controls, and privacy features",,,4,171,aggregated_voting,0.4938148856163025,0.6577209830284119,0.2941521406173706
open,deepseekr1_8b,ollama,structured,20,Go Live,4,Feature Set,"Presence of advanced features like real-time chat, reactions, streaming to multiple platforms, or interactive elements.",,,5,177,aggregated_voting,0.5617659091949463,0.5833659172058105,0.12136483192443848
open,deepseekr1_8b,ollama,structured,20,Search for offer on item,6,Feature Relevance,"How well the app allows users to search for offers on specific items, such as discounts or deals.",,,6,52,aggregated_voting,0.5976908802986145,0.5393489599227905,0.11454607546329498
open,gemma3_4b,ollama,structured,20,Access to podcasts,2,Social Features & Community,"The presence of social features like sharing, commenting, and community forums can foster engagement.",,,7,135,aggregated_voting,0.48722076416015625,0.6593782901763916,0.156960591673851
open,mistral_open,ollama,structured,20,Build photo collage,4,Ease of Use,The user-friendly interface and intuitive design make it easier for users to create collages,,,8,44,aggregated_voting,0.4682704508304596,0.678726851940155,0.21435818076133728
open,gemma3_4b,ollama,structured,20,Send files,8,Integration with Other Services,"Compatibility and seamless integration with other popular apps and platforms, such as email, messaging, and cloud storage.",,,9,144,aggregated_voting,0.45625534653663635,0.6826021671295166,0.20203594863414764
open,deepseekr1_8b,ollama,structured,20,Collaborate with others,7,User Base Size,"Number of active users, indicating the app's reach and potential for collaboration",,,10,102,aggregated_voting,0.44212770462036133,0.7039234042167664,0.19342562556266785
open,gemma3_4b,ollama,structured,20,Watch streams,7,Content Variety,"Provides a diverse selection of live streams across various categories like gaming, sports, entertainment, and music.",,,11,63,aggregated_voting,0.5291346311569214,0.585644006729126,0.08872087299823761
open,gemma3_4b,ollama,structured,20,Collaborate with others,2,Cost,"The pricing structure of the app, considering free tiers, subscription options, and potential costs for additional features or users.",,,12,136,aggregated_voting,0.39579856395721436,0.738677442073822,0.3003251552581787
open,qwen3_8b,ollama,structured,20,Search for offer on item,8,Monetization Model,Apps with ad-free or premium subscription options for better user experience,,,13,69,aggregated_voting,0.49888941645622253,0.6266854405403137,0.0017485650023445487
open,gemma3_4b,ollama,structured,20,List items for sale,7,Mobile App Performance,"The app's speed, stability, and responsiveness.",,,14,55,aggregated_voting,0.4061604142189026,0.7207806706428528,0.25125038623809814
open,gemma3_4b,ollama,structured,20,Access to movies,1,Customer Support,The responsiveness and quality of customer support available to users.,,,15,72,aggregated_voting,0.5069558620452881,0.6731188893318176,0.29626041650772095
open,deepseekr1_8b,ollama,structured,20,Go Live,4,Ease of Use,How intuitive and straightforward the app is for starting and managing a live stream.,,,16,48,aggregated_voting,0.4815223217010498,0.6828166842460632,0.2407316267490387
open,gptoss20b,ollama,structured,20,Watch streams,3,Streaming Quality,"Highest resolution and bitrate supported, as well as adaptive streaming performance.",,,17,74,aggregated_voting,0.3704635500907898,0.785692036151886,0.3552497327327728
open,deepseekr1_8b,ollama,structured,20,Keeping up with friends,0,User Engagement,"Evaluates the app based on metrics such as daily active users and interaction rates, reflecting how actively users engage with friends through the platform.",,,18,76,aggregated_voting,0.43648919463157654,0.7470580339431763,0.26116257905960083
open,gptoss20b,ollama,structured,20,Access to movies,7,Offline Playback Availability,Ability to download movies for offline viewing and related features.,,,19,66,aggregated_voting,0.36242255568504333,0.789069652557373,0.3344953656196594
open,gptoss20b,ollama,structured,20,Rate movies,6,Cross-Platform Synchronization,"The ability to sync ratings across devices and platforms, ensuring a seamless experience for users.",,,20,65,aggregated_voting,0.4550084173679352,0.7187283039093018,0.20971523225307465
open,qwen3_8b,ollama,structured,20,Build photo collage,6,Integration with Social Media,"Built-in sharing features for platforms like Instagram, Facebook, etc.",,,21,75,aggregated_voting,0.38379383087158203,0.7462652921676636,0.2947610318660736
open,gemma3_4b,ollama,structured,20,Search for offer on item,6,Regular Updates & Maintenance,"Frequency of app updates to address bugs, improve performance, and add new features.",,,22,60,aggregated_voting,0.38671302795410156,0.7372457981109619,0.2945624589920044
open,gemma3_4b,ollama,structured,20,Access to movies,9,Personalization & Recommendations,The effectiveness of the app's recommendation engine in suggesting movies based on viewing history and preferences.,,,23,59,aggregated_voting,0.47982168197631836,0.6330673098564148,0.1548827886581421
open,gemma3_4b,ollama,structured,20,Write notes,5,Customization Options,"The extent to which users can personalize the app's appearance, themes, and behavior to suit their preferences.",,,24,82,aggregated_voting,0.48522379994392395,0.6654181480407715,0.23841631412506104
open,llama31_8b,ollama,structured,20,Watch streams,7,Downloads,The number of downloads of the app.,,,25,71,aggregated_voting,0.373455286026001,0.7520533800125122,0.24168024957180023
open,llama31_8b,ollama,structured,20,Search for offer on item,2,User Reviews,The average rating and number of reviews from other users.,,,26,77,aggregated_voting,0.34762877225875854,0.7729520201683044,0.17607581615447998
open,gemma3_4b,ollama,structured,20,Access to movies,8,Content Library Size,"The breadth and depth of movies available, measured by the number of titles and genres offered.",,,27,67,aggregated_voting,0.42950209975242615,0.7111779451370239,0.3151363432407379
open,qwen3_8b,ollama,structured,20,Play games,5,Platform Availability,Cross-platform support for iOS and Android.,,,28,221,aggregated_voting,0.3003289997577667,0.8148321509361267,0.29557663202285767
open,gptoss20b,ollama,structured,20,Access to movies,8,Regional Availability,The extent to which the app offers content in multiple countries and languages.,,,29,22,aggregated_voting,0.33852070569992065,0.7751922607421875,0.33744537830352783
open,gemma3_4b,ollama,structured,20,Rate movies,5,Notification System,"Effective notifications for new releases, friend activity, and updates are beneficial.",,,30,29,aggregated_voting,0.4450243413448334,0.7235389947891235,0.27952003479003906
open,deepseekr1_8b,ollama,structured,20,Access to podcasts,4,Content Variety,"Number of unique podcasts available in the app, showing diversity in content offerings for users.",,,31,36,aggregated_voting,0.4561641216278076,0.7282240390777588,0.2830567955970764
open,gemma3_4b,ollama,structured,20,Access to movies,9,Device Compatibility,"The range of devices supported by the app, including iOS, Android, smart TVs, and web browsers.",,,32,38,aggregated_voting,0.3118220269680023,0.8359692692756653,0.3697654902935028
open,gemma3_4b,ollama,structured,20,Play playlist on shuffle mode,6,User Interface Simplicity,Ease of use and intuitiveness of the app’s playlist shuffle functionality. Prioritizes apps with straightforward controls and a clear shuffle option.,,,33,85,aggregated_voting,0.4618642330169678,0.6794271469116211,0.22107180953025818
open,gemma3_4b,ollama,structured,20,Watch streams,5,Accessibility Features,"Incorporation of accessibility features for users with disabilities (e.g., captions, screen reader support).",,,34,24,aggregated_voting,0.32324230670928955,0.8183353543281555,0.46319568157196045
open,gemma3_4b,ollama,structured,20,Photo effects,8,Editing Tools,"The availability of supplementary tools like brightness, contrast, saturation, and cropping, alongside the effects.",,,35,49,aggregated_voting,0.5647283792495728,0.6041796207427979,0.22466866672039032
open,deepseekr1_8b,ollama,structured,20,Send files,0,Ease of Use,Evaluates the simplicity and intuitiveness of the app's interface for initiating and completing file transfers.,,,36,35,aggregated_voting,0.5316098928451538,0.6584696769714355,0.20727446675300598
open,gemma3_4b,ollama,structured,20,Write notes,2,Offline Access,"The ability to access and edit notes without an active internet connection is highly valued, especially for users in areas with limited connectivity.",,,37,54,aggregated_voting,0.44930341839790344,0.7189133763313293,0.26315706968307495
open,gemma3_4b,ollama,structured,20,Write notes,5,Collaboration Features,"Evaluates the ease and effectiveness of collaborating with others on notes, including real-time editing and shared notebooks.",,,38,46,aggregated_voting,0.5017075538635254,0.6648431420326233,0.19736024737358093
open,gemma3_4b,ollama,structured,20,Watch streams,9,Reliability & Uptime,Consistent streaming performance and minimal interruptions.,,,39,37,aggregated_voting,0.4805082678794861,0.6951683759689331,0.17468814551830292
