App,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9
Spotify,1,1,1,1,0,0,0,1,1
Poweramp,14,5,17,0,1,1,1,15,6
Apple Music,3,3,2,2,0,0,0,2,2
YouTube Music,2,2,3,3,20,0,0,3,3
Retro Music,0,0,0,0,0,0,3,0,0
Amazon Music Unlimited,0,0,0,4,0,0,0,0,0
BlackPlayer,6,6,18,16,2,3,2,18,5
Tidal,0,0,5,6,0,0,0,0,0
REAL Shuffle Player,4,4,16,20,8,0,4,0,4
Retro Music Player,8,0,0,15,10,2,0,17,0
Samsung Music,0,0,0,0,0,6,0,0,0
Plex,0,0,0,0,0,0,0,6,0
Deezer,20,0,4,5,0,0,0,7,0
True Shuffle Player,5,0,0,0,9,0,0,0,0
Amazon Music,0,20,7,0,0,0,0,4,0
Pulsar,7,0,0,0,0,0,0,0,0
eSound,0,0,0,0,0,7,0,0,0
SoundCloud,0,0,8,10,0,0,0,5,0
Stellio Music Player,0,0,0,0,0,5,0,0,12
Pulsar Music Player,0,0,0,0,0,4,15,0,11
Pandora,0,0,6,8,0,0,0,9,0
Musicolet,0,10,20,0,6,0,5,0,7
AIMP,11,7,19,0,3,14,6,16,8
Evermusic,0,0,0,0,0,8,0,0,0
TIDAL,0,0,0,0,0,0,0,8,0
MediaMonkey,0,0,0,0,4,0,19,14,9
Rocket Player,0,8,0,0,5,15,9,0,10
Qobuz,0,0,9,7,0,0,0,10,0
KM Player,0,0,0,0,11,0,7,0,0
Onkyo HF Player,9,0,0,0,0,0,0,0,0
gonemad music player,0,9,0,0,0,0,0,0,0
LiveOne (formerly Slacker Radio),0,0,0,9,0,0,0,0,0
Flacbox,0,0,0,0,0,9,0,0,0
Shuttle Music Player,0,12,0,0,7,0,8,19,0
jetAudio Music Player Plus,10,0,0,0,0,0,0,0,0
Doppler,0,0,0,0,0,10,0,0,0
Vanilla Music,0,0,0,0,0,0,10,0,0
JioSaavn,0,0,10,0,0,0,0,11,0
Media Monkey,0,11,0,0,0,0,0,0,0
TuneIn Radio,0,0,0,11,0,0,0,0,0
Foobar2000,0,0,0,0,0,11,0,0,0
Gaana,0,0,11,0,0,0,0,12,0
Musicolet Music Player,12,0,0,0,0,0,0,0,0
Resso,0,0,12,0,0,0,0,0,0
BBC Sounds,0,0,0,12,0,0,0,0,0
Phonograph,0,0,0,0,12,0,0,0,0
Swinsian,0,0,0,0,0,12,0,0,0
Phonograph Music Player,13,0,0,0,0,0,0,0,0
iHeartRadio,0,0,13,0,0,0,0,0,0
Bandcamp,0,0,0,13,0,0,0,0,0
Pi Music Player,0,0,0,0,13,0,0,0,0
Gapless,0,0,0,0,0,13,0,0,0
Strawberry,0,0,0,0,0,0,13,0,0
Wynk Music,0,0,0,0,0,0,0,13,0
doubleTwist,0,0,0,0,0,0,0,0,13
Clementine,16,0,0,0,0,0,11,0,15
PotPlayer,0,0,0,0,0,0,12,0,16
Napster,0,0,14,0,0,0,0,0,0
PowerAmp,0,0,0,14,0,0,0,0,0
Indie Shuffle,0,0,0,0,14,0,0,0,0
foobar2000,0,0,0,0,0,0,14,0,0
LiveXLive,0,0,15,0,0,0,0,0,0
Musixmatch,0,0,0,0,0,0,17,0,14
VLC,15,0,0,0,0,17,0,0,0
Symphony,0,16,0,0,0,0,0,0,0
Cesium,0,0,0,0,0,16,0,0,0
Stellio,0,0,0,0,0,0,16,0,0
Shuffle Music,18,0,0,0,15,0,0,0,0
Oto Music,0,15,0,18,0,0,0,0,0
Frolomuse,0,13,0,19,0,19,0,0,0
Nyx Music Player,0,14,0,17,0,20,0,0,0
Pulse Music,0,0,0,0,16,0,0,0,18
Smart Shuffle,17,0,0,0,0,0,0,0,0
Soul Searching,0,17,0,0,0,0,0,0,0
Mucke,0,0,0,0,17,0,0,0,0
Tauon Music Box,0,0,0,0,0,0,0,0,17
Fossify Music Player,0,18,0,0,0,0,0,0,0
Marvis,0,0,0,0,18,0,0,0,0
Muziqi,0,0,0,0,0,18,0,0,0
Lark Player,0,0,0,0,0,0,18,0,0
Music X,19,0,0,0,0,0,0,0,0
Nothing Music,0,19,0,0,0,0,0,0,0
Virtual Shuffle - Truly Random (Spotify),0,0,0,0,19,0,0,0,0
mucke,0,0,0,0,0,0,0,0,19
AlbumMixer,0,0,0,0,0,0,20,0,0
Gonemad Music Player,0,0,0,0,0,0,0,20,0
Shuffle - Persian Music,0,0,0,0,0,0,0,0,20
