feature,model1,model2,rbo
Access to movies,openai,mistral,0.9255847007621835
Access to movies,openai,gemini,0.7225034580765634
Access to movies,mistral,gemini,0.691909830228501
Access to podcasts,openai,mistral,0.8720587676269506
Access to podcasts,openai,gemini,0.5347245205292229
Access to podcasts,mistral,gemini,0.5029406638643985
Broadcast messages to multiple contacts,openai,mistral,0.5649242083199816
Broadcast messages to multiple contacts,openai,gemini,0.13552183853699046
Broadcast messages to multiple contacts,mistral,gemini,0.15565814368978126
Build photo collage,openai,mistral,0.26252990990668507
Build photo collage,openai,gemini,0.15381210619295516
Build photo collage,mistral,gemini,0.254316384812008
Collaborate with others,openai,mistral,0.5785618750920587
Collaborate with others,openai,gemini,0.7807050510295436
Collaborate with others,mistral,gemini,0.6538576183685896
Go Live,openai,mistral,0.16852872092566684
Go Live,openai,gemini,0.7146183858616697
Go Live,mistral,gemini,0.309300837386931
Keeping up with friends,openai,mistral,0.5230415147463804
Keeping up with friends,openai,gemini,0.3912653033407045
Keeping up with friends,mistral,gemini,0.5668944876684756
List items for sale,openai,mistral,0.6467625529799607
List items for sale,openai,gemini,0.6357352826689379
List items for sale,mistral,gemini,0.686094725201737
Photo effects,openai,mistral,0.41653290930400755
Photo effects,openai,gemini,0.36175543485001443
Photo effects,mistral,gemini,0.3977092099527825
Play games,openai,mistral,0.0
Play games,openai,gemini,0.0
Play games,mistral,gemini,0.13434882731846753
Play playlist on shuffle mode,openai,mistral,0.8565635911851924
Play playlist on shuffle mode,openai,gemini,0.4391523372865983
Play playlist on shuffle mode,mistral,gemini,0.5095979045924907
Rate movies,openai,mistral,0.2426617340680743
Rate movies,openai,gemini,0.2790786815789149
Rate movies,mistral,gemini,0.7341488066532658
Search for offer on item,openai,mistral,0.2800677624019972
Search for offer on item,openai,gemini,0.338763019930264
Search for offer on item,mistral,gemini,0.1573323990168176
Send files,openai,mistral,0.12144093297361418
Send files,openai,gemini,0.5828771140331783
Send files,mistral,gemini,0.08200341646737057
Watch streams,openai,mistral,0.16862857174284232
Watch streams,openai,gemini,0.18966185537804597
Watch streams,mistral,gemini,0.2545762840175954
Write notes,openai,mistral,0.6719297798483201
Write notes,openai,gemini,0.6656594466205561
Write notes,mistral,gemini,0.5907701412762207
