open_model,proprietary_model,rbo_mean,rbo_std,n_features
deepseekr1_8b,anthropic,0.42766674633905494,0.217621725449935,99
deepseekr1_8b,gemini,0.3820647525172837,0.19815126315292314,99
deepseekr1_8b,mistral,0.4187079944350313,0.22274094740000905,99
deepseekr1_8b,openai,0.44982145475033153,0.19518070623932882,99
gemma3_4b,anthropic,0.41483279560235864,0.25047818166889824,99
gemma3_4b,gemini,0.3826873462064904,0.237023223437623,99
gemma3_4b,mistral,0.4016978099222713,0.23790417847177625,99
gemma3_4b,openai,0.41404704786710106,0.238665490748947,99
gptoss20b,anthropic,0.5233357727364525,0.21585211712972158,99
gptoss20b,gemini,0.48756108754998567,0.1895095445155771,99
gptoss20b,mistral,0.5205464118808989,0.21486265543744879,99
gptoss20b,openai,0.5303713724682346,0.191887595060101,99
llama31_8b,anthropic,0.3646267039881822,0.23043135349956725,99
llama31_8b,gemini,0.322524665684195,0.21815682456834307,99
llama31_8b,mistral,0.3787356668349063,0.23789191020278655,99
llama31_8b,openai,0.3664217458278103,0.21925947403929028,99
mistral_open,anthropic,0.43122377204245166,0.21763223620913408,91
mistral_open,gemini,0.3830954739507432,0.21084387283537975,91
mistral_open,mistral,0.4459240069190371,0.2211382536990469,91
mistral_open,openai,0.42187980622868754,0.19601399380735676,91
qwen3_8b,anthropic,0.43509163249511057,0.20809940931560394,99
qwen3_8b,gemini,0.40223647455477846,0.20411479973061883,99
qwen3_8b,mistral,0.4275309978027264,0.2252964827715698,99
qwen3_8b,openai,0.45088815397334586,0.20015499957335617,99
