name,description,type,sources
Active User Base,"The number of active users on the platform, indicating popularity and likelihood of friends being on the service.",Integer [1],"Company reports, app store metrics, market analysis reports"
Active Users,The total number of active users on the platform.,Integer [1],"Company reports, market analysis reports, news articles"
Ad-Supported,Whether the app is supported by ads.,Boolean [1],"App Store descriptions, Official app websites"
Ad-Supported Content,The presence of ads and the option for ad-free viewing.,Boolean [1],"Official app descriptions, Official platform websites, app descriptions, app websites, third-party reviews, user reviews"
Additional Features,"Any extra features that enhance the file transfer experience, such as cloud storage integration, chat, etc.",Text [*],"App Store Descriptions, App Store descriptions, App Stores, App features list, App store descriptions, App store listings, AppStore, Developer Websites, Developer websites, Expert Reviews, Official app websites, PlayStore, Tech blogs, User reviews, developer websites, official app websites, user reviews"
App Downloads,The total number of times the app has been downloaded.,Integer [1],"Amazon Appstore, App Annie, App Store, Apple App Store, Google Play Store, Sensor Tower"
App Performance,"Stability, speed, and resource usage of the app.",Text [1],"User reviews, developer blogs, performance benchmarks"
App Rating,"The average rating of the app on major app stores, reflecting overall user satisfaction.",Float [1],"App Store, Google Play"
App Store Rating,The average rating of the app on various app stores.,Float [1],"Amazon Appstore, App Store, Apple App Store, Google Play, Google Play Store"
Audio Quality,The quality of the audio playback offered by the app.,"Text, [1]","Official app websites, tech reviews, user forums"
Availability of Exclusive Content,The presence of unique or exclusive movies and TV shows not available on other platforms.,Boolean [1],"Official platform announcements, media reports"
Availability of Offline Downloads,The ability to download content for offline viewing.,Boolean [1],"Official platform websites, app features list"
Average Live Viewers,The average number of concurrent viewers during live streams.,Integer [1],"App Analytics Reports, App Store Reviews, Google Play Reviews"
Broadcast Feature Availability,Availability and ease of use of the broadcast message feature to multiple contacts.,Boolean [1],"Official app websites, Tech blogs, User reviews"
Broadcast Feature Quality,The effectiveness and ease of use of the broadcast feature.,Text [1],"Expert reviews, tech blogs, user reviews"
Buyer Traffic,The volume of potential buyers visiting the platform.,Integer [1],"Alexa rankings, Google Analytics reports, SimilarWeb"
Catalog Size,The number of movies available for rating and discovery within the app.,Integer [1],"Official app descriptions, developer websites, user reviews"
Community and Social Features,"The strength and activity of the app's community, as well as the social features that facilitate interaction among users.",Float [2],"Community Forums, Social Media Platforms, User Reviews"
Community and Support,"Availability of user community, tutorials, and customer support.",Text [1],"Customer support reviews, Official app forums, Official app websites, Social media pages, Social media platforms, customer support reviews, social media channels, social media pages, user forums"
Community Engagement,The level of engagement and interaction within the app's community.,Text [1],"Social media, community forums, in-app activity, user forums, user reviews"
Community Interaction,The level of interaction and community building features within the app.,Text [*],"Official app websites, tech blogs, user reviews"
Compatibility,The number of devices and platforms the app is compatible with.,Integer [1],"Official platform websites, app store listings"
Content Library,"The variety and quantity of content available for streaming, including movies, TV shows, live streams, and original content.",Text[1],"Official app descriptions, content catalogs, user reviews"
Content Library Size,The total number of movies and TV shows available on the platform.,Integer [1],"App Annie, App Store descriptions, App store descriptions, Company reports, JustWatch, Official app descriptions, Official app websites, Official platform websites, Reelgood, app descriptions, app descriptions on app stores, app store descriptions, app stores, app websites, market analysis reports, streaming service websites, tech reviews, third-party databases, third-party reviews, user reviews"
Content Updates,Frequency and quality of content updates and new features.,Text [1],"App Store descriptions, App release notes, Official app blogs, Social media channels, community forums, developer blogs"
Content Variety,The diversity and breadth of content available for streaming.,Text[*],"App Descriptions, App descriptions, Content Analysis Reports, Content analysis reports, Official app descriptions, Official app websites, User Surveys, User-generated tags, content catalogs, content libraries, tech blogs, third-party reviews, user reviews"
Cost,"The cost associated with using the app, including any subscription fees or in-app purchases.",Text [1],"App Store Listings, Official App Websites, Pricing Pages"
Coverage of Retailers,The number and variety of retailers and brands covered by the app.,Integer [1],"App descriptions, Official websites, User reviews"
Cross-Platform Availability,"The availability of the app across different platforms (iOS, Android, Web, etc.).",Text [*],"Amazon Appstore, App Store, App Store Listings, App Store descriptions, App Store listings, App store descriptions, App store listings, Apple App Store, Google Play, Google Play Store, Official App Websites, Official Websites, Official app descriptions, Official app documentation, Official app websites, Tech Blogs, app store descriptions, app store listings, company websites, official app websites, tech blogs"
Cross-Platform Compatibility,The app's ability to function across different operating systems and devices.,Boolean [1],"App specifications, user reviews"
Cross-Platform Support,"The availability of the app across different platforms (iOS, Android, Web, etc.).",Boolean [1],"App Store Descriptions, App Store descriptions, App Stores, App store listings, AppStore, Developer Websites, Developer websites, Official app websites, PlayStore, developer websites, user reviews"
Customer Support,The quality and responsiveness of the app's customer support.,Text [1],"App Store reviews, BBB ratings, G2 Crowd, Google Play reviews, Official App Websites, Official app websites, Official support channels, Official websites, Social Media Channels, Social media interactions, Tech blogs, Trustpilot, Trustpilot reviews, User Reviews on App Stores, User reviews, customer service ratings, customer support forums, official app websites, official support channels, tech blogs, tech reviews"
Customization Options,"The availability of customization options for broadcasting messages, such as scheduling, formatting, etc.",Text [1],"Official Documentation, User Reviews"
Database Size,The number of movies available in the app's database.,Integer[1],"Official app descriptions, developer information, developer websites, user reviews"
Device Compatibility,The range of devices and platforms supported by the app.,Text [*],"Official app descriptions, Official app specifications, Official app websites, Official platform websites, app store descriptions, app store listings, app stores, app websites, tech blogs, tech reviews, tech specification documents, tech specification sheets, third-party reviews, user reports, user reviews"
Downloads,Total number of times the app has been downloaded.,Integer [1],"App Annie, App Store, App Store statistics, Google Play Store, Sensor Tower"
Ease of Use,The user-friendliness and intuitiveness of the app interface.,Text [1],"App Store, App Store Reviews, App Store reviews, App Tutorials, App store descriptions, Apple App Store, Expert Analysis, Expert Reviews, Expert reviews, Expert reviews from tech blogs, Google Play, Google Play Store Reviews, Google Play Store reviews, Google Play reviews, Tech Blogs, Tech blogs, Trustpilot, Usability Testing Reports, Usability testing reports, User Reviews, User reviews, User reviews on Google Play Store, app descriptions, app store descriptions, app tutorials, expert reviews, expert reviews from tech blogs, tech blogs, tech reviews, usability studies"
Engagement Rate,The average time users spend on the app daily or monthly.,Float [1],"App Annie, App analytics platforms, Sensor Tower, SimilarWeb, company reports, market research data"
Exclusive Content,The availability of exclusive movies and TV shows not found on other platforms.,Boolean [1],"Official app descriptions, Official app websites, Official platform announcements, Official platform websites, app websites, content listings, entertainment news articles, media reports, tech blogs, tech reviews, third-party reviews, user discussions, user reviews"
Feature Set,The range and quality of photo editing features offered by the app.,Text [*],"App Annie, App Store Descriptions, App Store descriptions, App descriptions, App reviews, App store descriptions, CNET, Capterra, Developer Websites, Expert Reviews, Expert reviews, G2, G2 Crowd, Official App Websites, Official Websites, Official app descriptions, Official app websites, PCMag, SimilarWeb, Tech blogs, TechCrunch, TechRadar, User Feedback, User Reviews, User feedback, User reviews, app store descriptions, app store listings, expert analyses, expert reviews, official app websites, tech blogs, tech reviews, user feedback, user reviews, user reviews on app stores"
Fees and Commission,The cost associated with listing and selling items on the platform.,Float[1],"Blog comparisons, Expert comparisons, Official Website, Official app websites, Official fee structures from the app's website, Terms of Service, User Reviews, User reports, User reviews"
Fees and Commissions,The cost associated with listing and selling items on the platform.,Float [1],"Blog reviews, Official app websites"
Fees and Pricing,"The cost associated with listing items, including insertion fees, final value fees, and other related costs.",Float[1],"Blog comparisons, Official app websites, User reviews"
File Size Limit,The maximum file size that can be transferred using the app.,Integer [1],"App Store Descriptions, App Store descriptions, App Stores, AppStore, Developer Websites, Developer specifications, Developer websites, Official app websites, PlayStore, User Feedback, User reviews, developer websites, user feedback, user reviews, user testing"
File Transfer Speed,The speed at which the app can transfer files between devices.,Float [1],"App Store Reviews, App Store ratings, App Store reviews, App Stores, App reviews, AppStore reviews, CNET, Developer Websites, Developer websites, Expert Reviews, PlayStore reviews, Tech blogs, TechRadar, User Feedback, User reviews, developer specifications, developer websites, user feedback, user reviews, user testing"
Frequency of Offers,How often the app provides new offers and deals.,Text [1],"App Annie, SimilarWeb"
Frequency of Updates,How often the app is updated with new features and bug fixes.,Text [1],"Amazon Appstore, App Store, App store listings, Apple App Store, Developer blogs, Google Play Store, Release notes"
Geographical Availability,Number of countries where the service is available,Text[*],"App Store, Google Play, Official app descriptions, Official app websites, tech blogs"
Geographical Reach,The number of countries where the app is available and popular.,Integer [1],"App Annie, Sensor Tower, SimilarWeb"
Global Availability,The number of countries where the app is available and popular.,Integer [1],"App Annie, Sensor Tower, SimilarWeb"
Graphic Quality,The quality and realism of the graphics in the game.,Text [1],"Expert reviews, gaming websites, user reviews"
Group Chat Support,Availability and quality of group chat features.,Boolean [1],"App Reviews, Official App Websites"
Group Size Limit,The maximum number of participants that can be included in a single broadcast or group message.,Integer [1],"App Reviews, App Support Pages, Help Centers, Official App Documentation, Official Documentation, Official app documentation, Tech Specification Websites, User Feedback, tech blogs, user reviews"
In-App Purchases,The availability and variety of in-app purchases.,Boolean [1],"Amazon Appstore, App Annie, App Store, Apple App Store, Google Play Store, Sensor Tower, User reviews, official app descriptions"
Integration,"The app's integration with other platforms, like social platforms, or services like streaming services.",Boolean[1],"Official app descriptions, user reviews"
Integration Capabilities,Ability to integrate with other tools and services.,Text [1],"Developer documentation, IFTTT, Integration marketplaces, Official app websites, Zapier, app store descriptions, developer documentation, integration marketplaces, tech reviews, user feedback, user reviews"
Integration with Other Platforms,The app's ability to integrate with other social media platforms and services.,Text[1],"Official app descriptions, tech blogs, user reviews"
