feature,model1,model2,jaccard
Access to movies,openai,mistral,1.0
Access to movies,openai,gemini,0.6761904761904763
Access to movies,mistral,gemini,0.6761904761904763
Access to podcasts,openai,mistral,0.5476190476190477
Access to podcasts,openai,gemini,0.48359788359788364
Access to podcasts,mistral,gemini,0.3474426807760141
Broadcast messages to multiple contacts,openai,mistral,0.48571428571428577
Broadcast messages to multiple contacts,openai,gemini,0.11375661375661375
Broadcast messages to multiple contacts,mistral,gemini,0.09788359788359789
Build photo collage,openai,mistral,0.3621825396825396
Build photo collage,openai,gemini,0.18575396825396825
Build photo collage,mistral,gemini,0.18948412698412695
Collaborate with others,openai,mistral,0.40357142857142864
Collaborate with others,openai,gemini,0.5583333333333333
Collaborate with others,mistral,gemini,0.5117857142857143
Go Live,openai,mistral,0.11111111111111112
Go Live,openai,gemini,0.7833333333333334
Go Live,mistral,gemini,0.11458333333333334
Keeping up with friends,openai,mistral,0.2819444444444444
Keeping up with friends,openai,gemini,0.2827380952380952
Keeping up with friends,mistral,gemini,0.5652380952380952
List items for sale,openai,mistral,0.6166666666666667
List items for sale,openai,gemini,0.42361111111111116
List items for sale,mistral,gemini,0.4333333333333334
Photo effects,openai,mistral,0.4107142857142858
Photo effects,openai,gemini,0.2807539682539682
Photo effects,mistral,gemini,0.33928571428571425
Play games,openai,mistral,0.0
Play games,openai,gemini,0.0
Play games,mistral,gemini,0.08888888888888889
Play playlist on shuffle mode,openai,mistral,0.6666666666666669
Play playlist on shuffle mode,openai,gemini,0.22619047619047616
Play playlist on shuffle mode,mistral,gemini,0.33862433862433855
Rate movies,openai,mistral,0.11111111111111112
Rate movies,openai,gemini,0.11527777777777778
Rate movies,mistral,gemini,0.5535714285714285
Search for offer on item,openai,mistral,0.17261904761904762
Search for offer on item,openai,gemini,0.17972222222222223
Search for offer on item,mistral,gemini,0.07896825396825397
Send files,openai,mistral,0.03222222222222222
Send files,openai,gemini,0.4182539682539683
Send files,mistral,gemini,0.022222222222222223
Watch streams,openai,mistral,0.13174603174603178
Watch streams,openai,gemini,0.09984126984126988
Watch streams,mistral,gemini,0.16865079365079363
Write notes,openai,mistral,0.6428571428571429
Write notes,openai,gemini,0.6611904761904763
Write notes,mistral,gemini,0.7666666666666668
