,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.038114893043807385,0.13792538606222354,0.03412738161028637,0.053367307864107885,0.03412738161028637
Access to podcasts,0.5025883356546675,0.40243089574124635,0.5334366911960629,0.5192924349804167,0.5182961918914978
Broadcast messages,0.0,0.0,0.0,0.0,0.0
Build photo collage,0.2009249203914505,0.0892828262896963,0.26142702953975583,0.14638374130820347,0.0754361023529289
Collaborate with others,0.2420375872029053,0.25739098653078163,0.3955715804816683,0.2420375872029053,0.24322723149798892
Go Live,0.29437717109591854,0.21697236626250005,0.28435800664729605,0.11947462546405148,0.1289354545128336
Keeping up with friends,0.2031301832618133,0.17293236698783243,0.1627090757443761,0.03960784458551483,0.04923742955881581
List items for sale,0.21692418457456758,0.14895567704623483,0.1381319533691496,0.14574655356696678,0.3377718663039586
Photo effects,0.03412738161028637,0.030714643449257728,0.03412738161028637,0.11208764137036382,0.02448398927474226
Play games,0.0,0.0,0.0,0.0,0.0
Play playlist on shuffle mode,0.4805482135636404,0.295180469715544,0.5154083698207128,0.5034308586644759,0.1087653330177177
Rate movies,0.0,0.0,0.0,0.10408296572956728,0.0
Search for offer on item,0.0,0.0,0.0,0.0,0.007444310494367575
Send files,0.10884133632201778,0.08272173184556933,0.2059170293845424,0.12238273375150581,0.13636090272049617
Watch streams,0.0,0.0011896442950836213,0.0,0.07933315457126304,0.0
Write notes,0.16384272974050088,0.22264060374897027,0.27045686758545845,0.2496952333443377,0.18353704961219283
,,,,,
AVERAGE,0.1553410585288485,0.12864609987343376,0.17722946043684967,0.15230766765023,0.11547645267798916
