,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.12380952380952381,0.15966386554621848,0.11428571428571428,0.14285714285714285,0.129004329004329
Access to podcasts,0.10527670527670527,0.16677701383583737,0.2205691367456073,0.173109243697479,0.12448532566179624
Broadcast messages,0.06685633001422475,0.0,0.05832147937411094,0.002564102564102564,0.05263157894736842
Build photo collage,0.13215758478916373,0.11145431145431144,0.17730455818691113,0.13968253968253969,0.07527252816726501
Collaborate with others,0.0810810810810811,0.09609609609609611,0.069701280227596,0.11111111111111112,0.09609609609609611
Go Live,0.15294117647058822,0.04723346828609986,0.11296393557422968,0.02834008097165992,0.04723346828609986
Keeping up with friends,0.10244530244530245,0.1021021021021021,0.07254623044096728,0.07634088686720265,0.02564102564102564
List items for sale,0.0810810810810811,0.06970128022759603,0.0810810810810811,0.0810810810810811,0.06699857752489333
Photo effects,0.05263157894736842,0.039136302294197026,0.05263157894736842,0.0810810810810811,0.048412924202397886
Play games,0.02564102564102564,0.002564102564102564,0.02564102564102564,0.007827260458839405,0.0
Play playlist on shuffle mode,0.17687802393684748,0.07216377742693532,0.17647058823529413,0.17647058823529413,0.05489816016131806
Rate movies,0.002564102564102564,0.0,0.0,0.017948717948717947,0.0
Search for offer on item,0.010526315789473684,0.005263157894736842,0.0,0.0,0.03151147098515519
Send files,0.16463712757830404,0.18334130646393454,0.12739495798319328,0.13087089381207032,0.10208683473389354
Watch streams,0.08424213687371582,0.08185918712234501,0.10227370227370228,0.11111111111111112,0.042127147390305285
Write notes,0.09326469326469326,0.14365079365079364,0.14327731092436974,0.12698412698412698,0.11379310344827587
,,,,,
AVERAGE,0.09100211184770009,0.08006292281033164,0.09590391124507319,0.08796124802897248,0.06313703564063872
