,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.08046013226314057,0.19570407861766634,0.08538070240526183,0.12380612643828388,0.08670516818439818
Access to podcasts,0.43159004774804155,0.374746489812559,0.48809367154029665,0.47935385226706406,0.45573387745586275
Broadcast messages,0.011126958941196577,0.0,0.008568416004494941,7.68906999530713e-05,0.008151703759667419
Build photo collage,0.22471439744880609,0.10763168045277038,0.2748871434184556,0.17758070551644,0.08466718014161832
Collaborate with others,0.2214727644286397,0.23456828569804747,0.33314159113375336,0.22638579711469692,0.23150015404715552
Go Live,0.3049164963185248,0.1927814635928326,0.2684725525561366,0.10695394972756393,0.12677226972550795
Keeping up with friends,0.20041117370512448,0.18445521731206216,0.17002800693869297,0.05852601410885182,0.05479852509625518
List items for sale,0.21571388352314963,0.15193271769994124,0.15097815136947138,0.15406076306562358,0.28948435250446997
Photo effects,0.045173212202306925,0.040341838742639,0.04526314284552689,0.12135868682133943,0.0350044399728235
Play games,0.0007689069995307129,7.68906999530713e-05,0.0007689069995307129,0.0028055390462310968,0.0
Play playlist on shuffle mode,0.4640356984912203,0.2611655449086437,0.48312900833054695,0.476435317810755,0.11245132033220692
Rate movies,7.68906999530713e-05,0.0,0.0,0.08997747274140244,0.0
Search for offer on item,0.0012884439375519517,0.002011084925465861,0.0,0.0,0.022019364313059314
Send files,0.16279008960791747,0.1457518942707706,0.22372565711218623,0.1647830779992021,0.15767366576473454
Watch streams,0.030509339450969473,0.030540186030575584,0.03244170415445526,0.11461626711627246,0.02034531766558134
Write notes,0.1779367993575355,0.2522290738496512,0.2844170884272414,0.26057803568290977,0.2092490547579283
,,,,,
AVERAGE,0.16081157719522554,0.13587102791334862,0.1780809839522532,0.15983115600978687,0.11840977460757933
