,anthropic,gemini,mistral,openai,perplexity
Access to movies,0.0,0.0,0.0,0.0,0.0
Access to podcasts,0.5,0.3,0.5,0.5,0.32
Broadcast messages,0.0,0.0,0.0,0.0,0.0
Build photo collage,0.1,0.04,0.2,0.0,0.02
Collaborate with others,0.2,0.2,0.2,0.2,0.2
Go Live,0.2,0.21000000000000002,0.2,0.04,0.08
Keeping up with friends,0.18,0.16,0.2,0.04,0.0
List items for sale,0.2,0.08,0.0,0.12,0.47000000000000003
Photo effects,0.0,0.0,0.0,0.02,0.0
Play games,0.0,0.0,0.0,0.0,0.0
Play playlist on shuffle mode,0.2,0.13999999999999999,0.2,0.2,0.13999999999999999
Rate movies,0.0,0.0,0.0,0.13999999999999999,0.0
Search for offer on item,0.0,0.0,0.0,0.0,0.0
Send files,0.0,0.0,0.18,0.02,0.04
Watch streams,0.0,0.0,0.0,0.0,0.0
Write notes,0.16,0.16,0.2,0.18,0.14
,,,,,
AVERAGE,0.10875000000000001,0.080625,0.11750000000000001,0.09125,0.08812500000000001
