name,description,type,sources
User Ratings,Average user rating on app stores,Float [1],"App Store, Google Play Store"
Number of Downloads,Total number of app downloads,Integer [1],"App Store, Google Play Store"
Supported Activities,Types of sports and activities the app can track,Text [*],"App descriptions, official websites"
Platform Compatibility,Operating systems the app is available on,Text [*],"App descriptions, official websites"
Integration with Wearables,Compatibility with wearable devices,Boolean [1],"App descriptions, official websites"
Subscription Cost,"Cost of premium subscription, if applicable",Float [1],"App descriptions, official websites"
User Ratings,Average user rating on app stores,Float [1],"App Store, Google Play Store"
Number of Downloads,Total number of app downloads,Integer [1],"App Store, Google Play Store"
Feature Set,Range of features offered by the app,Text [*],"Official app websites, user reviews"
Platform Compatibility,Operating systems the app is available on,Text [*],Official app websites
Integration with Wearables,Compatibility with wearable devices,Boolean [1],"Official app websites, user reviews"
User Ratings,Average user rating on app stores,Float [1],"App Store, Google Play Store"
Number of Downloads,Total number of app downloads,Integer [1],"App Store, Google Play Store"
Supported Activities,Types of sports and activities the app can track,Text [*],"App descriptions, official websites"
Platform Compatibility,Operating systems the app is available on,Text [*],"App descriptions, official websites"
Integration with Wearables,Compatibility with wearable devices,Boolean [1],"App descriptions, official websites"
Subscription Cost,Cost of premium subscription features,Float [1],"App descriptions, official websites"
User Ratings,Average user ratings from app stores,Float [1],"App Store, Google Play Store"
Number of Downloads,Total number of downloads,Integer [1],"App Store, Google Play Store"
Supported Activities,Types of sports and activities tracked,Text [*],Official app descriptions
Platform Compatibility,Operating systems supported,Text [*],Official app descriptions
Integration with Other Devices,Compatibility with wearables and other devices,Text [*],Official app descriptions
User Base,Number of active users or downloads.,Integer,"App Store, Google Play Store, company reports"
Features,"Range of functionalities offered, such as GPS tracking, workout plans, social integration.",Text,"Official app descriptions, user reviews"
Platform Compatibility,Availability across different operating systems and devices.,Text,Official app descriptions
User Ratings,Average user ratings on app stores.,Float,"App Store, Google Play Store"
Subscription Cost,Pricing for premium features or subscriptions.,Float,"Official app websites, app stores"
