feature,model,jaccard
Access to movies,anthropic,0.8444444444444444
Access to podcasts,anthropic,0.818958818958819
Broadcast messages to multiple contacts,anthropic,0.8261072261072262
Build photo collage,anthropic,0.5206996706996706
Collaborate with others,anthropic,1.0
Go Live,anthropic,0.8760942760942763
Keeping up with friends,anthropic,0.7374477374477375
List items for sale,anthropic,0.8262626262626264
Photo effects,anthropic,0.6120990120990122
Play games,anthropic,0.7984977984977984
Play playlist on shuffle mode,anthropic,0.8828282828282832
Rate movies,anthropic,0.5994375994375994
Search for offer on item,anthropic,0.606060606060606
Send files,anthropic,0.6662004662004664
Watch streams,anthropic,0.8753690753690756
Write notes,anthropic,0.7647685647685648
Access to movies,gemini,0.6110630110630111
Access to podcasts,gemini,0.6544270544270545
Broadcast messages to multiple contacts,gemini,0.47858807858807845
Build photo collage,gemini,0.28170558371796756
Collaborate with others,gemini,0.6004736004736004
Go Live,gemini,0.48862063862063854
Keeping up with friends,gemini,0.32698857920736146
List items for sale,gemini,0.5918155918155917
Photo effects,gemini,0.39812882145183487
Play games,gemini,0.1530633815979533
Play playlist on shuffle mode,gemini,0.24350761801742188
Rate movies,gemini,0.5028878528878529
Search for offer on item,gemini,0.3796113358032862
Send files,gemini,0.4611092611092609
Watch streams,gemini,0.22482028348901414
Write notes,gemini,0.842942242942243
Access to movies,mistral,1.0
Access to podcasts,mistral,0.9353535353535354
Broadcast messages to multiple contacts,mistral,0.5504717504717505
Build photo collage,mistral,0.6778554778554781
Collaborate with others,mistral,0.8133126133126134
Go Live,mistral,0.652110852110852
Keeping up with friends,mistral,0.6962148962148961
List items for sale,mistral,0.7455063455063454
Photo effects,mistral,0.7423317423317424
Play games,mistral,0.7747733747733748
Play playlist on shuffle mode,mistral,1.0
Rate movies,mistral,0.38316683316683314
Search for offer on item,mistral,0.6363340363340362
Send files,mistral,0.6352462352462352
Watch streams,mistral,0.9353535353535354
Write notes,mistral,0.7993265993265991
Access to movies,openai,1.0
Access to podcasts,openai,0.9353535353535354
Broadcast messages to multiple contacts,openai,0.843771043771044
Build photo collage,openai,0.7821807821807824
Collaborate with others,openai,0.8008806008806011
Go Live,openai,0.6516002516002514
Keeping up with friends,openai,0.6491582491582493
List items for sale,openai,0.7005809005809005
Photo effects,openai,0.865993265993266
Play games,openai,0.1550844538254239
Play playlist on shuffle mode,openai,1.0
Rate movies,openai,0.6076054664289957
Search for offer on item,openai,0.6196945030278365
Send files,openai,0.6972064972064972
Watch streams,openai,0.544731376103925
Write notes,openai,0.865993265993266
Access to movies,perplexity,1.0
Access to podcasts,perplexity,0.6172790172790171
Broadcast messages to multiple contacts,perplexity,0.8545454545454548
Build photo collage,perplexity,0.44013053032660865
Collaborate with others,perplexity,0.5978595478595479
Go Live,perplexity,0.6354830354830354
Keeping up with friends,perplexity,0.7000166500166499
List items for sale,perplexity,0.8020202020202017
Photo effects,perplexity,0.5619062419062418
Play games,perplexity,0.3833293068587186
Play playlist on shuffle mode,perplexity,0.30514037886586903
Rate movies,perplexity,0.36354712825301055
Search for offer on item,perplexity,0.5157236372922646
Send files,perplexity,0.639031339031339
Watch streams,perplexity,0.890909090909091
Write notes,perplexity,0.8533910533910537
