name,description,type,sources
Download Count,Number of times the game has been downloaded across all platforms. Indicates popularity and reach.,Integer [1],"AppFigures, AppMagic, Apple App Store, Google Play Store, Sensor Tower"
Gameplay Mechanics,"How engaging, innovative, and polished the game's core mechanics are.",Text[1],"Game reviews, Gaming blogs, Playthrough videos, User reviews, gameplay videos, user feedback"
Genre,The game's genre and its popularity among mobile gamers.,Text [1],"App store categories, Apple App Store, Google Play Store, game descriptions, market analysis"
Genre diversity,"The variety of gameplay experiences offered, including action, puzzle, strategy, and simulation. A diverse genre selection appeals to a broader audience.",Text [*],"App Store, Game description, Google Play Store, PCMag, Pocket Tactics"
Genre Popularity,"How popular the game's genre is, based on download numbers and active players.",Text[1],"Internal analysis, Mobilegamer.biz, PocketGamer.biz"
Graphics Quality,Visual fidelity and artistic style of the game.,Text[1],"App Store descriptions, User reviews, app store descriptions, game reviews, gaming blogs"
In-App Purchases,Presence and intrusiveness of in-app purchases.,Boolean [1],"App Store Descriptions, Apple App Store, Game Reviews, Google Play Store, User Reviews"
Monetization Model,"How the game generates revenue (e.g., free-to-play with in-app purchases, paid).",Text[1],"App Store descriptions, App store information, Apple App Store, Gaming blogs, Google Play Store, MiniReview, User reviews, game industry reports, user reviews"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"3rd party app analytics providers, AppMagic, Appfigures, Apple App Store, Appmagic, Business of Apps, Google Play Store, Udonis Blog"
User Rating,Average rating given by users on app stores.,Float [1],"Apple App Store, Google Play Store, TapTap"
User Ratings,Average rating given by users in app stores.,Float [1],"App Store, Apple App Store, Google Play Store"
