model,feature,name,description,type,sources
gemini,Play games,User Rating,Average rating given by users on app stores or gaming platforms. Reflects overall player satisfaction.,Float [1],"Google Play Store, Apple App Store, TapTap"
gemini,Play games,Download Count,Number of times the game has been downloaded across all platforms. Indicates popularity and reach.,Integer [1],"AppFigures, AppMagic, Sensor Tower"
gemini,Play games,Genre diversity,Different gameplay styles that the game offers,Text [*],Game description
gemini,Play games,In-App Purchases,Presence and balance of in-app purchases. Games with fair monetization are preferred.,Boolean [1],"Google Play Store, Apple App Store, User Reviews"
gemini,Play games,Graphics Quality,The visual fidelity and artistic style of the game.,Text[1],"User reviews, App Store descriptions, gaming blogs"
gemini,Play games,Gameplay Mechanics,How engaging and innovative the core gameplay loop is.,Text[1],"Gaming blogs, User reviews, Playthrough videos"
gemini,Play games,Replayability,The game's ability to keep players engaged over long periods.,Text[1],"User reviews, Gaming forums, App Store descriptions"
gemini,Play games,Monetization Model,"How the game generates revenue (e.g., in-app purchases, ads) and its impact on gameplay.",Text[1],"App Store descriptions, User reviews, Gaming blogs"
gemini,Play games,User Reviews & Ratings,Aggregated scores and feedback from players.,Float[1],"App Store, Google Play Store"
gemini,Play games,User Rating,Average rating given by users on app stores.,Float [1],"Google Play Store, Apple App Store"
gemini,Play games,Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Appmagic, Google Play Store, Apple App Store"
gemini,Play games,Genre,The game's genre influences its appeal to different player tastes.,Text [1],"Google Play Store, Apple App Store"
gemini,Play games,In-App Purchases,Availability of in-app purchases and their impact on gameplay.,Boolean,"Google Play Store, Apple App Store"
gemini,Play games,Last Update,How recently the game was updated affects its freshness and bug fixes.,Date [1],"Google Play Store, Apple App Store"
gemini,Play games,User Ratings,Average rating given by users in app stores.,Float [1],"Google Play Store, Apple App Store"
gemini,Play games,Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Appfigures, AppMagic"
gemini,Play games,Genre,The game's category or type of gameplay.,Text [1],"Google Play Store, Apple App Store"
gemini,Play games,Monetization Model,"How the game generates revenue (e.g., free-to-play with in-app purchases, paid).",Text [1],"Google Play Store, Apple App Store, MiniReview"
gemini,Play games,Multiplayer Capability,Ability to play with or against other players.,Boolean [1],"Game description, MiniReview"
gemini,Play games,Graphics Quality,Visual fidelity and artistic style of the game.,Text,"User reviews, app store descriptions, game reviews"
gemini,Play games,Gameplay Mechanics,"How engaging, innovative, and polished the game's core mechanics are.",Text,"Game reviews, gameplay videos, user feedback"
gemini,Play games,Genre,The game's genre and its popularity among mobile gamers.,Text,"App store categories, game descriptions, market analysis"
gemini,Play games,Monetization Model,"How the game implements in-app purchases or other monetization strategies (e.g., free-to-play, premium).",Text,"App store information, user reviews, game industry reports"
gemini,Play games,User Reviews and Ratings,Overall sentiment and scores from user reviews on app stores.,Float [1],"App stores (e.g., Google Play Store, Apple App Store)"
gemini,Play games,Popularity,Number of downloads and active users.,Integer[*],"App Store, Google Play Store"
gemini,Play games,User Ratings,Average rating given by users in app stores.,Float[1],"App Store, Google Play Store"
gemini,Play games,Revenue Generation,Total revenue generated through in-app purchases and ads.,Float[1],"AppMagic, Appfigures"
gemini,Play games,Genre diversity,Includes a range of genres to cater to different player preferences.,Text[*],"App Store, Google Play Store"
gemini,Play games,Game of the Year Awards,Accolades from major mobile gaming review platforms.,Boolean[1],"Google Play Store, The Game Awards"
gemini,Play games,User Ratings,Average rating given by users in app stores.,Float[1],"Google Play Store, Apple App Store"
gemini,Play games,Download Count,Number of times the app has been downloaded.,Integer[1],"Google Play Store, Apple App Store"
gemini,Play games,In-App Purchases,Presence and intrusiveness of in-app purchases.,Boolean[1],"App Store Descriptions, User Reviews"
gemini,Play games,Game Updates,Frequency of updates that improve game play.,Integer[1],App Store Update Logs
gemini,Play games,Genre Popularity,How popular the game is in its associated genre.,Text[1],"Mobilegamer.biz, PocketGamer.biz"
gemini,Play games,Number of Downloads,The total number of times the app has been downloaded across all platforms. A higher number indicates greater popularity and reach.,Integer,"Udonis Blog, Business of Apps"
gemini,Play games,User Ratings and Reviews,"Average rating given by users, reflecting satisfaction and perceived quality of the app. Higher rating suggests a better user experience.",Float,"App Store, Google Play Store"
gemini,Play games,Active User Base,The number of users actively playing the game on a daily or monthly basis. A larger active user base indicates higher engagement and community.,Integer,Apptopia
gemini,Play games,Genre Diversity,"The variety of gameplay experiences offered, including action, puzzle, strategy, and simulation. A diverse genre selection appeals to a broader audience.",Text,"Pocket Tactics, PCMag"
gemini,Play games,Update Frequency,"How often the app receives updates, including new content, bug fixes, and performance improvements. Regular updates indicate ongoing support and development.",Float,"App Store, Google Play Store"
