model,criterion,guided_internal_mean,guided_internal_std,n_features_guided,blind_internal_mean,delta_matched,n_features_matched
anthropic,Accessibility Features,0.879907636860978,0.10266458422898231,16,0.8794910177851645,0.0004166190758135291,16
anthropic,Cost and Pricing,0.8827945252043441,0.06540446191978083,16,0.8794910177851645,0.0033035074191795424,16
anthropic,Cross-Platform Synchronization,0.9209827584936437,0.061240082657759015,16,0.8794910177851645,0.04149174070847925,16
anthropic,Customer Support,0.8754819818066156,0.09297293126343707,16,0.8794910177851645,-0.0040090359785488056,16
anthropic,Customization Options,0.7993149626770572,0.1306423821534599,16,0.8794910177851645,-0.08017605510810727,16
anthropic,Feature Breadth and Richness,0.8269796020141525,0.17379944915189802,16,0.8794910177851645,-0.052511415771011885,16
anthropic,Integration with Other Services,0.8519254476112916,0.13560761030557653,16,0.8794910177851645,-0.027565570173872844,16
anthropic,Performance and Stability,0.8600306783771487,0.08901253785490387,16,0.8794910177851645,-0.01946033940801567,16
anthropic,Platform and Device Compatibility,0.8832179973815375,0.08452562619969096,16,0.8794910177851645,0.003726979596373123,16
anthropic,Popularity and Market Reach,0.9354229161784297,0.049004977327940055,16,0.8794910177851645,0.05593189839326526,16
anthropic,Regional and Geographical Availability,0.8316991872316337,0.14834457814419336,16,0.8794910177851645,-0.04779183055353064,16
anthropic,Regular Updates and Maintenance,0.8539946505275623,0.16825458653852676,16,0.8794910177851645,-0.025496367257602202,16
anthropic,Security and Privacy,0.8667019871154911,0.14543012152415516,16,0.8794910177851645,-0.012789030669673372,16
anthropic,User Engagement,0.8718276333812163,0.10378079154918488,16,0.8794910177851645,-0.007663384403948217,16
anthropic,User Interface and Experience,0.8776578422938729,0.13268620057377886,16,0.8794910177851645,-0.0018331754912915416,16
anthropic,User Ratings,0.8293214014712579,0.14759075067220676,16,0.8794910177851645,-0.05016961631390657,16
deepseekr1_8b,Accessibility Features,0.6237182396877892,0.1321979034333412,16,0.686107774893181,-0.06238953520539187,16
deepseekr1_8b,Cost and Pricing,0.5472399015897171,0.09974553978343437,16,0.686107774893181,-0.1388678733034639,16
deepseekr1_8b,Cross-Platform Synchronization,0.6982730233029535,0.09775602982859324,16,0.686107774893181,0.012165248409772504,16
deepseekr1_8b,Customer Support,0.5941407188166455,0.12096867900469889,16,0.686107774893181,-0.09196705607653544,16
deepseekr1_8b,Customization Options,0.5789522738882734,0.10907390937890964,16,0.686107774893181,-0.10715550100490759,16
deepseekr1_8b,Feature Breadth and Richness,0.67459516706048,0.11269709141340672,16,0.686107774893181,-0.011512607832700951,16
deepseekr1_8b,Integration with Other Services,0.613550697394011,0.12123990270149519,16,0.686107774893181,-0.07255707749916991,16
deepseekr1_8b,Performance and Stability,0.641093496062574,0.1729484943050366,16,0.686107774893181,-0.04501427883060706,16
deepseekr1_8b,Platform and Device Compatibility,0.6367811596133699,0.10960485138215917,16,0.686107774893181,-0.04932661527981107,16
deepseekr1_8b,Popularity and Market Reach,0.6982280330965503,0.13790007958123152,16,0.686107774893181,0.012120258203369368,16
deepseekr1_8b,Regional and Geographical Availability,0.6901314038995912,0.10724793762657714,16,0.686107774893181,0.004023629006410175,16
