criterion,mean_guided,mean_blind,mean_paired_delta,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,cohen_dz,n_features,p_ttest_holm,p_wilcoxon_holm
Accessibility Features,0.4366114321995166,0.4725256501225266,-0.03591421792301007,-2.445177396765545,0.027298710557115663,27.0,0.033538818359375,-0.6112943491913863,16,0.19109097389980964,0.234771728515625
Cost and Pricing,0.3639037668828672,0.4725256501225266,-0.1086218832396594,-5.242930967530039,9.92695815046084e-05,0.0,3.0517578125e-05,-1.3107327418825097,16,0.0013897741410645176,0.00048828125
Cross-Platform Synchronization,0.4512896179549448,0.4725256501225266,-0.02123603216758181,-1.1924582517988238,0.2516047829968635,36.0,0.104583740234375,-0.29811456294970595,16,0.8162235799779819,0.522918701171875
Customer Support,0.42308301066853016,0.4725256501225266,-0.04944263945399642,-2.577802611401732,0.021006205978215793,23.0,0.01824951171875,-0.644450652850433,16,0.16804964782572634,0.14599609375
Customization Options,0.3317503729089752,0.4725256501225266,-0.14077527721355143,-4.3785408214897075,0.0005396173765131977,7.0,0.000579833984375,-1.0946352053724269,16,0.006475408518158372,0.0069580078125
Feature Breadth and Richness,0.43394210977434855,0.4725256501225266,-0.038583540348178035,-3.1006251057644767,0.00730789321134854,19.0,0.009185791015625,-0.7751562764411192,16,0.0730789321134854,0.09185791015625
Integration with Other Services,0.43900142428016165,0.4725256501225266,-0.03352422584236495,-1.5975302082044993,0.1309954256828765,36.0,0.104583740234375,-0.39938255205112483,16,0.6549771284143825,0.522918701171875
Performance and Stability,0.4363407118200897,0.4725256501225266,-0.036184938302436895,-3.2870762442151724,0.004989374637979818,15.0,0.004180908203125,-0.8217690610537931,16,0.054883121017777994,0.045989990234375
Platform and Device Compatibility,0.45549771848048165,0.4725256501225266,-0.01702793164204496,-1.3279279779272237,0.20405589499449547,40.0,0.1590576171875,-0.33198199448180593,16,0.8162235799779819,0.522918701171875
Popularity and Market Reach,0.476844122588727,0.4725256501225266,0.004318472466200389,0.20643844655336696,0.8392244095884009,63.0,0.820892333984375,0.05160961163834174,16,1.0,1.0
Regional and Geographical Availability,0.443142086331914,0.4725256501225266,-0.029383563790612605,-2.2565065690794452,0.03939235704899628,34.0,0.083251953125,-0.5641266422698613,16,0.2363541422939777,0.49951171875
Regular Updates and Maintenance,0.4275640195523225,0.4725256501225266,-0.04496163057020414,-3.008367298661104,0.008821136178861492,20.0,0.010986328125,-0.752091824665276,16,0.07939022560975342,0.098876953125
Security and Privacy,0.3399092012802639,0.4725256501225266,-0.13261644884226267,-5.746139879950542,3.864941970193115e-05,0.0,3.0517578125e-05,-1.4365349699876355,16,0.0005797412955289672,0.00048828125
User Engagement,0.4737612030451102,0.4725256501225266,0.0012355529225836232,0.08744117245091355,0.9314774986204291,56.0,0.5618896484375,0.02186029311272839,16,1.0,1.0
User Interface and Experience,0.4277621917009792,0.4725256501225266,-0.044763458421547435,-4.557442906068223,0.00037756918542202725,3.0,0.000152587890625,-1.1393607265170558,16,0.004908399410486354,0.001983642578125
User Ratings,0.35319564944513193,0.4725256501225266,-0.11933000067739466,-6.751925421951735,6.5029793597351115e-06,0.0,3.0517578125e-05,-1.6879813554879337,16,0.00010404766975576178,0.00048828125
