criterion,model1,model2,cohort_pair,feature,rbo
Accessibility Features,llama31_8b,gemma3_4b,open,Access to movies,0.7437580141432129
Accessibility Features,llama31_8b,gemma3_4b,open,Access to podcasts,0.4174722247291657
Accessibility Features,llama31_8b,gemma3_4b,open,Broadcast messages to multiple contacts,0.34857650458965683
Accessibility Features,llama31_8b,gemma3_4b,open,Build photo collage,0.006220129201562017
Accessibility Features,llama31_8b,gemma3_4b,open,Collaborate with others,0.3598715999383909
Accessibility Features,llama31_8b,gemma3_4b,open,Go Live,0.27944436410629203
Accessibility Features,llama31_8b,gemma3_4b,open,Keeping up with friends,0.4371469671448619
Accessibility Features,llama31_8b,gemma3_4b,open,List items for sale,0.383292554657991
Accessibility Features,llama31_8b,gemma3_4b,open,Photo effects,0.13636876360995223
Accessibility Features,llama31_8b,gemma3_4b,open,Play games,0.13098531367049854
Accessibility Features,llama31_8b,gemma3_4b,open,Play playlist on shuffle mode,0.5469349394780495
Accessibility Features,llama31_8b,gemma3_4b,open,Rate movies,0.18484858692475875
Accessibility Features,llama31_8b,gemma3_4b,open,Search for offer on item,0.14489775382511727
Accessibility Features,llama31_8b,gemma3_4b,open,Send files,0.2915713508425243
Accessibility Features,llama31_8b,gemma3_4b,open,Watch streams,0.3070811311471619
Accessibility Features,llama31_8b,gemma3_4b,open,Write notes,0.5139169342564662
Accessibility Features,llama31_8b,qwen3_8b,open,Access to movies,0.70379122722689
Accessibility Features,llama31_8b,qwen3_8b,open,Access to podcasts,0.44603148920128755
Accessibility Features,llama31_8b,qwen3_8b,open,Broadcast messages to multiple contacts,0.3059079734888914
Accessibility Features,llama31_8b,qwen3_8b,open,Build photo collage,0.02295609547727121
Accessibility Features,llama31_8b,qwen3_8b,open,Collaborate with others,0.40846525598087274
Accessibility Features,llama31_8b,qwen3_8b,open,Go Live,0.3091386343938207
Accessibility Features,llama31_8b,qwen3_8b,open,Keeping up with friends,0.4831559767745256
Accessibility Features,llama31_8b,qwen3_8b,open,List items for sale,0.28539994287905335
Accessibility Features,llama31_8b,qwen3_8b,open,Photo effects,0.10636694360618489
Accessibility Features,llama31_8b,qwen3_8b,open,Play games,0.0787195214508879
Accessibility Features,llama31_8b,qwen3_8b,open,Play playlist on shuffle mode,0.48741445064901173
Accessibility Features,llama31_8b,qwen3_8b,open,Rate movies,0.37690296377959137
Accessibility Features,llama31_8b,qwen3_8b,open,Search for offer on item,0.027501717049947808
Accessibility Features,llama31_8b,qwen3_8b,open,Send files,0.2255399661870804
Accessibility Features,llama31_8b,qwen3_8b,open,Watch streams,0.35361020449208025
Accessibility Features,llama31_8b,qwen3_8b,open,Write notes,0.41779063807491396
Accessibility Features,llama31_8b,gptoss20b,open,Access to movies,0.7415194793901893
Accessibility Features,llama31_8b,gptoss20b,open,Access to podcasts,0.4447026210786646
Accessibility Features,llama31_8b,gptoss20b,open,Broadcast messages to multiple contacts,0.3255083850061203
Accessibility Features,llama31_8b,gptoss20b,open,Build photo collage,0.013129172988063082
Accessibility Features,llama31_8b,gptoss20b,open,Collaborate with others,0.4331914000399404
Accessibility Features,llama31_8b,gptoss20b,open,Go Live,0.14203613525406295
Accessibility Features,llama31_8b,gptoss20b,open,Keeping up with friends,0.43246681640013307
Accessibility Features,llama31_8b,gptoss20b,open,List items for sale,0.28163173555551646
Accessibility Features,llama31_8b,gptoss20b,open,Photo effects,0.10784149818873072
Accessibility Features,llama31_8b,gptoss20b,open,Play games,0.05146723313392223
Accessibility Features,llama31_8b,gptoss20b,open,Play playlist on shuffle mode,0.5569477590140909
Accessibility Features,llama31_8b,gptoss20b,open,Rate movies,0.4034168513702426
Accessibility Features,llama31_8b,gptoss20b,open,Search for offer on item,0.05832895153224243
Accessibility Features,llama31_8b,gptoss20b,open,Send files,0.1430487421797714
Accessibility Features,llama31_8b,gptoss20b,open,Watch streams,0.1310492978684154
Accessibility Features,llama31_8b,gptoss20b,open,Write notes,0.3836406035088251
Accessibility Features,llama31_8b,mistral_open,open,Access to movies,0.667921864744118
Accessibility Features,llama31_8b,mistral_open,open,Access to podcasts,0.4397269388681663
Accessibility Features,llama31_8b,mistral_open,open,Broadcast messages to multiple contacts,0.29766222916669377
Accessibility Features,llama31_8b,mistral_open,open,Build photo collage,0.01710790798608459
Accessibility Features,llama31_8b,mistral_open,open,Collaborate with others,0.45960151084969253
Accessibility Features,llama31_8b,mistral_open,open,Go Live,0.03622805867890361
Accessibility Features,llama31_8b,mistral_open,open,Keeping up with friends,0.5925654468047571
Accessibility Features,llama31_8b,mistral_open,open,List items for sale,0.30670189028187045
Accessibility Features,llama31_8b,mistral_open,open,Photo effects,0.0905902613292581
Accessibility Features,llama31_8b,mistral_open,open,Play games,0.09830487114825429
Accessibility Features,llama31_8b,mistral_open,open,Play playlist on shuffle mode,0.5753541562384265
Accessibility Features,llama31_8b,mistral_open,open,Rate movies,0.3275828996931703
Accessibility Features,llama31_8b,mistral_open,open,Search for offer on item,0.0394370493136724
Accessibility Features,llama31_8b,mistral_open,open,Send files,0.21351741442679434
Accessibility Features,llama31_8b,mistral_open,open,Watch streams,0.20605483396937488
Accessibility Features,llama31_8b,mistral_open,open,Write notes,0.6276318695054037
Accessibility Features,llama31_8b,deepseekr1_8b,open,Access to movies,0.610494311600389
Accessibility Features,llama31_8b,deepseekr1_8b,open,Access to podcasts,0.43234085313669723
Accessibility Features,llama31_8b,deepseekr1_8b,open,Broadcast messages to multiple contacts,0.29556404512636864
Accessibility Features,llama31_8b,deepseekr1_8b,open,Build photo collage,0.011319187269915341
Accessibility Features,llama31_8b,deepseekr1_8b,open,Collaborate with others,0.3635349764125847
Accessibility Features,llama31_8b,deepseekr1_8b,open,Go Live,0.12469776313043647
Accessibility Features,llama31_8b,deepseekr1_8b,open,Keeping up with friends,0.5157797457076324
