criterion,feature,rbo
Accessibility Features,Access to movies,0.6638963739662068
Accessibility Features,Access to podcasts,0.589247144361365
Accessibility Features,Broadcast messages to multiple contacts,0.496632955032848
Accessibility Features,Build photo collage,0.2431109311894489
Accessibility Features,Collaborate with others,0.5192534892697643
Accessibility Features,Go Live,0.2929468711019288
Accessibility Features,Keeping up with friends,0.5503821999448112
Accessibility Features,List items for sale,0.4827064000687354
Accessibility Features,Photo effects,0.2643739135004421
Accessibility Features,Play games,0.11307061481977827
Accessibility Features,Play playlist on shuffle mode,0.7308344418736341
Accessibility Features,Rate movies,0.37837239416664775
Accessibility Features,Search for offer on item,0.26653936877086265
Accessibility Features,Send files,0.3940483774767384
Accessibility Features,Watch streams,0.43949726496020847
Accessibility Features,Write notes,0.5608701746888444
Cost and Pricing,Access to movies,0.38889665791961353
Cost and Pricing,Access to podcasts,0.5831497311880028
Cost and Pricing,Broadcast messages to multiple contacts,0.47075320454854397
Cost and Pricing,Build photo collage,0.21865804161344632
Cost and Pricing,Collaborate with others,0.4433008799613183
Cost and Pricing,Go Live,0.2332705797295073
Cost and Pricing,Keeping up with friends,0.48512266055333597
Cost and Pricing,List items for sale,0.40016677927540506
Cost and Pricing,Photo effects,0.2721574095363627
Cost and Pricing,Play games,0.16754323770280558
Cost and Pricing,Play playlist on shuffle mode,0.5089396762366226
Cost and Pricing,Rate movies,0.36574169092599096
Cost and Pricing,Search for offer on item,0.1880986956137804
Cost and Pricing,Send files,0.21860048174486688
Cost and Pricing,Watch streams,0.3465726678077785
Cost and Pricing,Write notes,0.5314878757684943
Cross-Platform Synchronization,Access to movies,0.7013413858343285
Cross-Platform Synchronization,Access to podcasts,0.5776809424662103
Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.5187228097665006
Cross-Platform Synchronization,Build photo collage,0.33584028564543655
Cross-Platform Synchronization,Collaborate with others,0.44028148560934166
Cross-Platform Synchronization,Go Live,0.23710934134482284
Cross-Platform Synchronization,Keeping up with friends,0.48787854900071104
Cross-Platform Synchronization,List items for sale,0.49261278780765405
Cross-Platform Synchronization,Photo effects,0.3697340860204129
Cross-Platform Synchronization,Play games,0.2600269087179711
Cross-Platform Synchronization,Play playlist on shuffle mode,0.7501381470149668
Cross-Platform Synchronization,Rate movies,0.3533294843472189
Cross-Platform Synchronization,Search for offer on item,0.1994164367307836
Cross-Platform Synchronization,Send files,0.5035160346365471
Cross-Platform Synchronization,Watch streams,0.3702398372487465
Cross-Platform Synchronization,Write notes,0.6227653650874642
Customer Support,Access to movies,0.6490065040607121
Customer Support,Access to podcasts,0.5737441694747698
Customer Support,Broadcast messages to multiple contacts,0.3751313621628148
Customer Support,Build photo collage,0.2913370266582728
Customer Support,Collaborate with others,0.6001295757268283
Customer Support,Go Live,0.25022791430152397
