model,criterion,feature,rbo
llama31_8b,Accessibility Features,Broadcast messages to multiple contacts,0.2954208303778571
llama31_8b,Accessibility Features,Send files,0.3895434738890132
llama31_8b,Accessibility Features,Watch streams,0.6821314398953076
llama31_8b,Accessibility Features,Go Live,0.37019015277475803
llama31_8b,Accessibility Features,Play playlist on shuffle mode,0.5754627482670058
llama31_8b,Accessibility Features,Access to podcasts,0.3836258007711837
llama31_8b,Accessibility Features,Build photo collage,0.07384288386510528
llama31_8b,Accessibility Features,Photo effects,0.3010009059367903
llama31_8b,Accessibility Features,Access to movies,0.7408216353298264
llama31_8b,Accessibility Features,Rate movies,0.3126020788764801
llama31_8b,Accessibility Features,Keeping up with friends,0.6425045676423818
llama31_8b,Accessibility Features,Play games,0.2129230398627593
llama31_8b,Accessibility Features,Collaborate with others,0.4028284595978551
llama31_8b,Accessibility Features,Write notes,0.8347314283401627
llama31_8b,Accessibility Features,Search for offer on item,0.11534080656134867
llama31_8b,Accessibility Features,List items for sale,0.36687029755955286
llama31_8b,Cost and Pricing,Broadcast messages to multiple contacts,0.523932076304525
llama31_8b,Cost and Pricing,Send files,0.19961982321100238
llama31_8b,Cost and Pricing,Watch streams,0.4404472658608126
llama31_8b,Cost and Pricing,Go Live,0.4642732500042424
llama31_8b,Cost and Pricing,Play playlist on shuffle mode,0.5539592326250444
llama31_8b,Cost and Pricing,Access to podcasts,0.6566599199688066
llama31_8b,Cost and Pricing,Build photo collage,0.005099240215298966
llama31_8b,Cost and Pricing,Photo effects,0.2235151562414389
llama31_8b,Cost and Pricing,Access to movies,0.6199929529211573
llama31_8b,Cost and Pricing,Rate movies,0.37127041503911273
llama31_8b,Cost and Pricing,Keeping up with friends,0.721733434004966
llama31_8b,Cost and Pricing,Play games,0.5767055648309212
llama31_8b,Cost and Pricing,Collaborate with others,0.5853212918424456
llama31_8b,Cost and Pricing,Write notes,0.7359442959603889
llama31_8b,Cost and Pricing,Search for offer on item,0.07652535582282487
llama31_8b,Cost and Pricing,List items for sale,0.4596563797946778
llama31_8b,Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.4050462666372317
llama31_8b,Cross-Platform Synchronization,Send files,0.30308001346248975
llama31_8b,Cross-Platform Synchronization,Watch streams,0.5084953487037294
llama31_8b,Cross-Platform Synchronization,Go Live,0.39792225959881633
llama31_8b,Cross-Platform Synchronization,Play playlist on shuffle mode,0.562052402324324
llama31_8b,Cross-Platform Synchronization,Access to podcasts,0.4496121566679336
llama31_8b,Cross-Platform Synchronization,Build photo collage,0.05006467001852057
llama31_8b,Cross-Platform Synchronization,Photo effects,0.20332274546220167
llama31_8b,Cross-Platform Synchronization,Access to movies,0.7703877819198327
llama31_8b,Cross-Platform Synchronization,Rate movies,0.3534256502594941
llama31_8b,Cross-Platform Synchronization,Keeping up with friends,0.6636230316507709
llama31_8b,Cross-Platform Synchronization,Play games,0.39611708403649304
llama31_8b,Cross-Platform Synchronization,Collaborate with others,0.5775166476602859
llama31_8b,Cross-Platform Synchronization,Write notes,0.7789971454758622
llama31_8b,Cross-Platform Synchronization,Search for offer on item,0.16019832441587978
llama31_8b,Cross-Platform Synchronization,List items for sale,0.17095596604633675
llama31_8b,Customer Support,Broadcast messages to multiple contacts,0.4621045879443503
