model,feature,name,description,type,sources
anthropic,Access to movies,Content Library Size,Total number of movies available on the platform,Integer [1],"App store descriptions, official platform statistics, third-party content tracking services"
anthropic,Access to movies,Video Quality Support,Maximum supported video resolution and HDR capabilities,Text [1],"Technical specifications, app store listings, platform documentation"
anthropic,Access to movies,Pricing Model,"Cost structure including subscription fees, rental prices, and free content availability",Text [1],"Official pricing pages, app store information, subscription details"
anthropic,Access to movies,Platform Availability,Number of devices and platforms supported,Integer [1],"Official compatibility lists, app store availability, platform documentation"
anthropic,Access to movies,User Rating,Average user rating across major app stores,Float [1],"Google Play Store, Apple App Store, user review aggregators"
anthropic,Access to movies,Offline Download Support,Ability to download movies for offline viewing,Boolean [1],"Feature lists, app descriptions, user manuals"
anthropic,Access to movies,Content Library Size,Total number of movies available on the platform,Integer [1],"App store descriptions, official websites, third-party databases"
anthropic,Access to movies,Video Quality Support,Maximum supported video resolution and streaming quality,Text [1],"Technical specifications, app store features, user reviews"
anthropic,Access to movies,Subscription Cost,Monthly subscription fee or cost per rental/purchase,Float [1],"Official pricing pages, app store information"
anthropic,Access to movies,Platform Availability,Number of supported devices and operating systems,Integer [1],"App store compatibility, official support pages"
anthropic,Access to movies,User Rating,Average user rating across app stores,Float [1],"App Store ratings, Google Play ratings, review aggregators"
anthropic,Access to movies,Offline Download Support,Ability to download movies for offline viewing,Boolean [1],"App features, user manuals, official documentation"
anthropic,Access to movies,Content Library Size,Total number of movies available on the platform,Integer [1],"App store descriptions, official platform statistics, third-party content tracking services"
anthropic,Access to movies,Monthly Active Users,Number of users actively using the app per month,Integer [1],"App analytics platforms, company earnings reports, market research data"
anthropic,Access to movies,Content Quality Score,Average rating of movies available on the platform based on IMDb and Rotten Tomatoes scores,Float [1],"IMDb database, Rotten Tomatoes API, aggregated review platforms"
anthropic,Access to movies,Platform Availability,Number of device types and operating systems supported,Integer [1],"Official app store listings, platform documentation, device compatibility lists"
anthropic,Access to movies,Subscription Cost,Monthly subscription fee in USD for basic plan,Float [1],"Official pricing pages, app store subscription details"
anthropic,Access to movies,Offline Download Support,Whether the app supports downloading movies for offline viewing,Boolean [1],"App feature descriptions, user manuals, official documentation"
anthropic,Access to movies,Content Library Size,Total number of movies and TV shows available on the platform,Integer [1],"App store descriptions, official platform statistics, third-party content tracking services"
anthropic,Access to movies,Video Quality Support,"Maximum supported video resolution and streaming quality (4K, HDR, Dolby Vision support)",Text [1],"Technical specifications, app store listings, platform documentation"
anthropic,Access to movies,User Rating Score,Average user rating across major app stores,Float [1],"Google Play Store, Apple App Store, user review aggregators"
anthropic,Access to movies,Monthly Active Users,Number of monthly active users globally,Integer [1],"Company reports, market research firms, industry analytics"
anthropic,Access to movies,Subscription Cost,Monthly subscription price for standard tier in USD,Float [1],"Official pricing pages, app store subscription details"
anthropic,Access to movies,Free Content Availability,Whether the platform offers free movies without subscription,Boolean [1],"Platform features, app descriptions, service terms"
anthropic,Access to movies,Offline Download Support,Ability to download movies for offline viewing,Boolean [1],"App features, platform documentation, user manuals"
anthropic,Access to movies,Geographic Availability,Number of countries where the service is officially available,Integer [1],"Official service availability pages, regional app store presence"
anthropic,Access to movies,Content Library Size,Total number of movies available on the platform,Integer [1],"App store descriptions, official website statistics, third-party content tracking services"
anthropic,Access to movies,Video Quality,Maximum supported video resolution and streaming quality,Text [1],"Technical specifications, app store features, user reviews"
anthropic,Access to movies,Subscription Cost,Monthly or annual subscription fee in USD,Float [1],"Official pricing pages, app store subscription details"
anthropic,Access to movies,Platform Availability,Number of different devices and platforms supported,Integer [1],"Official compatibility lists, app store availability"
anthropic,Access to movies,User Rating,Average user rating across major app stores,Float [1],"Google Play Store, Apple App Store, user review aggregators"
anthropic,Access to movies,Offline Download Support,Ability to download movies for offline viewing,Boolean [1],"App features, official documentation, user manuals"
anthropic,Access to movies,Content Library Size,Total number of movies available on the platform,Integer [1],"Official platform statistics, third-party tracking services, app store descriptions"
anthropic,Access to movies,Content Quality Score,Average rating of movies based on critical and user reviews,Float [1],"IMDb, Rotten Tomatoes, Metacritic, user reviews"
anthropic,Access to movies,Subscription Cost,Monthly subscription fee in USD,Float [1],"Official pricing pages, app store information"
anthropic,Access to movies,Free Content Availability,Whether the app offers movies without subscription,Boolean [1],"App features, official website, user experience"
anthropic,Access to movies,Streaming Quality Options,"Maximum video resolution supported (4K, HD, SD)",Text [1],"Technical specifications, official documentation"
anthropic,Access to movies,Platform Availability,Number of different devices/platforms supported,Integer [1],"App store listings, official compatibility information"
anthropic,Access to movies,User Rating,Average user rating in app stores,Float [1],"Google Play Store, Apple App Store"
anthropic,Access to movies,Content Library Size,Total number of movies available on the platform,Integer [1],"App store descriptions, official websites, industry reports"
anthropic,Access to movies,Video Quality Support,Maximum supported video resolution and HDR capabilities,Text [1],"Technical specifications, app features, user reviews"
anthropic,Access to movies,Subscription Cost,Monthly subscription price in USD for standard plan,Float [1],"Official pricing pages, app store information"
anthropic,Access to movies,Platform Availability,Number of different devices and platforms supported,Integer [1],"Official compatibility lists, app store availability"
anthropic,Access to movies,User Rating,Average user rating across major app stores,Float [1],"App Store, Google Play Store, user review aggregators"
anthropic,Access to movies,Offline Download Support,Ability to download movies for offline viewing,Boolean [1],"App features, official documentation"
anthropic,Access to movies,Content Freshness,Frequency of new movie additions and latest releases availability,Text [1],"Content update schedules, industry news, user feedback"
anthropic,Access to movies,Content Library Size,Total number of movies available on the platform,Integer [1],"Platform APIs, third-party databases, official announcements"
anthropic,Access to movies,Content Quality Score,Average rating of movies based on IMDb scores and critical reviews,Float [1],"IMDb, Rotten Tomatoes, Metacritic aggregation"
