model,feature,llm_criteria,best_match,similarity_score,standard_criteria_id
anthropic,Access to movies,Content Library Size: Total number of movies available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4120689,RC_10
anthropic,Access to movies,Video Quality Support: Maximum supported video resolution and HDR capabilities,Customer Support: The availability and quality of customer support services.,0.33051422,RC_02
anthropic,Access to movies,"Pricing Model: Cost structure including subscription fees, rental prices, and free content availability","Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.6613587,RC_01
anthropic,Access to movies,Platform Availability: Number of devices and platforms supported,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.6927811,RC_11
anthropic,Access to movies,User Rating: Average user rating across major app stores,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.85562056,RC_16
anthropic,Access to movies,Offline Download Support: Ability to download movies for offline viewing,In-App Purchases: The availability and variety of in-app purchases.,0.3366319,RC_07
anthropic,Access to movies,Content Library Size: Total number of movies available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4120689,RC_10
anthropic,Access to movies,Video Quality Support: Maximum supported video resolution and streaming quality,Customer Support: The availability and quality of customer support services.,0.39423618,RC_02
anthropic,Access to movies,Subscription Cost: Monthly subscription fee or cost per rental/purchase,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.56326187,RC_01
anthropic,Access to movies,Platform Availability: Number of supported devices and operating systems,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.6952817,RC_11
anthropic,Access to movies,User Rating: Average user rating across app stores,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.8618837,RC_16
anthropic,Access to movies,Offline Download Support: Ability to download movies for offline viewing,In-App Purchases: The availability and variety of in-app purchases.,0.3366319,RC_07
anthropic,Access to movies,Content Library Size: Total number of movies available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4120689,RC_10
anthropic,Access to movies,Monthly Active Users: Number of users actively using the app per month,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.8134278,RC_09
anthropic,Access to movies,Content Quality Score: Average rating of movies available on the platform based on IMDb and Rotten Tomatoes scores,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.43658733,RC_16
anthropic,Access to movies,Platform Availability: Number of device types and operating systems supported,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.66123587,RC_11
anthropic,Access to movies,Subscription Cost: Monthly subscription fee in USD for basic plan,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.5308793,RC_01
anthropic,Access to movies,Offline Download Support: Whether the app supports downloading movies for offline viewing,Geographical Availability: Regions or countries where the app is accessible.,0.44842795,RC_06
anthropic,Access to movies,Content Library Size: Total number of movies and TV shows available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.40788576,RC_10
anthropic,Access to movies,"Video Quality Support: Maximum supported video resolution and streaming quality (4K, HDR, Dolby Vision support)",Feature Set: Range and quality of features offered by the app.,0.35639566,RC_05
anthropic,Access to movies,User Rating Score: Average user rating across major app stores,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.8555495,RC_16
anthropic,Access to movies,Monthly Active Users: Number of monthly active users globally,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.7873639,RC_09
anthropic,Access to movies,Subscription Cost: Monthly subscription price for standard tier in USD,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.4888221,RC_01
anthropic,Access to movies,Free Content Availability: Whether the platform offers free movies without subscription,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.44516596,RC_01
anthropic,Access to movies,Offline Download Support: Ability to download movies for offline viewing,In-App Purchases: The availability and variety of in-app purchases.,0.3366319,RC_07
anthropic,Access to movies,Geographic Availability: Number of countries where the service is officially available,Geographical Availability: Regions or countries where the app is accessible.,0.69344044,RC_06
anthropic,Access to movies,Content Library Size: Total number of movies available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4120689,RC_10
anthropic,Access to movies,Video Quality: Maximum supported video resolution and streaming quality,Customer Support: The availability and quality of customer support services.,0.333493,RC_02
anthropic,Access to movies,Subscription Cost: Monthly or annual subscription fee in USD,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.5430471,RC_01
anthropic,Access to movies,Platform Availability: Number of different devices and platforms supported,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.6983605,RC_11
anthropic,Access to movies,User Rating: Average user rating across major app stores,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.85562056,RC_16
anthropic,Access to movies,Offline Download Support: Ability to download movies for offline viewing,In-App Purchases: The availability and variety of in-app purchases.,0.3366319,RC_07
anthropic,Access to movies,Content Library Size: Total number of movies available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4120689,RC_10
anthropic,Access to movies,Content Quality Score: Average rating of movies based on critical and user reviews,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.51875824,RC_16
anthropic,Access to movies,Subscription Cost: Monthly subscription fee in USD,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.51652235,RC_01
anthropic,Access to movies,Free Content Availability: Whether the app offers movies without subscription,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.5605395,RC_01
anthropic,Access to movies,"Streaming Quality Options: Maximum video resolution supported (4K, HD, SD)",Feature Set: Range and quality of features offered by the app.,0.3217026,RC_05
anthropic,Access to movies,Platform Availability: Number of different devices/platforms supported,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.65544444,RC_11
anthropic,Access to movies,User Rating: Average user rating in app stores,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.89517313,RC_16
anthropic,Access to movies,Content Library Size: Total number of movies available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4120689,RC_10
anthropic,Access to movies,Video Quality Support: Maximum supported video resolution and HDR capabilities,Customer Support: The availability and quality of customer support services.,0.33051422,RC_02
anthropic,Access to movies,Subscription Cost: Monthly subscription price in USD for standard plan,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.5083727,RC_01
anthropic,Access to movies,Platform Availability: Number of different devices and platforms supported,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.6983605,RC_11
anthropic,Access to movies,User Rating: Average user rating across major app stores,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.85562056,RC_16
anthropic,Access to movies,Offline Download Support: Ability to download movies for offline viewing,In-App Purchases: The availability and variety of in-app purchases.,0.3366319,RC_07
anthropic,Access to movies,Content Freshness: Frequency of new movie additions and latest releases availability,"Update Frequency: How often the app is updated with new features, bug fixes, and content.",0.46394998,RC_13
anthropic,Access to movies,Content Library Size: Total number of movies available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4120689,RC_10
anthropic,Access to movies,Content Quality Score: Average rating of movies based on IMDb scores and critical reviews,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.43931568,RC_16
anthropic,Access to movies,Monthly Active Users: Number of users actively using the app per month,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.8134278,RC_09
anthropic,Access to movies,Pricing Model: Cost structure including subscription fees and rental prices,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.62182605,RC_01
anthropic,Access to movies,Platform Availability: Number of devices and platforms supported,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.6927811,RC_11
anthropic,Access to movies,User Experience Rating: Average app store rating across iOS and Android,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.84973794,RC_16
anthropic,Access to movies,Content Library Size: Total number of movies available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4120689,RC_10
anthropic,Access to movies,Content Quality Score: Average rating of movies based on critical and user reviews,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.51875824,RC_16
anthropic,Access to movies,Subscription Cost: Monthly subscription fee in USD,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.51652235,RC_01
anthropic,Access to movies,Platform Availability: Number of supported devices and platforms,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.6941144,RC_11
anthropic,Access to movies,User Interface Rating: Average user rating for app usability and design,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.781563,RC_16
anthropic,Access to movies,Streaming Quality: Maximum supported video resolution and audio quality,Customer Support: The availability and quality of customer support services.,0.31756654,RC_02
anthropic,Access to movies,Offline Download Support: Whether the app supports downloading movies for offline viewing,Geographical Availability: Regions or countries where the app is accessible.,0.44842795,RC_06
anthropic,Access to movies,Global Availability: Number of countries where the service is available,Geographical Availability: Regions or countries where the app is accessible.,0.6555813,RC_06
anthropic,Access to movies,Content Library Size: Total number of movies available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4120689,RC_10
anthropic,Access to movies,Content Quality Score: Average rating and critical acclaim of available movies,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.46874765,RC_16
anthropic,Access to movies,Streaming Quality: Maximum supported video resolution and audio quality,Customer Support: The availability and quality of customer support services.,0.31756654,RC_02
anthropic,Access to movies,Subscription Cost: Monthly subscription fee in USD,"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.51652235,RC_01
anthropic,Access to movies,Platform Availability: Number of supported devices and platforms,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.6941144,RC_11
anthropic,Access to movies,User Experience Rating: Overall app store rating and user interface quality,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.8572005,RC_16
anthropic,Access to movies,Offline Viewing Support: Ability to download movies for offline viewing,Geographical Availability: Regions or countries where the app is accessible.,0.3570231,RC_06
anthropic,Access to podcasts,Content Library Size: Total number of podcast shows and episodes available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.4243571,RC_10
anthropic,Access to podcasts,"User Interface Quality: Ease of navigation, search functionality, and overall user experience design",Ease of Use: How user-friendly and intuitive the app interface is.,0.597887,RC_04
