model,feature,criteria,correlation,num_comparisons
openai,Access to movies,Ad_Free_Option,-0.12235050541955912,10
openai,Access to movies,Ad_Frequency,-0.5131393131741431,10
openai,Access to movies,Community_Engagement,0.49309111880046136,10
openai,Access to movies,Cost,-0.3426211306676211,10
openai,Access to movies,Customer_Support,-0.09256351039260971,10
openai,Access to movies,Customization_Options,-0.1283220783270481,10
openai,Access to movies,Geographical_Availability,0.18324873096446703,10
openai,Access to movies,Integration_Capabilities,-0.39688198180403605,10
openai,Access to movies,Mobile_Optimization,-0.33306842827164995,10
openai,Access to movies,Number_of_Downloads,0.5091370558375636,10
openai,Access to movies,Platform_Availability,0.6974682644460242,10
openai,Access to movies,Platform_Compatibility,0.5035939593228596,10
openai,Access to movies,Privacy_and_Security,0.23080168776371307,10
openai,Access to movies,Subscription_Cost,-0.0891056395713017,10
openai,Access to movies,Update_Frequency,0.6471077485528588,10
openai,Access to movies,User_Base,0.1590717299578059,10
openai,Access to movies,User_Interface_and_Ease_of_Use,0.8887386026738266,10
openai,Access to movies,User_Ratings,0.4062092458466763,10
openai,Access to movies,User_Reviews_and_Ratings,0.774324829676116,10
openai,Access to podcasts,Ad_Free_Option,0.01301967412558371,10
openai,Access to podcasts,Ad_Frequency,0.14475165901716022,10
openai,Access to podcasts,Community_Engagement,-0.44899640424474513,10
openai,Access to podcasts,Cost,0.2322482036292778,10
openai,Access to podcasts,Customer_Support,0.36804430302665925,10
openai,Access to podcasts,Customization_Options,-0.33269154176711035,10
openai,Access to podcasts,Geographical_Availability,-0.09948593241765531,10
openai,Access to podcasts,Integration_Capabilities,0.2497711939076618,10
openai,Access to podcasts,Mobile_Optimization,0.37701384095214385,10
openai,Access to podcasts,Number_of_Downloads,0.3862855066177419,10
openai,Access to podcasts,Platform_Availability,0.5773038320187409,10
openai,Access to podcasts,Platform_Compatibility,0.6578718382017652,10
openai,Access to podcasts,Privacy_and_Security,0.10357775597548664,10
openai,Access to podcasts,Subscription_Cost,0.508944099378882,10
openai,Access to podcasts,Update_Frequency,0.05834330011599705,10
openai,Access to podcasts,User_Base,0.49705303706121595,10
openai,Access to podcasts,User_Interface_and_Ease_of_Use,-0.04142708252811973,10
openai,Access to podcasts,User_Ratings,-0.5191401647493114,10
openai,Access to podcasts,User_Reviews_and_Ratings,0.17269823679580273,10
openai,Broadcast messages to multiple contacts,Ad_Free_Option,0.08009410017220414,10
openai,Broadcast messages to multiple contacts,Ad_Frequency,0.28081013884958483,10
openai,Broadcast messages to multiple contacts,Community_Engagement,-0.8062700228832952,10
openai,Broadcast messages to multiple contacts,Cost,0.14464742418706614,10
openai,Broadcast messages to multiple contacts,Customer_Support,0.4296667557820576,10
