name,description,cluster_id
Item Categories,The types of items that can be listed and sold on the platform.,1
Listing Features,The variety and quality of features available for creating and managing listings.,1
Product Category Focus,"The primary types of items that are commonly sold on the app (e.g., clothing, electronics, handmade items).",1
Seller Tools,"The features and resources available to sellers, such as listing templates, analytics, and advertising options.",1
Analytics,The availability of data and insights on viewer behavior and stream performance.,2
Barcode Scanning,Feature to scan product barcodes for instant price comparison.,2
Breadth of Retailer Coverage,The number of retailers and online stores included in the app's price comparison search.,2
Price Comparison Accuracy,The app's ability to accurately compare prices across multiple retailers and product categories.,2
Price Tracking,Feature to track price changes over time and alert users to price drops.,2
Reporting and Analytics,"Availability of tools to track message delivery, open rates, click-through rates, and other relevant metrics.",2
Local Availability,The ability to reach local buyers and facilitate local pickup or delivery.,3
Payment Options,The methods available for buyers to pay and sellers to receive funds.,3
Payment Processing,The methods available for processing payments and the associated fees.,3
Shipping Options,"The availability of prepaid shipping labels, integrated shipping services, and options for local pickup.",3
Shipping Support,The assistance or services provided by the platform for shipping items to buyers.,3
Transaction Fees,The percentage or fixed fee deducted from the sale price upon a successful transaction.,3
Ad-Free Option,Availability of a subscription or version without advertisements.,4
Ad-Supported Free Access,Whether the platform offers free content with advertisements.,4
Free Trial Availability,"Whether the service offers a trial period at no cost, allowing users to evaluate before subscribing.",4
Free vs. Paid Features,The balance between features available in the free version and those locked behind a subscription or purchase.,4
Cashback Offers,Provision of cashback rewards on purchases made through the app.,5
Cost and Subscription Plans,"The pricing structure of the app, including free tiers, subscription plans, and any associated costs.",5
Coupon Integration,Availability of coupons and promo codes to apply additional discounts.,5
Deal Coverage,"Breadth of deals and offers available, including coupons, discounts, and cashback opportunities.",5
Fees,"Listing fees, commission fees, or transaction fees charged by the app.",5
In-App Purchases,The availability and variety of in-app purchases.,5
Mobile App Availability,Availability and functionality of mobile applications for listing and managing sales.,5
Monetization Model,"How the game generates revenue (e.g., free-to-play with in-app purchases, paid).",5
Monetization Options,"Availability of features that allow content creators to earn revenue, such as ads, subscriptions, or virtual gifts.",5
Offer Variety,The range and diversity of offers and deals available in the app.,5
Storage Capacity,"Amount of storage space offered by the app, both free and paid.",5
Customization,"The ability to customize workflows, dashboards, and notifications to fit the specific needs of the team.",6
Customization Options,"The extent to which users can personalize their collages, including adjusting layouts, adding text, stickers, backgrounds, and filters.",6
Customization and Extensibility,The extent to which the app allows customization and supports plugins or extensions.,6
Personalization Features,"Availability and sophistication of personalization options (e.g., inserting recipient names, custom fields).",6
Template Variety,The number and diversity of pre-designed collage templates available.,6
Variety of Templates and Layouts,The app should offer a diverse selection of pre-designed templates and customizable layouts to suit different collage styles and photo arrangements.,6
AI Assistance,"The availability and quality of AI-powered features such as summarizing notes, generating transcripts, and improving organization.",7
AI Features,The presence and effectiveness of AI-powered tools for automatic collage generation and editing.,7
AI-Powered Features,"The presence and effectiveness of AI-driven tools such as object removal, style transfer, and intelligent adjustments.",7
Collaboration Features,The tools and functionalities that enable multiple users to work together on notes or projects within the app.,7
Note-Taking Capabilities,"Various note-taking tools, including typing, drawing, handwriting recognition, voice recording and transcription, and the ability to add multimedia elements (images, videos, audio files, PDFs).",7
Organization Features,"Tools such as folders, tags, and linking capabilities that enable users to categorize and structure their notes effectively.",7
Search Functionality,"The effectiveness of the app's search feature in locating specific notes or content within notes, including keyword search and handwriting recognition.",7
Project Management,"Tools for planning, organizing, and managing projects, including timelines, Gantt charts, and resource allocation.",8
Task Management,"Capabilities for creating, assigning, and tracking tasks and projects.",8
Advanced Editing Tools,"Availability of advanced tools like layers, masking, healing, and RAW support.",9
Photo Editing Tools,"The app includes built-in photo editing tools to enhance images, such as cropping, resizing, adjusting brightness and contrast, and applying filters.",9
User Interface (UI),The ease of use and intuitiveness of the app's interface for applying effects and editing photos.,9
User Interface and Usability,"An intuitive, clutter-free interface that is easy to navigate and customize. Quick access to essential features, smooth navigation, and a responsive, reliable performance.",9
Variety of Effects/Filters,"The number and types of photo effects and filters available, including artistic, vintage, and AI-powered options.",9
Whiteboarding,"Digital whiteboarding tools for brainstorming, ideation, and visual collaboration.",9
Playlist Size Handling,Assesses the app's ability to efficiently shuffle and play large playlists (1000+ tracks) without performance issues.,10
Shuffle Algorithm Quality,How effectively the app shuffles songs to avoid repetition or predictable patterns.,10
Shuffle Play Feature,Availability of a shuffle play mode that allows users to play playlists in a randomized order.,10
Content Curation,The quality and relevance of content recommendations provided to users.,11
Personalization,Ability to provide personalized recommendations based on user preferences.,11
