threshold,should_merge,cluster1_items,cluster2_items
1.0030534604004602,False,[],[]
1.0030534604004602,False,"['Safety Features', 'Privacy Controls']",[]
1.0030534604004602,False,"['Personalized Recommendations', 'Personalization']",[]
1.0030534604004602,False,"['Content Sharing Options', 'Multimedia Sharing']",[]
1.0030534604004602,False,"['Availability Information', 'Integration with Streaming Services']","['File Size Limitations', 'Transfer Speed']"
1.0030534604004602,False,"['Content Focus', 'Content Variety']","['Performance Optimization Features', 'Mobile Optimization']"
1.0030534604004602,False,"['Community and Support', 'Multiplayer Features']",[]
1.0030534604004602,False,"['Ad-Supported Free Access', 'Free vs. Paid Features', 'Ad-Free Option', 'Free Trial Availability']","['Customer Support', 'Scalability']"
1.0030534604004602,False,['Seller Protection'],[]
1.0030534604004602,False,"['Communication', 'Communication Features', 'Communication Channels']",[]
