criteria,feature,model,rbo,num_comparisons
Cost,Access to movies,anthropic,0.02971426372153383,50
Cost,Access to movies,gemini,0.6563303342584361,50
Cost,Access to movies,mistral,0.031841259188316914,50
Cost,Access to movies,openai,0.4332437713847455,50
Cost,Access to movies,perplexity,0.2097433878884982,50
Cost,Access to podcasts,anthropic,0.7500113082253186,50
Cost,Access to podcasts,gemini,0.6850816161494855,50
Cost,Access to podcasts,mistral,0.8842039175264509,50
Cost,Access to podcasts,openai,0.5610416246758912,50
Cost,Access to podcasts,perplexity,0.480011880813621,50
Cost,Broadcast messages to multiple contacts,anthropic,0.5513741094632519,50
Cost,Broadcast messages to multiple contacts,gemini,0.13325214009049424,50
Cost,Broadcast messages to multiple contacts,mistral,0.7900767091014299,50
Cost,Broadcast messages to multiple contacts,openai,0.36213051307241423,50
Cost,Broadcast messages to multiple contacts,perplexity,0.12620299319163572,50
Cost,Build photo collage,anthropic,0.596166603914413,10
Cost,Build photo collage,gemini,0.4297047472986771,50
Cost,Build photo collage,mistral,0.5083441137634039,50
Cost,Build photo collage,openai,0.1838668674296836,50
Cost,Build photo collage,perplexity,0.27699856449283544,50
Cost,Collaborate with others,anthropic,0.7153534591034914,50
Cost,Collaborate with others,gemini,0.7864610806482786,50
Cost,Collaborate with others,mistral,0.9124691704266101,50
Cost,Collaborate with others,openai,0.6799790912631117,50
Cost,Collaborate with others,perplexity,0.436754879199875,50
Cost,Go Live,anthropic,0.6816284093475599,50
Cost,Go Live,gemini,0.6345164733942343,50
Cost,Go Live,mistral,0.0,50
Cost,Go Live,openai,0.14372861715594193,50
Cost,Go Live,perplexity,0.27083579780525,50
Cost,Keeping up with friends,anthropic,0.48708314901193234,50
Cost,Keeping up with friends,gemini,0.45214282534716643,50
Cost,Keeping up with friends,mistral,0.6892162835627208,50
Cost,Keeping up with friends,openai,0.7391798105435775,50
Cost,Keeping up with friends,perplexity,0.0,50
Cost,List items for sale,anthropic,0.6034318209161006,50
Cost,List items for sale,gemini,0.8462956188612586,50
Cost,List items for sale,mistral,0.7536177157755154,50
Cost,List items for sale,openai,0.6627184610675502,50
Cost,List items for sale,perplexity,0.7079470232511647,50
Cost,Photo effects,anthropic,0.7682719850960873,50
Cost,Photo effects,gemini,0.4592435564274941,50
Cost,Photo effects,mistral,0.7217606257191072,50
Cost,Photo effects,openai,0.32178903263995956,50
Cost,Photo effects,perplexity,0.12917821634542107,50
Cost,Play games,anthropic,0.3063753799378379,50
Cost,Play games,gemini,0.1899829218581982,50
Cost,Play games,mistral,0.6840584383341687,50
Cost,Play games,openai,0.0,50
Cost,Play games,perplexity,0.2574816778235938,50
Cost,Play playlist on shuffle mode,anthropic,0.6359123097568425,50
Cost,Play playlist on shuffle mode,gemini,0.472673397568065,50
Cost,Play playlist on shuffle mode,mistral,0.859405124458471,50
Cost,Play playlist on shuffle mode,openai,0.715597819594135,50
Cost,Play playlist on shuffle mode,perplexity,0.1891910112393,50
Cost,Rate movies,anthropic,0.6905959485159329,50
Cost,Rate movies,gemini,0.6288536037141474,50
Cost,Rate movies,mistral,0.7710386947782178,50
Cost,Rate movies,openai,0.44897193425723764,50
Cost,Rate movies,perplexity,0.2501106068095053,50
Cost,Search for offer on item,anthropic,0.7323266268385709,50
Cost,Search for offer on item,gemini,0.31376213669825104,50
Cost,Search for offer on item,mistral,0.8423397601150012,50
Cost,Search for offer on item,openai,0.362985312270613,50
Cost,Search for offer on item,perplexity,0.38941918209139614,50
Cost,Send files,anthropic,0.23443658620360805,50
Cost,Send files,gemini,0.6574530534611241,50
Cost,Send files,mistral,0.5255245912734092,50
Cost,Send files,openai,0.6628657468991592,50
Cost,Send files,perplexity,0.056871858404612785,50
Cost,Watch streams,anthropic,0.16788002691276496,50
Cost,Watch streams,gemini,0.21479673720864784,50
Cost,Watch streams,mistral,0.3393532964080533,50
Cost,Watch streams,openai,0.11681237820711297,50
Cost,Watch streams,perplexity,0.0,50
